Quarter,Time,Tm,Detail,PIT,BAL
1.0,10:08,Ravens,Musa Smith 2 yard rush (Matt Stover kick),0,7
,1:48,Ravens,Matt Stover 28 yard field goal,0,10
2.0,13:27,Ravens,Cory Ross 32 yard rush (Matt Stover kick),0,17
,10:07,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),7,17
,0:17,Ravens,Matt Stover 31 yard field goal,7,20
3.0,3:41,Ravens,Devard Darling 15 yard pass from Troy Smith (Matt Stover kick),7,27
4.0,7:13,Steelers,Santonio Holmes 59 yard pass from Charlie Batch (Jeff Reed kick),14,27
,3:36,Steelers,Cedrick Wilson 7 yard pass from Charlie Batch (Jeff Reed kick),21,27
