Unnamed: 0,SEA,OAK
First Downs,10,18
Rush-Yds-TDs,19-47-0,39-239-1
Cmp-Att-Yd-TD-INT,13-32-163-0-1,15-27-310-2-0
Sacked-Yards,8-46,2-4
Net Pass Yards,117,306
Total Yards,164,545
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,7-55,11-105
Third Down Conv.,1-16,5-17
Fourth Down Conv.,1-1,1-1
Time of Possession,23:56,36:04
