Quarter,Time,Tm,Detail,SEA,OAK
1.0,5:14,Raiders,Sebastian Janikowski 31 yard field goal,0,3
2.0,8:54,Raiders,Marcel Reece 30 yard pass from Jason Campbell (Sebastian Janikowski kick),0,10
3.0,9:09,Raiders,Sebastian Janikowski 36 yard field goal,0,13
4.0,14:52,Raiders,Sebastian Janikowski 22 yard field goal,0,16
,13:26,Raiders,Darrius Heyward-Bey 69 yard pass from Jason Campbell (Sebastian Janikowski kick),0,23
,8:57,Seahawks,Olindo Mare 47 yard field goal,3,23
,7:18,Raiders,Sebastian Janikowski 49 yard field goal,3,26
,1:56,Raiders,Michael Bush 4 yard rush (Sebastian Janikowski kick),3,33
