Unnamed: 0,LVR,TEN
First Downs,24,19
Rush-Yds-TDs,19-96-0,27-109-2
Cmp-Att-Yd-TD-INT,27-45-307-2-1,19-27-264-1-1
Sacked-Yards,1-7,1-12
Net Pass Yards,300,252
Total Yards,396,361
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,6-44,7-85
Third Down Conv.,1-12,5-10
Fourth Down Conv.,3-3,0-1
Time of Possession,30:45,29:15
