Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 62 yards, returned by Martavis Bryant for 38 yards (tackle by Josh Jones)",0.000,-1.660
1,14:55,1,10,PIT 41,0,0,Ben Roethlisberger pass complete deep right to Antonio Brown for 20 yards (tackle by Davon House),1.660,2.980
1,14:18,1,10,GNB 39,0,0,Ben Roethlisberger pass complete short right to Martavis Bryant for 10 yards (tackle by Morgan Burnett),2.980,3.640
1,13:39,1,10,GNB 29,0,0,Le'Veon Bell right guard for 3 yards (tackle by Blake Martinez and Jake Ryan),3.640,3.510
1,13:02,2,7,GNB 26,0,0,"Penalty on Antonio Brown: False Start, 5 yards (no play)",3.510,2.830
1,12:45,2,12,GNB 31,0,0,Le'Veon Bell right guard for 11 yards (tackle by Jake Ryan and Nick Perry),2.830,3.600
1,11:59,3,1,GNB 20,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 2 yards (tackle by Blake Martinez and Jake Ryan),3.600,4.370
1,11:24,1,10,GNB 18,0,0,Ben Roethlisberger pass complete short left to Eli Rogers for 4 yards (tackle by Blake Martinez and Damarious Randall),4.370,4.430
1,10:42,2,6,GNB 14,0,0,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant (defended by Kevin King),4.430,3.630
1,10:39,3,6,GNB 14,0,0,Ben Roethlisberger pass complete short middle to Jesse James for 10 yards (tackle by Josh Jones and Damarious Randall),3.630,6.280
1,9:52,1,4,GNB 4,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 2 yards (tackle by Blake Martinez and Jake Ryan),6.280,5.720
1,9:10,2,2,GNB 2,0,0,Ben Roethlisberger pass incomplete short right intended for Justin Hunter (defended by Davon House),5.720,4.950
1,9:06,3,2,GNB 2,0,0,Martavis Bryant left end for 1 yard (tackle by Kevin King),4.950,3.550
1,8:19,4,1,GNB 1,0,6,"Ben Roethlisberger pass complete short middle to Xavier Grimble for 1 yard, touchdown",3.550,7.000
1,8:14,,,GNB 15,0,6,Chris Boswell kicks extra point no good,0.000,-1.000
1,8:14,,,PIT 35,0,6,"Chris Boswell kicks off 65 yards, touchback. Penalty on Vince Williams: Unnecessary Roughness, 15 yards",0.000,-1.600
1,8:14,1,10,GNB 40,0,6,Jamaal Williams right tackle for 6 yards (tackle by Ryan Shazier),1.600,1.860
1,7:35,2,4,GNB 46,0,6,Jamaal Williams middle for 6 yards (tackle by Sean Davis),1.860,2.390
1,7:02,1,10,PIT 48,0,6,Brett Hundley pass complete short left to Davante Adams for 5 yards (tackle by Artie Burns),2.390,2.520
1,6:29,2,5,PIT 43,0,6,Jamaal Williams middle for no gain (tackle by Mike Hilton),2.520,1.820
1,5:51,3,5,PIT 43,0,6,"Brett Hundley sacked by Stephon Tuitt for -8 yards. Brett Hundley fumbles (forced by Stephon Tuitt), recovered by Jahri Evans at GNB-49. Penalty on Artie Burns: Illegal Use of Hands, 5 yards (no play)",1.820,3.050
1,5:27,1,10,PIT 38,0,6,Jamaal Williams right guard for -1 yards (tackle by Vince Williams),3.050,2.370
1,4:53,2,11,PIT 39,6,6,"Brett Hundley pass complete deep left to Randall Cobb for 39 yards, touchdown",2.370,7.000
1,4:45,,,PIT 15,7,6,Mason Crosby kicks extra point good,0.000,0.000
1,4:45,,,GNB 35,7,6,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,4:45,1,10,PIT 25,7,6,Ben Roethlisberger pass complete short left to Jesse James for 5 yards (tackle by Blake Martinez),0.610,0.740
1,4:15,2,5,PIT 30,7,6,Ben Roethlisberger pass incomplete short right intended for Jesse James,0.740,0.040
1,4:11,3,5,PIT 30,7,6,"Ben Roethlisberger pass complete short left to Eli Rogers for 9 yards (tackle by Damarious Randall). Penalty on PIT: Illegal Shift (Offsetting), Penalty on Mike Daniels: Defensive 12 On-field (Offsetting) (no play)",0.040,0.040
1,3:45,3,5,PIT 30,7,6,Ben Roethlisberger pass complete short middle to Jesse James for 17 yards (tackle by Josh Jones),0.040,2.060
1,3:03,1,10,PIT 47,7,6,Ben Roethlisberger pass incomplete deep middle intended for Eli Rogers,2.060,1.520
1,2:59,2,10,PIT 47,7,6,Le'Veon Bell right tackle for 2 yards (tackle by Blake Martinez and Damarious Randall),1.520,1.090
1,2:17,3,8,PIT 49,7,6,Ben Roethlisberger pass incomplete short middle intended for Eli Rogers is intercepted by Damarious Randall at GNB-45,1.090,-1.930
1,2:12,1,10,GNB 45,7,6,Jamaal Williams middle for 1 yard (tackle by T.J. Watt),1.930,1.520
1,1:41,2,9,GNB 46,7,6,Brett Hundley pass incomplete short right intended for Jordy Nelson,1.520,0.830
1,1:33,3,9,GNB 46,13,6,"Brett Hundley pass complete short middle to Jamaal Williams for 54 yards, touchdown",0.830,7.000
1,1:22,,,PIT 15,14,6,Mason Crosby kicks extra point good,0.000,0.000
1,1:22,,,GNB 35,14,6,"Mason Crosby kicks off 64 yards, returned by Martavis Bryant for 20 yards (tackle by Josh Jones)",0.000,-0.340
1,1:18,1,10,PIT 21,14,6,Le'Veon Bell middle for 3 yards (tackle by Mike Daniels and Blake Martinez),0.340,0.210
1,0:41,2,7,PIT 24,14,6,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 6 yards (tackle by Blake Martinez and Jake Ryan),0.210,0.300
Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,PIT 30,14,6,Ben Roethlisberger pass complete short left to Antonio Brown for 2 yards (tackle by Morgan Burnett),0.300,1.070
2,14:27,1,10,PIT 32,14,6,Ben Roethlisberger pass complete short left to Le'Veon Bell for 6 yards (tackle by Blake Martinez),1.070,1.340
2,14:02,2,4,PIT 38,14,6,Ben Roethlisberger pass complete short left to Antonio Brown for 13 yards,1.340,2.320
2,13:35,1,10,GNB 49,14,6,Ben Roethlisberger pass incomplete deep right intended for Eli Rogers,2.320,1.780
2,13:30,2,10,GNB 49,14,6,Le'Veon Bell left guard for 5 yards (tackle by Morgan Burnett),1.780,1.750
2,12:47,3,5,GNB 44,14,6,Ben Roethlisberger middle for 3 yards (tackle by Kyler Fackrell),1.750,0.530
2,12:08,4,2,GNB 41,14,6,Jordan Berry punts 36 yards,0.530,0.380
2,11:56,1,10,GNB 5,14,6,Jamaal Williams right guard for 1 yard (tackle by T.J. Watt),-0.380,-0.710
2,11:15,2,9,GNB 6,14,6,Brett Hundley pass complete short right to Davante Adams for 2 yards (tackle by Coty Sensabaugh),-0.710,-1.070
2,10:37,3,7,GNB 8,14,6,Brett Hundley pass complete short left to Jordy Nelson for 2 yards (tackle by Artie Burns). Penalty on Richard Rodgers: Unnecessary Roughness (Declined),-1.070,-2.490
2,10:25,4,5,GNB 10,14,6,"Justin Vogel punts 45 yards, returned by Antonio Brown for 35 yards. Penalty on Brian Allen: Offensive Holding, 10 yards, Penalty on Fitzgerald Toussaint: Illegal Block Above the Waist (Declined)",-2.490,-1.270
2,10:11,1,10,PIT 35,14,6,Le'Veon Bell middle for 3 yards (tackle by Mike Daniels),1.270,1.130
2,9:33,2,7,PIT 38,14,6,Le'Veon Bell middle for 2 yards (tackle by Ahmad Brooks and Blake Martinez),1.130,0.700
2,8:51,3,5,PIT 40,14,6,Ben Roethlisberger pass complete deep middle to Antonio Brown for 39 yards (tackle by Ha Ha Clinton-Dix),0.700,4.170
2,8:04,1,10,GNB 21,14,6,Le'Veon Bell right guard for 4 yards (tackle by Morgan Burnett),4.170,4.200
2,7:26,2,6,GNB 17,14,12,"Ben Roethlisberger pass complete deep left to Martavis Bryant for 17 yards, touchdown",4.200,7.000
2,7:20,,,GNB 2,14,14,"Two Point Attempt: Ben Roethlisberger pass complete to Antonio Brown, conversion succeeds",0.000,1.000
2,7:20,,,PIT 35,14,14,"Chris Boswell kicks off 62 yards, returned by Trevor Davis for 14 yards (tackle by L.J. Fort)",0.000,0.060
2,7:14,1,10,GNB 17,14,14,Brett Hundley pass incomplete deep right intended for Jamaal Williams,-0.060,-0.580
2,7:08,2,10,GNB 17,14,14,Aaron Ripkowski middle for 4 yards (tackle by Javon Hargrave),-0.580,-0.750
2,6:27,3,6,GNB 21,14,14,Brett Hundley right end for 6 yards (tackle by William Gay),-0.750,0.740
2,5:43,1,10,GNB 27,14,14,Trevor Davis left end for 4 yards (tackle by Artie Burns),0.740,0.740
2,5:04,2,6,GNB 31,14,14,Jamaal Williams left guard for 4 yards (tackle by Ryan Shazier),0.740,0.560
2,4:24,3,2,GNB 35,14,14,Brett Hundley pass complete short middle to Randall Cobb for 1 yard (tackle by Cameron Heyward and T.J. Watt),0.560,-0.980
2,3:46,4,1,GNB 36,14,14,"Justin Vogel punts 48 yards, returned by Antonio Brown for 7 yards (tackle by Jermaine Whitehead)",-0.980,-0.480
2,3:35,1,10,PIT 23,14,14,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 8 yards (tackle by Jake Ryan),0.480,1.010
2,2:54,2,2,PIT 31,14,14,Le'Veon Bell right guard for 6 yards (tackle by Mike Daniels),1.010,1.400
2,2:15,1,10,PIT 37,14,14,Le'Veon Bell middle for 3 yards (tackle by Jake Ryan),1.400,1.260
2,2:00,2,7,PIT 40,14,14,Ben Roethlisberger middle for 14 yards (tackle by Blake Martinez),1.260,2.520
2,1:29,1,10,GNB 46,14,14,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell,2.520,1.980
2,1:24,2,10,GNB 46,14,14,Ben Roethlisberger pass complete short right to Le'Veon Bell for 3 yards (tackle by Morgan Burnett),1.980,0.000
2,1:18,,,,,,Timeout #1 by Pittsburgh Steelers,0.000,-1.680
2,1:18,3,7,GNB 43,14,14,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,1.680,0.400
2,1:13,4,7,GNB 43,14,14,"Jordan Berry punts 33 yards, fair catch by Trevor Davis",0.400,0.380
2,1:06,1,10,GNB 10,14,14,Jamaal Williams left guard for 12 yards (tackle by Mike Mitchell),-0.380,0.410
2,0:45,1,10,GNB 22,14,14,Brett Hundley pass complete short left to Jamaal Williams for 5 yards (tackle by Sean Davis),0.410,0.000
2,0:37,,,,,,Timeout #1 by Green Bay Packers,0.000,-0.540
2,0:37,2,5,GNB 27,14,14,Jamaal Williams middle for 2 yards (tackle by Ryan Shazier and Cameron Heyward),0.540,0.100
Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,14,14,"Chris Boswell kicks off 63 yards, returned by Trevor Davis for 22 yards (tackle by Mike Hilton)",0.000,-0.540
3,14:56,1,10,GNB 24,14,14,Jamaal Williams middle for 9 yards (tackle by Mike Mitchell),0.540,1.210
3,14:18,2,1,GNB 33,14,14,Jamaal Williams middle for no gain (tackle by Bud Dupree),1.210,0.500
3,13:41,3,1,GNB 33,14,14,Jamaal Williams middle for 5 yards (tackle by Vince Williams),0.500,1.470
3,13:10,1,10,GNB 38,14,14,Brett Hundley pass complete short left to Jamaal Williams for 7 yards (tackle by Ryan Shazier),1.470,1.870
3,12:28,2,3,GNB 45,14,14,Brett Hundley pass incomplete,1.870,0.000
3,12:17,,,,,,Timeout #1 by Green Bay Packers,0.000,-1.160
3,12:17,3,3,GNB 45,20,14,"Brett Hundley pass complete deep right to Davante Adams for 55 yards, touchdown",1.160,7.000
3,12:06,,,PIT 15,21,14,Mason Crosby kicks extra point good,0.000,0.000
3,12:06,,,GNB 35,21,14,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
3,12:06,1,10,PIT 25,21,14,Le'Veon Bell middle for 4 yards (tackle by Mike Daniels and Damarious Randall),0.610,0.600
3,11:33,2,6,PIT 29,21,14,Le'Veon Bell left guard for 11 yards (tackle by Josh Hawkins),0.600,1.600
3,10:56,1,10,PIT 40,21,14,Le'Veon Bell left tackle for 4 yards (tackle by Dean Lowry and Mike Daniels),1.600,1.590
3,10:17,2,6,PIT 44,21,14,Le'Veon Bell middle for 2 yards (tackle by Morgan Burnett and Jake Ryan),1.590,1.160
3,9:36,3,4,PIT 46,21,14,Ben Roethlisberger pass complete short left to Martavis Bryant for 10 yards (tackle by Josh Hawkins),1.160,2.650
3,8:58,1,10,GNB 44,21,14,Ben Roethlisberger pass complete short right to Martavis Bryant for 3 yards (tackle by Damarious Randall),2.650,2.520
3,8:18,2,7,GNB 41,21,14,"Le'Veon Bell right end for 5 yards (tackle by Blake Martinez). Penalty on Maurkice Pouncey: Offensive Holding, 10 yards (no play)",2.520,1.170
3,7:49,2,17,PIT 49,21,14,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell is intercepted by Blake Martinez at PIT-48 and returned for 3 yards,1.170,-2.590
