Unnamed: 0,GNB,PIT
First Downs,15,28
Rush-Yds-TDs,24-80-1,24-121-0
Cmp-Att-Yd-TD-INT,17-26-245-3-0,33-45-351-4-2
Sacked-Yards,4-18,1-10
Net Pass Yards,227,341
Total Yards,307,462
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,3-27,5-45
Third Down Conv.,6-13,8-13
Fourth Down Conv.,1-1,1-1
Time of Possession,26:24,33:36
