Quarter,Time,Tm,Detail,NYJ,CLE
2.0,0:00,Jets,Chandler Catanzaro 57 yard field goal,3,0
3.0,9:23,Browns,David Njoku 21 yard pass from Kevin Hogan (Zane Gonzalez kick),3,7
,4:17,Jets,Austin Seferian-Jenkins 2 yard pass from Josh McCown (Chandler Catanzaro kick),10,7
4.0,8:30,Jets,Jermaine Kearse 24 yard pass from Josh McCown (Chandler Catanzaro kick),17,7
,1:49,Browns,Duke Johnson 41 yard pass from Kevin Hogan (Zane Gonzalez kick),17,14
