Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
1,4:47,4,9,TAM 9,0,0,"Robert Malone punts 53 yards, returned by Lardarius Webb for 15 yards (tackle by Niko Koutouvides)",-2.490,-2.460
1,4:37,1,10,TAM 47,0,0,Ray Rice left end for 8 yards (tackle by Cody Grimm and Roy Miller),2.460,2.990
1,4:05,2,2,TAM 39,0,0,"Ray Rice left tackle for 1 yard (tackle by Roy Miller). Penalty on Derrick Mason: Offensive Holding, 10 yards",2.990,1.780
1,3:42,2,11,TAM 48,0,0,Ray Rice left end for 1 yard (tackle by Cody Grimm),1.780,1.290
1,3:14,3,10,TAM 46,0,0,Joe Flacco pass incomplete short right intended for Derrick Mason,1.290,0.200
1,3:14,4,10,TAM 46,0,0,"Sam Koch punts 38 yards, returned by Micheal Spurlock for 9 yards (tackle by David Reed). Penalty on Niko Koutouvides: Offensive Holding, 4 yards",0.200,0.380
1,2:58,1,10,TAM 4,0,0,Josh Freeman pass incomplete short right intended for John Gilmore,-0.380,-0.780
1,2:53,2,10,TAM 4,0,0,LeGarrette Blount middle for 4 yards (tackle by Ray Lewis and Haloti Ngata),-0.780,-0.950
1,2:13,3,6,TAM 8,0,0,Josh Freeman pass incomplete short right intended for Cadillac Williams,-0.950,-2.490
1,2:08,4,6,TAM 8,0,0,"Robert Malone punts 38 yards, returned by Lardarius Webb for 5 yards (tackle by Sabby Piscitelli)",-2.490,-2.850
1,1:59,1,10,TAM 41,0,0,Willis McGahee right guard for 4 yards (tackle by Quincy Black and Barrett Ruud),2.850,2.850
1,1:30,2,6,TAM 37,0,0,Joe Flacco pass complete short middle to Willis McGahee for 2 yards (tackle by Quincy Black and Sean Jones),2.850,2.410
1,0:51,3,4,TAM 35,0,0,Joe Flacco pass complete short right to T.J. Houshmandzadeh for 13 yards (tackle by E.J. Biggers),2.410,4.110
1,0:17,1,10,TAM 22,0,0,Ray Rice right guard for 3 yards (tackle by Stylez G. White and Sean Jones),4.110,3.970
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,TAM 19,0,0,Ray Rice left tackle for 3 yards (tackle by Cody Grimm and Barrett Ruud),3.970,3.740
2,14:25,3,4,TAM 16,0,0,Joe Flacco sacked by Gerald McCoy for -11 yards,3.740,1.670
2,14:00,4,15,TAM 27,0,3,Billy Cundiff 45 yard field goal good,1.670,3.000
2,,,,BAL 30,0,3,"Billy Cundiff kicks off 73 yards, touchback",0.000,0.280
2,13:54,1,10,TAM 20,0,3,Josh Freeman pass complete short left to Mike Williams for 9 yards (tackle by Dawan Landry),0.280,0.950
2,13:15,2,1,TAM 29,0,3,LeGarrette Blount right guard for 4 yards (tackle by Jarret Johnson and Cory Redding),0.950,1.140
2,12:34,1,10,TAM 33,0,3,LeGarrette Blount right end for 3 yards (tackle by Jarret Johnson),1.140,1.000
2,11:51,2,7,TAM 36,0,3,Josh Freeman pass incomplete deep left intended for Kellen Winslow (defended by Ed Reed),1.000,0.300
2,11:43,3,7,TAM 36,0,3,Josh Freeman pass incomplete short middle intended for Mike Williams (defended by Ed Reed),0.300,-0.980
2,11:38,4,7,TAM 36,0,3,"Robert Malone punts 43 yards, returned by Lardarius Webb for no gain",-0.980,-0.340
2,11:29,1,10,BAL 21,0,3,"Penalty on Michael Oher: False Start, 5 yards (no play)",0.340,-0.220
2,11:29,1,15,BAL 16,0,3,Ray Rice middle for 2 yards (tackle by Michael Bennett),-0.220,-0.700
2,10:58,2,13,BAL 18,0,3,Joe Flacco pass complete short right to Derrick Mason for 10 yards (tackle by Dekoda Watson),-0.700,0.040
2,10:25,3,3,BAL 28,0,3,Joe Flacco pass complete short left to Derrick Mason for 13 yards (tackle by Aqib Talib),0.040,1.660
2,9:48,1,10,BAL 41,0,3,Joe Flacco pass complete short left to Derrick Mason for 15 yards (tackle by Cody Grimm),1.660,2.650
2,9:20,1,10,TAM 44,0,3,Joe Flacco pass incomplete short left intended for Derrick Mason (defended by Aqib Talib),2.650,2.110
2,9:16,2,10,TAM 44,0,3,Joe Flacco pass incomplete short middle intended for Anquan Boldin (defended by Ronde Barber),2.110,1.420
2,9:10,3,10,TAM 44,0,3,Joe Flacco pass incomplete short right intended for T.J. Houshmandzadeh is intercepted by Aqib Talib at TAM-39 and returned for 25 yards,1.420,-3.180
2,8:56,1,10,BAL 36,0,3,Josh Freeman pass complete short left to Cadillac Williams for 1 yard (tackle by Jameel McClain),3.180,2.770
2,8:30,2,9,BAL 35,0,3,Josh Freeman pass complete short right to Arrelious Benn for 1 yard (tackle by Terrell Suggs),2.770,2.210
2,7:43,3,8,BAL 34,0,3,Josh Freeman pass complete deep middle to Kellen Winslow for 19 yards (tackle by Jarret Johnson),2.210,4.580
2,7:04,1,10,BAL 15,0,3,LeGarrette Blount right tackle for 3 yards (tackle by Jarret Johnson),4.580,4.450
2,6:18,,,,0,3,Timeout #1 by Tampa Bay Buccaneers,0.000,4.450
2,6:18,2,7,BAL 12,0,3,Josh Freeman pass incomplete short middle intended for Arrelious Benn (defended by Ed Reed),4.450,3.580
2,6:14,3,7,BAL 12,0,3,Josh Freeman middle for 8 yards (tackle by Tavares Gooden),3.580,6.280
2,5:27,1,4,BAL 4,0,3,Josh Freeman pass incomplete short left intended for Mike Williams (defended by Ed Reed),6.280,5.340
2,5:22,2,4,BAL 4,0,3,LeGarrette Blount left tackle for no gain (tackle by Haloti Ngata and Ray Lewis),5.340,4.490
2,4:40,3,4,BAL 4,0,3,Josh Freeman pass incomplete short middle intended for Kellen Winslow (defended by Ed Reed),4.490,3.030
2,4:36,4,4,BAL 4,3,3,Connor Barth 22 yard field goal good,3.030,3.000
2,,,,TAM 30,3,3,"Connor Barth kicks off 76 yards, returned by David Reed for 30 yards (tackle by Niko Koutouvides)",0.000,0.540
2,4:27,1,10,BAL 24,3,3,Joe Flacco pass complete short middle to Willis McGahee for 8 yards (tackle by Roy Miller),0.540,1.080
2,3:55,2,2,BAL 32,3,3,Willis McGahee left tackle for 3 yards (tackle by Al Woods),1.080,1.270
2,3:21,1,10,BAL 35,3,3,Joe Flacco pass incomplete short left intended for Derrick Mason,1.270,0.720
2,3:14,2,10,BAL 35,3,9,"Joe Flacco pass complete deep left to Todd Heap for 65 yards, touchdown",0.720,7.000
2,,,,TAM 2,3,10,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 30,3,10,"Billy Cundiff kicks off 62 yards, returned by Micheal Spurlock for 37 yards (tackle by Billy Cundiff)",0.000,1.930
2,2:56,1,10,TAM 45,3,10,Cadillac Williams left end for -3 yards (tackle by Terrell Suggs),1.930,0.980
2,2:14,2,13,TAM 42,3,10,Josh Freeman pass incomplete short left intended for Mike Williams,0.980,0.300
2,2:09,3,13,TAM 42,3,10,Josh Freeman pass incomplete short right intended for Kellen Winslow,0.300,-0.590
2,2:01,4,13,TAM 42,3,10,"Robert Malone punts 23 yards. Penalty on Corey Lynch: Offensive Holding, 10 yards",-0.590,-1.930
2,1:54,1,10,BAL 45,3,10,Joe Flacco pass complete short middle to Ray Rice for 8 yards (tackle by Ronde Barber),1.930,2.460
2,1:26,2,2,TAM 47,3,10,Joe Flacco pass complete short left to Derrick Mason for 6 yards (tackle by Aqib Talib),2.460,2.850
2,0:55,1,10,TAM 41,3,10,Joe Flacco pass incomplete deep left intended for Derrick Mason,2.850,2.310
2,0:51,2,10,TAM 41,3,10,Joe Flacco pass complete short left to Derrick Mason for 7 yards (tackle by Aqib Talib),2.310,2.540
2,0:42,,,,3,10,Timeout #1 by Baltimore Ravens,0.000,2.540
2,0:42,3,3,TAM 34,3,10,"Joe Flacco pass incomplete deep right intended for T.J. Houshmandzadeh. Penalty on Myron Lewis: Defensive Pass Interfere, 24 yards (no play)",2.540,4.910
2,0:37,1,10,TAM 10,3,16,"Joe Flacco pass complete short middle to Derrick Mason for 10 yards, touchdown",4.910,7.000
2,,,,TAM 2,3,17,"Billy Cundiff kicks extra point good. Penalty on Ronde Barber: Defensive Offside, 5 yards",0.000,0.000
2,,,,BAL 35,3,17,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
2,0:32,1,10,TAM 20,3,17,Josh Freeman kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,3,17,"Connor Barth kicks off 71 yards, returned by David Reed for 20 yards (tackle by Maurice Stovall)",0.000,0.150
3,14:56,1,10,BAL 19,3,17,Joe Flacco pass complete short left to Anquan Boldin for 5 yards (tackle by Sabby Piscitelli),0.150,0.340
3,14:21,2,5,BAL 24,3,17,Ray Rice left guard for 4 yards (tackle by Gerald McCoy and Roy Miller),0.340,0.100
3,13:44,3,1,BAL 28,3,17,Joe Flacco middle for no gain (tackle by Barrett Ruud),0.100,-1.500
3,13:11,4,1,BAL 28,3,17,"Sam Koch punts 46 yards, returned by Micheal Spurlock for 6 yards (tackle by Jalen Parmele)",-1.500,-1.070
3,12:57,1,10,TAM 32,3,17,LeGarrette Blount right end for 16 yards (tackle by Dawan Landry and Jameel McClain),1.070,2.130
3,12:57,1,10,TAM 48,3,17,"Penalty on John Gilmore: False Start, 5 yards (no play)",2.130,1.800
3,11:56,1,15,TAM 43,3,17,LeGarrette Blount right tackle for 2 yards (tackle by Kelly Gregg and Jarret Johnson),1.800,1.180
3,11:13,2,13,TAM 45,3,17,Cadillac Williams right end for 11 yards (tackle by Dawan Landry),1.180,1.950
3,10:44,3,2,BAL 44,3,17,Josh Freeman pass incomplete short right intended for Cadillac Williams,1.950,0.330
3,10:37,4,2,BAL 44,3,17,"Robert Malone punts 37 yards, muffed catch by Ed Reed, recovered by Ed Reed and returned for no gain",0.330,0.380
3,10:29,1,10,BAL 7,3,17,Joe Flacco pass complete short right to Derrick Mason for 13 yards (tackle by Geno Hayes),-0.380,0.280
3,10:04,1,10,BAL 20,3,17,Joe Flacco sacked by Sean Jones for -10 yards,0.280,-1.510
3,9:28,2,20,BAL 10,3,17,Ray Rice left guard for 3 yards (tackle by Geno Hayes),-1.510,-2.190
3,8:43,3,17,BAL 13,3,17,Joe Flacco pass incomplete short right intended for Ray Rice,-2.190,-2.490
3,8:39,4,17,BAL 13,3,17,"Sam Koch punts 58 yards, returned by Micheal Spurlock for 12 yards (tackle by Jason Phillips). Penalty on Adam Hayward: Illegal Block Above the , 10 yards",-2.490,-0.810
3,8:26,1,10,TAM 28,3,17,Josh Freeman pass complete short right to John Gilmore for 30 yards (tackle by Ray Lewis),0.810,2.790
3,7:40,1,10,BAL 42,3,17,LeGarrette Blount left tackle for 4 yards (tackle by Haruki Nakamura and Jarret Johnson),2.790,2.780
3,6:58,2,6,BAL 38,3,17,Josh Freeman pass incomplete deep middle intended for Sammie Stroughter,2.780,2.080
3,6:53,,,,3,17,Timeout #1 by Tampa Bay Buccaneers,0.000,2.080
3,6:53,3,6,BAL 38,3,17,Josh Freeman pass incomplete short left intended for Kellen Winslow,2.080,0.720
3,6:48,4,6,BAL 38,3,17,"Robert Malone punts 25 yards, fair catch by Ed Reed",0.720,0.320
3,6:41,1,10,BAL 13,3,17,Ray Rice left end for 9 yards (tackle by Roy Miller),-0.320,0.490
3,6:10,2,1,BAL 22,3,17,Ray Rice left tackle for 2 yards (tackle by Barrett Ruud and Alex Magee),0.490,0.540
3,5:31,1,10,BAL 24,3,17,"Joe Flacco pass complete short right to Ray Rice for 6 yards. Penalty on Anquan Boldin: Illegal Block Above the , 10 yards",0.540,0.280
3,5:14,1,14,BAL 20,3,17,Willis McGahee right guard for 3 yards (tackle by Roy Miller),0.280,-0.140
3,4:39,2,11,BAL 23,3,17,Joe Flacco pass complete short middle to Anquan Boldin for 22 yards (tackle by Sean Jones),-0.140,1.930
3,4:07,1,10,BAL 45,3,17,Joe Flacco pass complete short right to Willis McGahee for 3 yards (tackle by Barrett Ruud),1.930,1.790
3,3:34,2,7,BAL 48,3,17,Joe Flacco pass incomplete short middle intended for Derrick Mason,1.790,1.090
3,3:29,3,7,BAL 48,3,17,Joe Flacco pass incomplete deep right intended for Todd Heap,1.090,-0.190
3,3:22,4,7,BAL 48,3,17,Sam Koch punts 43 yards,-0.190,0.380
3,3:13,1,10,TAM 9,3,17,Josh Freeman pass incomplete short right intended for Kellen Winslow,-0.380,-0.780
3,3:08,2,10,TAM 9,3,17,LeGarrette Blount right tackle for 8 yards (tackle by Ray Lewis),-0.780,-0.480
3,2:28,3,2,TAM 17,3,17,Josh Freeman pass incomplete short right intended for Cadillac Williams. Penalty on Jeremy Zuttah: Offensive Holding (Declined),-0.480,-2.320
,,,,,,,"TAM challenged the incomplete pass ruling, and the original play was overturned.",,
3,2:19,4,2,TAM 17,3,17,"Robert Malone punts 55 yards, fair catch by Lardarius Webb",-2.320,-0.810
3,2:11,1,10,BAL 28,3,17,Willis McGahee right end for 2 yards (tackle by Geno Hayes),0.810,0.530
3,1:31,2,8,BAL 30,3,17,Joe Flacco pass complete short middle to Todd Heap for 14 yards (tackle by Sean Jones),0.530,1.860
3,0:53,1,10,BAL 44,3,17,Joe Flacco pass complete short right to Anquan Boldin for no gain,1.860,1.320
3,0:15,2,10,BAL 44,3,17,Joe Flacco sacked by Gerald McCoy for -6 yards,1.320,-0.160
Quarter,Time,Down,ToGo,Location,TAM,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,16,BAL 38,3,17,Joe Flacco pass complete short middle to Ray Rice for 9 yards (tackle by Geno Hayes and Ronde Barber),-0.160,-0.260
4,14:23,4,7,BAL 47,3,17,"Sam Koch punts 53 yards, touchback",-0.260,-0.280
4,14:15,1,10,TAM 20,3,17,Josh Freeman for 12 yards (tackle by Jameel McClain),0.280,1.070
4,13:39,1,10,TAM 32,3,17,Josh Freeman pass complete short middle to Cadillac Williams for 8 yards (tackle by Ray Lewis),1.070,1.610
4,12:58,2,2,TAM 40,3,17,Cadillac Williams left guard for no gain (tackle by Terrell Suggs),1.610,0.890
4,12:13,3,2,TAM 40,3,17,Josh Freeman pass incomplete deep right intended for Micheal Spurlock,0.890,-0.720
4,12:07,4,2,TAM 40,3,17,Robert Malone punts 34 yards,-0.720,-0.670
4,11:58,1,10,BAL 26,3,17,Ray Rice right guard for 2 yards (tackle by Sabby Piscitelli),0.670,0.400
4,11:21,2,8,BAL 28,3,17,"Penalty on Roy Miller: Neutral Zone Infraction, 5 yards (no play)",0.400,1.070
4,11:00,2,3,BAL 33,3,17,Ray Rice left guard for 4 yards (tackle by Tim Crowder),1.070,1.400
4,10:20,1,10,BAL 37,3,17,"Penalty on Oniel Cousins: False Start, 5 yards (no play)",1.400,1.070
4,10:01,1,15,BAL 32,3,17,Joe Flacco pass complete short middle to Ray Rice for 1 yard (tackle by Al Woods),1.070,0.320
4,9:20,2,14,BAL 33,3,17,Ray Rice middle for 8 yards (tackle by Tim Crowder),0.320,0.700
4,8:42,3,6,BAL 41,3,17,Joe Flacco pass complete short left to Ray Rice for 3 yards (tackle by Geno Hayes and Barrett Ruud),0.700,-0.460
4,7:57,4,3,BAL 44,3,17,Sam Koch punts 33 yards,-0.460,-0.480
4,7:43,1,10,TAM 23,3,17,Josh Freeman pass complete short right to Mike Williams for 11 yards (tackle by Lardarius Webb),0.480,1.200
4,7:20,1,10,TAM 34,3,17,"Josh Freeman pass complete short left to Micheal Spurlock for 6 yards (tackle by Josh Wilson). Josh Freeman fumbles, recovered by Josh Freeman at TAM-30",1.200,1.470
,,,,,,,"BAL challenged the pass completion ruling, and the play was upheld.",,
4,6:45,2,4,TAM 40,3,17,Josh Freeman pass complete short right to Kellen Winslow for 11 yards (tackle by Lardarius Webb and Tavares Gooden),1.470,2.320
4,6:19,1,10,BAL 49,3,17,Josh Freeman pass incomplete deep right intended for Micheal Spurlock,2.320,1.780
4,6:10,2,10,BAL 49,3,17,Josh Freeman pass complete short left to Kellen Winslow for 9 yards (tackle by Terrell Suggs and Josh Wilson),1.780,2.280
4,5:38,3,1,BAL 40,3,17,Josh Freeman middle for 2 yards (tackle by Cory Redding and Ray Lewis),2.280,3.050
4,5:12,1,10,BAL 38,3,17,Josh Freeman pass incomplete short right intended for Arrelious Benn,3.050,2.510
4,5:08,2,10,BAL 38,3,17,Josh Freeman pass complete short right to Arrelious Benn for 9 yards (tackle by Haruki Nakamura and Lardarius Webb),2.510,3.010
4,4:46,3,1,BAL 29,3,17,Josh Freeman middle for 4 yards (tackle by Terrell Suggs),3.010,3.910
4,4:17,1,10,BAL 25,3,17,Josh Freeman pass complete short middle to Cadillac Williams for 9 yards (tackle by Tavares Gooden and Ray Lewis),3.910,4.750
4,3:47,2,1,BAL 16,3,17,Josh Freeman pass incomplete deep left intended for Mike Williams,4.750,4.060
4,3:41,3,1,BAL 16,3,17,Cadillac Williams middle for 11 yards (tackle by Josh Wilson),4.060,6.060
4,3:11,1,5,BAL 5,9,17,"Josh Freeman pass complete short middle to Kellen Winslow for 5 yards, touchdown",6.060,7.000
4,,,,BAL 2,10,17,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 30,10,17,"Connor Barth kicks off 65 yards, returned by Chris Carr for 14 yards",0.000,0.150
4,3:00,1,10,BAL 19,10,17,Ray Rice left guard for 1 yard (tackle by Aqib Talib),0.150,-0.200
4,2:54,,,,10,17,Timeout #2 by Tampa Bay Buccaneers,0.000,-0.200
4,2:54,2,9,BAL 20,10,17,Joe Flacco pass complete short middle to Ray Rice for 11 yards (tackle by Tim Crowder),-0.200,1.000
4,2:10,1,10,BAL 31,10,17,Ray Rice right guard for 16 yards (tackle by Sabby Piscitelli),1.000,2.060
4,2:00,1,10,BAL 47,10,17,Ray Rice right guard for 6 yards (tackle by Geno Hayes),2.060,2.330
4,1:56,,,,10,17,Timeout #3 by Tampa Bay Buccaneers,0.000,2.330
4,1:56,2,4,TAM 47,10,17,Ray Rice right guard for 6 yards (tackle by Barrett Ruud and Sean Jones),2.330,2.850
4,1:56,1,10,TAM 41,10,17,Joe Flacco kneels for -1 yards,2.850,2.170
4,0:35,2,11,TAM 42,10,17,Joe Flacco kneels for -1 yards,2.170,1.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
