Quarter,Time,Tm,Detail,TAM,BAL
2.0,13:54,Ravens,Billy Cundiff 45 yard field goal,0,3
,4:32,Buccaneers,Connor Barth 22 yard field goal,3,3
,3:04,Ravens,Todd Heap 65 yard pass from Joe Flacco (Billy Cundiff kick),3,10
,0:32,Ravens,Derrick Mason 10 yard pass from Joe Flacco (Billy Cundiff kick),3,17
4.0,3:05,Buccaneers,Kellen Winslow 5 yard pass from Josh Freeman (Connor Barth kick),10,17
