Unnamed: 0,TAM,BAL
First Downs,14,18
Rush-Yds-TDs,23-101-0,26-92-0
Cmp-Att-Yd-TD-INT,17-37-162-1-0,25-35-289-2-1
Sacked-Yards,0-0,4-32
Net Pass Yards,162,257
Total Yards,263,349
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,9-78,4-30
Third Down Conv.,6-16,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:58,31:02
