Unnamed: 0,PHI,SFO
First Downs,21,14
Rush-Yds-TDs,21-103-1,27-131-1
Cmp-Att-Yd-TD-INT,23-36-280-2-1,17-30-199-0-2
Sacked-Yards,0-0,3-24
Net Pass Yards,280,175
Total Yards,383,306
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,2-10,10-58
Third Down Conv.,6-12,2-12
Fourth Down Conv.,0-0,1-1
Time of Possession,26:41,33:19
