Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,PHI 20,0,0,Donovan McNabb pass incomplete short right intended for DeSean Jackson,0.280,-0.270
1,14:57,2,10,PHI 20,0,0,Donovan McNabb pass complete short right to Dan Klecko for 2 yards (tackle by Parys Haralson),-0.270,-0.690
1,14:13,3,8,PHI 22,0,0,Donovan McNabb pass incomplete short left intended for Hank Baskett (defended by Tarell Brown),-0.690,-1.900
1,14:07,4,8,PHI 22,0,0,"Saverio Rocca punts 41 yards, returned by Allen Rossum for 45 yards (tackle by Chris Gocong)",-1.900,-4.370
1,13:54,1,10,PHI 18,0,0,Frank Gore up the middle for 6 yards (tackle by Omar Gaither),4.370,4.810
1,13:25,2,4,PHI 12,0,0,Frank Gore left tackle for -2 yards (tackle by Chris Gocong and Trent Cole),4.810,3.630
1,12:43,3,6,PHI 14,0,0,J.T. O'Sullivan pass incomplete short right intended for Josh Morgan (defended by Asante Samuel),3.630,2.530
1,12:38,4,6,PHI 14,0,3,Joe Nedney 32 yard field goal good,2.530,3.000
1,,,,SFO 30,0,3,"Joe Nedney kicks off 70 yards, returned by Quintin Demps for 63 yards (tackle by Dashon Goldson)",0.000,3.120
1,12:23,1,10,SFO 37,0,3,Correll Buckhalter left guard for 5 yards (tackle by Takeo Spikes),3.120,3.250
1,11:49,2,5,SFO 32,0,3,Correll Buckhalter left tackle for 3 yards (tackle by Aubrayo Franklin),3.250,2.940
1,11:06,3,2,SFO 29,0,3,Donovan McNabb pass complete deep right to Hank Baskett for 16 yards (tackle by Mark Roman),2.940,4.710
1,10:25,1,10,SFO 13,0,3,Donovan McNabb pass complete short left to Greg Lewis for 9 yards (tackle by Walt Harris),4.710,5.730
1,9:57,2,1,SFO 4,0,3,Donovan McNabb pass incomplete short left intended for Correll Buckhalter,5.730,5.010
1,9:51,3,1,SFO 4,0,3,Correll Buckhalter up the middle for 3 yards (tackle by Justin Smith),5.010,6.970
1,9:13,1,1,SFO 1,6,3,"Correll Buckhalter up the middle for 1 yard, touchdown",6.970,7.000
1,,,,SFO 2,7,3,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,,,"David Akers kicks off 63 yards, returned by Allen Rossum for 20 yards (tackle by Chris Clemons)",,
1,9:04,1,10,SFO 27,7,3,Frank Gore left guard for 6 yards (tackle by Stewart Bradley),0.740,1.010
1,8:33,2,4,SFO 33,7,3,Frank Gore up the middle for 17 yards (tackle by Quintin Mikell),1.010,2.260
1,7:58,1,10,,7,3,Frank Gore up the middle for -1 yards (tackle by Omar Gaither),2.260,1.580
1,7:25,2,11,SFO 49,7,3,J.T. O'Sullivan pass complete short left to Vernon Davis for -1 yards (tackle by Quintin Mikell),1.580,0.760
1,6:40,3,12,SFO 48,7,3,"Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",0.760,1.420
1,6:16,3,7,PHI 47,7,3,J.T. O'Sullivan pass complete short right to Vernon Davis for 24 yards (tackle by Lito Sheppard),1.420,4.040
1,5:30,1,10,PHI 23,7,3,J.T. O'Sullivan pass complete short right to Frank Gore for 9 yards (tackle by Stewart Bradley),4.040,4.950
1,4:55,2,1,PHI 14,7,3,"Penalty on Eric Heitmann: False Start, 5 yards (no play)",4.950,4.050
1,4:37,2,6,PHI 19,7,3,J.T. O'Sullivan pass incomplete deep middle intended for Delanie Walker,4.050,3.340
1,4:32,3,6,PHI 19,7,3,J.T. O'Sullivan pass incomplete short middle intended for Frank Gore,3.340,2.210
1,4:29,4,6,PHI 19,7,6,Joe Nedney 37 yard field goal good,2.210,3.000
1,,,,SFO 30,7,6,"Joe Nedney kicks off 65 yards, returned by Quintin Demps for 17 yards (tackle by Keith Lewis)",0.000,0.410
1,4:19,1,10,PHI 22,7,6,Donovan McNabb pass complete short middle to Greg Lewis for 13 yards (tackle by Walt Harris),0.410,1.270
1,3:42,1,10,PHI 35,7,6,DeSean Jackson right end for 1 yard (tackle by Isaac Sopoaga),1.270,0.860
1,2:56,2,9,PHI 36,7,6,Donovan McNabb pass complete short middle to Hank Baskett for 10 yards (tackle by Walt Harris),0.860,1.990
1,2:20,1,10,PHI 46,7,6,Correll Buckhalter up the middle for 3 yards (tackle by Aubrayo Franklin),1.990,1.860
1,1:35,2,7,PHI 49,7,6,Donovan McNabb pass incomplete short left intended for DeSean Jackson,1.860,1.160
1,1:30,3,7,PHI 49,7,6,Donovan McNabb pass complete short middle to Jason Avant for 17 yards (tackle by Dashon Goldson),1.160,3.310
1,0:51,1,10,SFO 34,7,6,Donovan McNabb pass complete short right to Correll Buckhalter for 25 yards (tackle by Michael Lewis),3.310,5.140
Quarter,Time,Down,ToGo,Location,PHI,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,SFO 9,7,6,Donovan McNabb pass complete short left to DeSean Jackson for 7 yards (tackle by Walt Harris),5.140,5.720
2,14:18,2,2,SFO 2,7,6,Donovan McNabb pass incomplete short right intended for DeSean Jackson (defended by Walt Harris),5.720,4.950
2,14:10,3,2,SFO 2,13,6,"Donovan McNabb pass complete short left to Hank Baskett for 2 yards, touchdown",4.950,7.000
2,,,,SFO 2,14,6,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,14,6,"David Akers kicks off 67 yards, returned by Allen Rossum for 18 yards (tackle by Torrance Daniels). Penalty on Michael Robinson: Offensive Holding, 10 yards",0.000,-0.370
