Unnamed: 0,CLE,OAK
First Downs,17,19
Rush-Yds-TDs,19-88-1,41-186-1
Cmp-Att-Yd-TD-INT,18-37-248-1-2,14-26-226-1-0
Sacked-Yards,1-24,2-16
Net Pass Yards,224,210
Total Yards,312,396
Fumbles-Lost,1-0,3-2
Turnovers,2,2
Penalties-Yards,9-64,7-55
Third Down Conv.,5-14,7-16
Fourth Down Conv.,1-1,1-1
Time of Possession,23:43,36:17
