Quarter,Time,Tm,Detail,CLE,OAK
1.0,0:37,Raiders,Sebastian Janikowski 32 yard field goal,0,3
2.0,11:00,Raiders,Sebastian Janikowski 22 yard field goal,0,6
,4:45,Raiders,Ronald Curry 41 yard pass from Josh McCown (Sebastian Janikowski kick),0,13
,2:05,Raiders,Sebastian Janikowski 23 yard field goal,0,16
,1:53,Browns,Josh Cribbs 99 yard kickoff return (Phil Dawson kick),7,16
,0:11,Browns,Phil Dawson 23 yard field goal,10,16
3.0,9:16,Browns,Braylon Edwards 21 yard pass from Derek Anderson (Phil Dawson kick),17,16
,0:10,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),17,23
4.0,8:11,Raiders,Sebastian Janikowski 48 yard field goal,17,26
,3:33,Browns,Derek Anderson 1 yard rush (Phil Dawson kick),24,26
