Unnamed: 0,ARI,SEA
First Downs,24,22
Rush-Yds-TDs,18-57-1,31-165-1
Cmp-Att-Yd-TD-INT,29-42-269-2-0,23-28-197-2-0
Sacked-Yards,3-12,3-15
Net Pass Yards,257,182
Total Yards,314,347
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,10-115,8-79
Third Down Conv.,6-11,8-14
Fourth Down Conv.,0-1,0-0
Time of Possession,24:53,35:07
