Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Russell Wilson sacked by Angelo Blackson for -6 yards,0.610,-0.810
1,14:24,2,16,SEA 19,0,0,Russell Wilson pass complete short right to Greg Olsen for 10 yards (tackle by Jordan Hicks),-0.810,-0.100
1,13:58,3,6,SEA 29,0,0,Russell Wilson pass complete short left to Carlos Hyde for 9 yards (tackle by Byron Murphy),-0.100,1.470
1,13:17,1,10,SEA 38,0,0,Carlos Hyde right end for 5 yards (tackle by Dre Kirkpatrick),1.470,1.600
1,13:06,2,5,SEA 43,0,0,Carlos Hyde right guard for 2 yards (tackle by Josh Mauro and Angelo Blackson),1.600,1.160
1,12:21,3,3,SEA 45,0,0,Russell Wilson pass complete short left to Tyler Lockett for 4 yards (tackle by Byron Murphy),1.160,2.190
1,11:38,1,10,SEA 49,0,0,Bo Scarbrough right tackle for 5 yards (tackle by Trevon Coley),2.190,2.320
1,11:04,2,5,ARI 46,0,0,Russell Wilson pass complete short right to Tyler Lockett for 10 yards (tackle by Dre Kirkpatrick),2.320,3.180
1,10:37,1,10,ARI 36,0,0,Carlos Hyde left end for -1 yards (tackle by Budda Baker),3.180,2.500
1,10:01,2,11,ARI 37,0,0,Russell Wilson up the middle for 9 yards (tackle by Jordan Hicks),2.500,3.010
1,9:17,3,2,ARI 28,0,0,Carlos Hyde left end for 3 yards (tackle by Patrick Peterson),3.010,3.910
1,8:53,1,10,ARI 25,0,6,"Russell Wilson pass complete deep right to D.K. Metcalf for 25 yards, touchdown, touchdown",3.910,7.000
1,8:45,,,ARI 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,8:45,,,SEA 35,0,7,"Jason Myers kicks off 64 yards, returned by Chase Edmonds for 24 yards (tackle by Nick Bellore)",0.000,0.610
1,8:40,1,10,ARI 25,0,7,Kyler Murray pass complete short right to Kenyan Drake for 3 yards (tackle by Jamal Adams),0.610,0.470
1,8:22,2,7,ARI 28,0,7,Kyler Murray pass incomplete short right,0.470,-0.230
1,8:17,3,7,ARI 28,0,7,Kyler Murray pass incomplete short left intended for DeAndre Hopkins,-0.230,-1.500
1,8:12,4,7,ARI 28,0,7,"Andy Lee punts 49 yards, fair catch by David Moore at SEA-23",-1.500,-0.480
1,8:06,1,10,SEA 23,0,7,"Russell Wilson aborted snap, recovered by David Moore at SEA-26",0.480,0.340
1,7:30,2,7,SEA 26,0,7,Russell Wilson up the middle for 5 yards (tackle by Trevon Coley),0.340,0.300
1,6:45,3,2,SEA 31,0,7,Russell Wilson sacked by Isaiah Simmons for -6 yards,0.300,-1.700
1,6:08,4,8,SEA 25,0,7,"Michael Dickson punts 45 yards, returned by Christian Kirk for 6 yards (tackle by Ryan Neal and Cody Barton)",-1.700,-1.330
1,5:57,1,10,ARI 36,0,7,Kenyan Drake right guard for 3 yards (tackle by Carlos Dunlap and Bobby Wagner),1.330,1.200
1,5:29,2,7,ARI 39,0,7,Kyler Murray sacked by L.J. Collier for no gain,1.200,0.500
1,4:50,3,7,ARI 39,0,7,"Penalty on Dan Arnold: False Start, 5 yards (no play)",0.500,-0.160
1,4:28,3,12,ARI 34,0,7,Kyler Murray pass complete short left to Larry Fitzgerald for 1 yard (tackle by Carlos Dunlap and Ugo Amadi),-0.160,-1.040
1,3:59,4,11,ARI 35,0,7,"Andy Lee punts 54 yards, returned by David Moore for 11 yards (tackle by D.J. Foster and Zeke Turner)",-1.040,-0.410
1,3:45,1,10,SEA 22,0,7,Russell Wilson pass complete short right to Jacob Hollister for 5 yards (tackle by Haason Reddick),0.410,0.540
1,3:19,2,5,SEA 27,0,7,Bo Scarbrough left end for 1 yard (tackle by Patrick Peterson),0.540,-0.030
1,2:35,3,4,SEA 28,0,7,"Russell Wilson pass complete deep right to D.K. Metcalf for 41 yards (tackle by Patrick Peterson). Penalty on Damien Lewis: Offensive Holding, 10 yards (no play)",-0.030,-1.490
1,2:04,3,14,SEA 18,0,7,Russell Wilson pass incomplete deep left intended for Carlos Hyde,-1.490,-2.240
1,1:52,4,14,SEA 18,0,7,"Michael Dickson punts 49 yards, returned by Christian Kirk for 2 yards (tackle by Nick Bellore). Penalty on Ryan Neal: Unsportsmanlike Conduct, 15 yards",-2.240,-2.260
1,1:43,1,10,ARI 50,0,7,Kyler Murray right end for 6 yards (tackle by K.J. Wright),2.260,2.520
1,0:57,2,4,SEA 44,0,7,Kenyan Drake right guard for 3 yards (tackle by Damon Harrison),2.520,2.210
1,0:36,3,1,SEA 41,0,7,Kenyan Drake up the middle for 3 yards (tackle by Ugo Amadi),2.210,3.050
1,0:05,1,10,SEA 38,0,7,Kenyan Drake right end for 4 yards (tackle by D.J. Reed),3.050,3.050
Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,SEA 34,0,7,Kyler Murray pass complete short left to DeAndre Hopkins for 7 yards,3.050,3.780
2,14:35,1,10,SEA 27,0,7,Kyler Murray pass incomplete short left intended for Kenyan Drake (defended by Jarran Reed),3.780,3.230
2,14:31,2,10,SEA 27,0,7,Kyler Murray pass complete deep left to Maxx Williams for 25 yards (tackle by Quandre Diggs),3.230,6.740
2,13:54,,,,,,Timeout #1 by Arizona Cardinals,,
2,13:54,1,2,SEA 2,6,7,"Kenyan Drake up the middle for 2 yards, touchdown",6.740,7.000
2,13:51,,,SEA 15,7,7,Zane Gonzalez kicks extra point good,0.000,0.000
2,13:51,,,ARI 35,7,7,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
