Unnamed: 0,WAS,DAL
First Downs,14,28
Rush-Yds-TDs,20-85-0,28-108-1
Cmp-Att-Yd-TD-INT,15-32-188-2-2,30-42-400-5-0
Sacked-Yards,5-16,3-11
Net Pass Yards,172,389
Total Yards,257,497
Fumbles-Lost,1-0,2-0
Turnovers,2,0
Penalties-Yards,1-13,3-15
Third Down Conv.,3-13,10-15
Fourth Down Conv.,1-2,1-1
Time of Possession,28:29,31:31
