Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 60 yards, returned by Brandon Bolden for 15 yards (tackle by Vince Williams)",0.000,0.280
1,14:56,1,10,NWE 20,0,0,Sony Michel left guard for -1 yards (tackle by Stephon Tuitt),0.280,-0.460
1,14:17,2,11,NWE 19,0,0,Brandon Bolden right end for 7 yards (tackle by Mark Barron),-0.460,-0.160
1,13:43,3,4,NWE 26,0,0,James White right end for 9 yards (tackle by Joe Haden),-0.160,1.270
1,13:14,1,10,NWE 35,0,0,Sony Michel left tackle for 3 yards (tackle by Steven Nelson and Tyson Alualu),1.270,1.130
1,12:43,2,7,NWE 38,0,0,Sony Michel right end for -3 yards (tackle by Stephon Tuitt and Terrell Edmunds),1.130,0.040
1,12:06,3,10,NWE 35,0,0,Tom Brady pass incomplete deep middle intended for Julian Edelman,0.040,-1.040
1,12:01,4,10,NWE 35,0,0,Jake Bailey punts 53 yards out of bounds,-1.040,0.350
1,11:54,1,10,PIT 12,0,0,James Conner right guard for 4 yards (tackle by Dont'a Hightower),-0.350,-0.370
1,11:16,2,6,PIT 16,0,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Dont'a Hightower and Stephon Gilmore),-0.370,0.480
1,10:38,1,10,PIT 23,0,0,Ben Roethlisberger pass complete short left to James Conner for 9 yards (tackle by Stephon Gilmore),0.480,1.150
1,10:07,2,1,PIT 32,0,0,James Conner right tackle for 3 yards (tackle by Lawrence Guy and Shilique Calhoun),1.150,1.270
1,9:27,1,10,PIT 35,0,0,James Conner left guard for 2 yards (tackle by Patrick Chung and Lawrence Guy),1.270,0.990
1,8:49,2,8,PIT 37,0,0,Jaylen Samuels left tackle for 2 yards (tackle by Dont'a Hightower),0.990,0.560
1,8:07,3,6,PIT 39,0,0,Ben Roethlisberger pass incomplete deep right intended for Johnny Holton (defended by Jonathan Jones),0.560,-0.780
1,8:01,4,6,PIT 39,0,0,"Jordan Berry punts 43 yards, fair catch by Gunner Olszewski at NE-18",-0.780,-0.040
1,7:54,1,10,NWE 18,0,0,Tom Brady pass incomplete short left intended for Julian Edelman,0.040,-0.490
1,7:50,2,10,NWE 18,0,0,Tom Brady pass complete short middle to Rex Burkhead for 17 yards (tackle by Mike Hilton),-0.490,1.270
1,7:20,1,10,NWE 35,0,0,"Tom Brady pass incomplete short middle intended for Julian Edelman. Penalty on Ryan Izzo: Offensive Pass Interference, 10 yards (no play)",1.270,0.610
1,7:14,1,20,NWE 25,0,0,James White up the middle for 8 yards (tackle by Mark Barron and Devin Bush),0.610,0.450
1,6:36,2,12,NWE 33,0,0,James White right guard for 7 yards (tackle by Tyson Alualu and Devin Bush),0.450,0.700
1,5:58,3,5,NWE 40,0,0,Tom Brady pass complete short left to Phillip Dorsett for 8 yards (tackle by Joe Haden),0.700,2.130
1,5:35,1,10,NWE 48,0,0,Julian Edelman pass complete short left to James White for 32 yards (tackle by Cameron Sutton),2.130,4.240
1,4:55,1,10,PIT 20,0,6,"Tom Brady pass complete short right to Josh Gordon for 20 yards, touchdown",4.240,7.000
1,4:46,,,PIT 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,4:46,,,NWE 35,0,7,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
1,4:46,1,10,PIT 25,0,7,Jaylen Samuels left guard for 2 yards (tackle by Jamie Collins),0.610,0.330
1,4:06,2,8,PIT 27,0,7,"Ben Roethlisberger pass complete short middle to Jaylen Samuels for no gain (tackle by Dont'a Hightower). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (no play)",0.330,-1.150
1,3:35,2,18,PIT 17,0,7,Ben Roethlisberger pass complete short middle to Donte Moncrief for 3 yards (tackle by Jason McCourty),-1.150,-1.290
1,3:25,3,15,PIT 20,0,7,"Penalty on Donte Moncrief: False Start, 5 yards (no play)",-1.290,-2.350
1,3:05,3,20,PIT 15,0,7,Ben Roethlisberger pass complete short left to Diontae Johnson for 9 yards (tackle by Jason McCourty),-2.350,-1.770
1,2:33,4,11,PIT 24,0,7,"Jordan Berry punts 58 yards, returned by Gunner Olszewski for 20 yards (tackle by Tyler Matakevich)",-1.770,-1.470
1,2:16,1,10,NWE 38,0,7,Tom Brady pass complete deep middle to Jakobi Meyers for 22 yards (tackle by Mike Hilton),1.470,2.920
1,1:32,1,10,PIT 40,0,7,Tom Brady pass complete short right to James White for 4 yards (tackle by Mark Barron),2.920,2.910
1,0:53,2,6,PIT 36,0,7,Sony Michel right guard for 5 yards (tackle by Joe Haden and Mark Barron),2.910,2.870
1,0:32,3,1,PIT 31,0,7,Sony Michel right guard for 2 yards (tackle by Terrell Edmunds),2.870,3.640
Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 29,0,7,Tom Brady pass complete short right to Josh Gordon for 9 yards (tackle by Joe Haden and Steven Nelson),3.640,4.320
2,14:28,2,1,PIT 20,0,7,Sony Michel right guard for 1 yard (tackle by Tyson Alualu),4.320,4.310
2,13:49,1,10,PIT 19,0,7,Tom Brady pass complete short middle to Julian Edelman for 9 yards (tackle by Terrell Edmunds),4.310,5.360
2,13:16,2,1,PIT 10,0,7,Sony Michel up the middle for 1 yard (tackle by Cameron Heyward and Devin Bush),5.360,5.140
2,12:32,,,,,,Timeout #1 by New England Patriots,,
2,12:32,1,9,PIT 9,0,7,Tom Brady pass complete short right to James White for 2 yards (tackle by Joe Haden),5.140,4.760
2,12:02,2,7,PIT 7,0,7,Tom Brady pass incomplete short left intended for Rex Burkhead,4.760,3.810
2,12:00,3,7,PIT 7,0,7,Tom Brady pass incomplete short right intended for Josh Gordon,3.810,2.970
2,11:54,4,7,PIT 7,0,10,Stephen Gostkowski 25 yard field goal good,2.970,3.000
2,11:52,,,NWE 35,0,10,"Stephen Gostkowski kicks off 61 yards, returned by Ryan Switzer for 17 yards (tackle by Brandon Bolden)",0.000,0.340
2,11:47,1,10,PIT 21,0,10,Ben Roethlisberger pass complete short right to Ryan Switzer for 8 yards (tackle by Devin McCourty and Patrick Chung),0.340,0.880
2,11:18,2,2,PIT 29,0,10,Ben Roethlisberger pass complete short right to Ryan Switzer for 1 yard (tackle by Patrick Chung),0.880,0.300
2,10:40,3,1,PIT 30,0,10,James Conner up the middle for no gain (tackle by Danny Shelton and Devin McCourty),0.300,-1.370
2,10:10,4,1,PIT 30,0,10,"Jordan Berry punts 50 yards, returned by Gunner Olszewski for 15 yards (tackle by Jordan Dangerfield)",-1.370,-1.270
2,10:00,1,10,NWE 35,0,10,Sony Michel up the middle for 3 yards (tackle by Bud Dupree and Cameron Heyward),1.270,1.130
2,9:26,2,7,NWE 38,0,10,Tom Brady pass incomplete short left intended for Ryan Izzo,1.130,0.430
2,9:22,3,7,NWE 38,0,10,Tom Brady pass incomplete short right intended for James White,0.430,-0.850
2,9:19,4,7,NWE 38,0,10,"Jake Bailey punts 32 yards, fair catch by Ryan Switzer at PIT-30",-0.850,-0.940
2,9:12,1,10,PIT 30,0,10,"Ben Roethlisberger pass incomplete short left intended for James Conner. Penalty on Ja'Whaun Bentley: Defensive Holding, 5 yards (no play)",0.940,1.270
2,9:07,1,10,PIT 35,0,10,James Conner left end for 5 yards (tackle by Ja'Whaun Bentley),1.270,1.400
2,8:27,2,5,PIT 40,0,10,James Conner up the middle for 4 yards (tackle by Devin McCourty),1.400,1.220
2,7:46,3,1,PIT 44,0,10,James Conner left end for -4 yards (tackle by Jamie Collins and John Simon),1.220,-0.720
2,7:04,4,5,PIT 40,0,10,"Jordan Berry punts 40 yards, fair catch by Gunner Olszewski at NE-20",-0.720,-0.280
2,6:58,1,10,NWE 20,0,10,Rex Burkhead left guard for 4 yards (tackle by Kameron Kelly and Steven Nelson),0.280,0.270
2,6:31,2,6,NWE 24,0,10,Rex Burkhead up the middle for 3 yards (tackle by Kameron Kelly),0.270,-0.030
2,5:53,3,3,NWE 27,0,10,Tom Brady pass complete short left to James White for 8 yards (tackle by Mark Barron and Kameron Kelly),-0.030,1.270
2,5:17,1,10,NWE 35,0,10,Tom Brady pass complete short middle to Julian Edelman for 16 yards (tackle by Kameron Kelly),1.270,2.320
2,4:35,1,10,PIT 49,0,10,Tom Brady pass complete short left to Julian Edelman for 24 yards (tackle by Kameron Kelly),2.320,3.910
2,3:54,1,10,PIT 25,0,16,"Tom Brady pass complete deep right to Phillip Dorsett for 25 yards, touchdown",3.910,7.000
2,3:49,,,PIT 15,0,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,3:49,,,NWE 35,0,17,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,3:49,1,10,PIT 25,0,17,Ben Roethlisberger pass incomplete deep left intended for Donte Moncrief (defended by Jason McCourty),0.610,0.060
2,3:42,2,10,PIT 25,0,17,Ben Roethlisberger pass incomplete deep right intended for Donte Moncrief,0.060,-0.620
2,3:37,3,10,PIT 25,0,17,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 19 yards (tackle by Stephon Gilmore),-0.620,1.860
2,2:58,1,10,PIT 44,0,17,Ben Roethlisberger pass complete short left to Ryan Switzer for 1 yard (tackle by Patrick Chung and Ja'Whaun Bentley),1.860,1.450
2,2:20,2,9,PIT 45,0,17,Ben Roethlisberger pass incomplete deep right intended for James Washington,1.450,0.760
2,2:15,3,9,PIT 45,0,17,Ben Roethlisberger pass complete short right to Diontae Johnson for 8 yards (tackle by Jason McCourty),0.760,0.130
2,2:00,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,2:00,4,1,NWE 47,0,17,Ben Roethlisberger pass incomplete short left intended for Donte Moncrief (defended by Patrick Chung),0.130,-2.060
2,1:57,1,10,NWE 47,0,17,Tom Brady pass complete short left to Rex Burkhead for 11 yards (tackle by Mark Barron),2.060,2.790
2,1:27,1,10,PIT 42,0,17,Tom Brady pass complete short left to Rex Burkhead for 5 yards (tackle by Devin Bush),2.790,2.920
2,1:03,2,5,PIT 37,0,17,Tom Brady pass incomplete deep right intended for Julian Edelman,2.920,2.210
2,1:00,3,5,PIT 37,0,17,Tom Brady pass complete short left to James White for 10 yards,2.210,3.780
2,0:54,1,10,PIT 27,0,17,Tom Brady pass complete short left to Phillip Dorsett for 4 yards (tackle by Terrell Edmunds),3.780,3.770
2,0:32,2,6,PIT 23,0,17,Tom Brady pass incomplete short middle intended for Rex Burkhead,3.770,3.070
2,0:27,3,6,PIT 23,0,17,Tom Brady pass incomplete short right intended for James White,3.070,1.950
2,0:21,4,6,PIT 23,0,20,Stephen Gostkowski 41 yard field goal good,1.950,3.000
2,0:17,,,NWE 35,0,20,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,0:17,1,10,PIT 25,0,20,James Conner up the middle for 4 yards (tackle by Patrick Chung),0.610,0.600
Quarter,Time,Down,ToGo,Location,PIT,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,0,20,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PIT 25,0,20,Ben Roethlisberger pass complete short middle to James Conner for 5 yards (tackle by Dont'a Hightower and John Simon),0.610,0.740
3,14:18,2,5,PIT 30,0,20,Ben Roethlisberger pass complete short left to Ryan Switzer for 7 yards (tackle by Jamie Collins and Jonathan Jones),0.740,1.400
3,13:35,1,10,PIT 37,0,20,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster (defended by John Simon),1.400,0.860
3,13:32,2,10,PIT 37,0,20,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,0.860,0.170
3,13:27,3,10,PIT 37,0,20,Ben Roethlisberger pass complete deep right to James Washington for 45 yards,0.170,4.370
3,12:59,1,10,NWE 18,0,20,Ben Roethlisberger pass incomplete deep right intended for Donte Moncrief (defended by Jason McCourty),4.370,3.800
3,12:52,2,10,NWE 18,0,20,Ben Roethlisberger right tackle for 7 yards (tackle by Dont'a Hightower),3.800,4.260
3,12:03,3,3,NWE 11,0,20,"Ben Roethlisberger pass incomplete short left intended for Diontae Johnson (defended by Jonathan Jones). Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",4.260,5.830
3,11:58,1,6,NWE 6,0,20,"Ben Roethlisberger sacked by Deatrich Wise for no gain. Ben Roethlisberger fumbles (forced by Deatrich Wise), recovered by Ramon Foster at NE-4 (tackle by Dont'a Hightower)",5.830,5.340
3,11:11,2,4,NWE 4,0,20,James Conner right end for 3 yards (tackle by Jamie Collins and Patrick Chung),5.340,5.170
3,10:23,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,10:23,3,1,NWE 1,0,20,Ben Roethlisberger pass incomplete short left intended for Donte Moncrief,5.170,3.550
3,10:19,4,1,NWE 1,3,20,Chris Boswell 19 yard field goal good,3.550,3.000
3,10:17,,,PIT 35,3,20,"Chris Boswell kicks off 60 yards, returned by Brandon Bolden for 20 yards (tackle by Johnny Holton and Jordan Dangerfield)",0.000,0.610
3,10:07,1,10,NWE 25,3,20,Tom Brady pass complete short left to Julian Edelman for 17 yards (tackle by Mike Hilton),0.610,1.730
3,9:32,1,10,NWE 42,3,20,Sony Michel right tackle for -3 yards (tackle by T.J. Watt),1.730,0.780
3,8:49,2,13,NWE 39,3,20,Tom Brady pass complete short right to Ryan Izzo for 3 yards (tackle by Devin Bush),0.780,0.500
3,8:13,3,10,NWE 42,3,26,"Tom Brady pass complete deep right to Phillip Dorsett for 58 yards, touchdown",0.500,7.000
3,8:05,,,PIT 15,3,27,Stephen Gostkowski kicks extra point good,0.000,0.000
3,8:05,,,NWE 35,3,27,"Stephen Gostkowski kicks off 63 yards, returned by Ryan Switzer for 26 yards (tackle by Stephen Gostkowski)",0.000,0.810
3,7:57,1,10,PIT 28,3,27,Ben Roethlisberger pass complete short right to James Conner for 7 yards (tackle by Jonathan Jones),0.810,1.210
3,7:21,2,3,PIT 35,3,27,Ben Roethlisberger pass complete short right to James Conner for 23 yards (tackle by Devin McCourty),1.210,2.790
3,6:43,1,10,NWE 42,3,27,"Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 27 yards (tackle by Dont'a Hightower and Devin McCourty). Penalty on Diontae Johnson: Offensive Pass Interference, 10 yards (no play)",2.790,2.130
3,6:08,1,20,PIT 48,3,27,"Ben Roethlisberger pass complete short middle to Diontae Johnson for 7 yards (tackle by Jonathan Jones). Penalty on Shilique Calhoun: Defensive Offside, 5 yards (no play)",2.130,2.460
3,5:41,1,15,NWE 47,3,27,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,2.460,1.570
3,5:36,2,15,NWE 47,3,27,Ben Roethlisberger pass incomplete short left intended for James Washington,1.570,0.890
3,5:32,3,15,NWE 47,3,27,Ben Roethlisberger pass incomplete short right intended for Johnny Holton,0.890,0.130
3,5:27,4,15,NWE 47,3,27,"Jordan Berry punts 37 yards, fair catch by Gunner Olszewski at NE-10",0.130,0.380
3,5:20,1,10,NWE 10,3,27,Tom Brady pass complete short middle to Julian Edelman for 4 yards (tackle by Vince Williams),-0.380,-0.460
3,4:39,2,6,NWE 14,3,27,Tom Brady pass complete deep middle to Josh Gordon for 44 yards (tackle by Terrell Edmunds),-0.460,2.790
