Quarter,Time,Tm,Detail,ARI,LAR
1.0,3:50,Rams,Odell Beckham Jr. 4 yard pass from Matthew Stafford (Matt Gay kick),0,7
2.0,11:58,Rams,Matthew Stafford 1 yard rush (Matt Gay kick),0,14
,7:59,Rams,David Long 3 yard interception return (Matt Gay kick),0,21
3.0,10:36,Rams,Cooper Kupp 7 yard pass from Matthew Stafford (Matt Gay kick),0,28
,4:11,Cardinals,James Conner 2 yard rush (Antoine Wesley pass from Kyler Murray),8,28
4.0,14:55,Rams,Matt Gay 37 yard field goal,8,31
,10:13,Cardinals,Matt Prater 55 yard field goal,11,31
,4:21,Rams,Matt Gay 46 yard field goal,11,34
