Unnamed: 0,ARI,LAR
First Downs,14,16
Rush-Yds-TDs,18-61-1,38-140-1
Cmp-Att-Yd-TD-INT,19-34-137-0-2,14-18-242-2-0
Sacked-Yards,2-15,1-7
Net Pass Yards,122,235
Total Yards,183,375
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,7-50,6-48
Third Down Conv.,0-9,6-13
Fourth Down Conv.,1-2,0-0
Time of Possession,24:14,35:46
