Unnamed: 0,DEN,CIN
First Downs,16,20
Rush-Yds-TDs,34-218-2,23-111-0
Cmp-Att-Yd-TD-INT,12-21-151-1-0,25-37-236-1-1
Sacked-Yards,2-8,4-34
Net Pass Yards,143,202
Total Yards,361,313
Fumbles-Lost,1-1,2-2
Turnovers,1,3
Penalties-Yards,7-60,12-100
Third Down Conv.,5-13,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:40,31:20
