Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Phillip Lindsay right guard for 6 yards (tackle by Shawn Williams),0.610,0.870
1,14:23,2,4,DEN 31,0,0,Phillip Lindsay right end for 11 yards (tackle by Shawn Williams),0.870,1.730
1,13:47,1,10,DEN 42,0,0,"Phillip Lindsay left tackle for no gain (tackle by Michael Johnson). Penalty on Courtland Sutton: Unnecessary Roughness, 15 yards (no play)",1.730,0.740
1,13:19,1,25,DEN 27,0,0,Phillip Lindsay right guard for 10 yards (tackle by Dre Kirkpatrick),0.740,0.510
1,12:45,2,15,DEN 37,0,0,Case Keenum pass complete short middle to Courtland Sutton for 12 yards (tackle by Shawn Williams),0.510,1.420
1,12:06,3,3,DEN 49,0,0,Case Keenum pass complete short right to Emmanuel Sanders for 4 yards (tackle by Dre Kirkpatrick),1.420,2.460
1,11:28,1,10,CIN 47,0,0,Devontae Booker left guard for 4 yards (tackle by William Jackson),2.460,2.450
1,10:52,2,6,CIN 43,0,0,Case Keenum pass incomplete short middle intended for Emmanuel Sanders (defended by Jordan Evans),2.450,1.750
1,10:46,3,6,CIN 43,0,0,Case Keenum pass incomplete short right intended for Emmanuel Sanders,1.750,0.400
1,10:42,4,6,CIN 43,0,0,Colby Wadman punts 38 yards out of bounds,0.400,0.380
1,10:35,1,10,CIN 5,0,0,Joe Mixon left guard for 7 yards (tackle by Darian Stewart),-0.380,-0.270
1,9:48,2,3,CIN 12,0,0,Joe Mixon right tackle for 8 yards (tackle by Josey Jewell),-0.270,0.280
1,9:10,1,10,CIN 20,0,0,Jeff Driskel pass complete short left to Tyler Boyd for 5 yards (tackle by Justin Simmons and Bradley Roby),0.280,0.410
1,8:36,2,5,CIN 25,0,0,Jeff Driskel pass complete short right to Joe Mixon for 4 yards (tackle by Justin Simmons),0.410,0.230
1,7:56,3,1,CIN 29,0,0,Joe Mixon up the middle for 2 yards (tackle by Adam Gotsis),0.230,1.000
1,7:12,1,10,CIN 31,0,0,Alex Erickson right end for no gain (tackle by Todd Davis),1.000,0.460
1,6:41,2,10,CIN 31,0,0,Joe Mixon up the middle for 23 yards (tackle by Justin Simmons),0.460,2.520
1,6:01,1,10,DEN 46,0,0,Jeff Driskel pass incomplete short left intended for C.J. Uzomah,2.520,1.980
1,5:56,2,10,DEN 46,0,0,Giovani Bernard right guard for 2 yards (tackle by Joseph Jones),1.980,1.550
1,5:17,3,8,DEN 44,0,0,"Jeff Driskel pass complete short left to Alex Erickson for 2 yards (tackle by Bradley Chubb). Penalty on Clint Boling: Illegal Block Above the Waist, 10 yards",1.550,0.500
1,5:03,3,16,CIN 48,0,0,Jeff Driskel pass complete short middle to A.J. Green for 7 yards (tackle by Chris Harris),0.500,0.270
1,4:27,4,9,DEN 45,0,0,"Penalty on Jordan Franks: False Start, 5 yards (no play)",0.270,-0.060
1,4:21,4,14,CIN 50,0,0,"Kevin Huber punts 32 yards, returned by River Cracraft for 1 yard (tackle by Alex Erickson)",-0.060,-0.150
1,4:13,1,10,DEN 19,0,0,Case Keenum pass incomplete short right intended for Courtland Sutton,0.150,-0.390
1,4:08,2,10,DEN 19,0,0,Phillip Lindsay up the middle for 5 yards (tackle by Michael Johnson),-0.390,-0.420
1,3:26,3,5,DEN 24,0,0,Case Keenum pass incomplete short left intended for Courtland Sutton,-0.420,-1.770
1,3:23,4,5,DEN 24,0,0,"Colby Wadman punts 58 yards, returned by Alex Erickson for 4 yards (tackle by Andy Janovich). Penalty on KeiVarae Russell: Illegal Block Above the Waist, 10 yards",-1.770,0.350
1,3:09,1,10,CIN 12,0,0,Joe Mixon left guard for 4 yards (tackle by Darian Stewart),-0.350,-0.370
1,2:31,2,6,CIN 16,0,0,Jeff Driskel pass complete short right to John Ross for 11 yards (tackle by Isaac Yiadom),-0.370,0.740
1,1:56,1,10,CIN 27,0,0,Jeff Driskel pass complete short right to C.J. Uzomah for 4 yards (tackle by Isaac Yiadom),0.740,0.740
1,1:20,2,6,CIN 31,0,0,Jeff Driskel right end for -3 yards (tackle by Todd Davis),0.740,-0.360
1,0:38,3,9,CIN 28,0,0,Jeff Driskel pass incomplete short middle intended for Giovani Bernard,-0.360,-1.500
1,0:34,4,9,CIN 28,0,0,Kevin Huber punts 52 yards downed by Clark Harris,-1.500,-0.280
1,0:21,1,10,DEN 20,0,0,Royce Freeman up the middle for 7 yards (tackle by Shawn Williams and Jordan Evans),0.280,0.680
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,DEN 27,0,0,Case Keenum pass complete short right to Phillip Lindsay for 2 yards (tackle by Shawn Williams),0.680,0.230
