Unnamed: 0,PIT,TAM
First Downs,22,28
Rush-Yds-TDs,22-78-0,16-63-0
Cmp-Att-Yd-TD-INT,30-38-353-3-1,30-50-411-3-3
Sacked-Yards,3-18,3-19
Net Pass Yards,335,392
Total Yards,413,455
Fumbles-Lost,1-0,1-1
Turnovers,1,4
Penalties-Yards,13-155,9-80
Third Down Conv.,3-11,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,30:21,29:39
