Quarter,Time,Down,ToGo,Location,PIT,TAM,Detail,EPB,EPA
1,5:48,,,PIT 35,6,7,"Chris Boswell kicks off 65 yards, returned by Shaun Wilson for no gain (tackle by Roosevelt Nix)",0.000,-0.060
1,5:41,1,10,TAM 17,6,7,"Ryan Fitzpatrick up the middle for 5 yards (tackle by Jonathan Bostic). Penalty on Jonathan Bostic: Unnecessary Roughness, 15 yards",-0.060,1.400
1,5:18,1,10,TAM 37,6,7,Adam Humphries right end for 4 yards (tackle by Jonathan Bostic),1.400,1.400
1,4:37,2,6,TAM 41,6,7,Ryan Fitzpatrick pass complete short right to O.J. Howard for 9 yards (tackle by Jonathan Bostic),1.400,2.260
1,3:59,1,10,TAM 50,6,7,Ryan Fitzpatrick pass complete deep middle to Cameron Brate for 21 yards (tackle by Sean Davis). Penalty on Daniel McCullers: Illegal Use of Hands (Declined),2.260,3.640
1,3:32,1,10,PIT 29,6,7,Peyton Barber up the middle for 2 yards (tackle by T.J. Watt),3.640,3.370
1,2:53,2,8,PIT 27,6,7,Ryan Fitzpatrick pass incomplete short middle intended for O.J. Howard (defended by Jonathan Bostic),3.370,2.680
1,2:48,3,8,PIT 27,6,7,Ryan Fitzpatrick sacked by Anthony Chickillo for -9 yards,2.680,0.880
1,2:10,4,17,PIT 36,6,7,Bryan Anger punts 28 yards downed by Isaiah Johnson,0.880,0.380
1,1:59,1,10,PIT 8,6,7,James Conner up the middle for 5 yards (tackle by Justin Evans),-0.380,-0.410
1,1:22,2,5,PIT 13,6,7,"Penalty on Alejandro Villanueva: False Start, 5 yards (no play)",-0.410,-0.780
1,1:08,2,10,PIT 8,6,7,"Ben Roethlisberger pass complete deep right to JuJu Smith-Schuster for 43 yards (tackle by Justin Evans). Penalty on Jason Pierre-Paul: Defensive Offside (Declined) . Penalty on Gerald McCoy: Roughing the Passer, 15 yards",-0.780,3.310
1,0:45,1,10,TAM 34,6,7,Stevan Ridley right tackle for 6 yards (tackle by Vinny Curry),3.310,3.580
1,0:11,2,4,TAM 28,6,7,Stevan Ridley right guard for 3 yards (tackle by William Gholston),3.580,3.270
Quarter,Time,Down,ToGo,Location,PIT,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,TAM 25,6,7,"James Conner left end for no gain (tackle by Lavonte David). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (no play)",3.270,1.950
2,14:33,3,11,TAM 35,6,7,Ben Roethlisberger pass complete short middle to Vance McDonald for 12 yards (tackle by Kwon Alexander),1.950,4.040
2,13:49,1,10,TAM 23,6,7,Ben Roethlisberger pass incomplete deep left intended for Xavier Grimble,4.040,3.500
2,13:41,2,10,TAM 23,6,7,Ben Roethlisberger pass complete short right to James Conner for -3 yards (tackle by Lavonte David and William Gholston),3.500,2.410
2,12:57,3,13,TAM 26,6,7,Ben Roethlisberger pass complete short left to James Conner for 6 yards (tackle by M.J. Stewart),2.410,2.120
2,12:19,4,7,TAM 20,9,7,Chris Boswell 38 yard field goal good,2.120,3.000
2,12:14,,,PIT 35,9,7,"Chris Boswell kicks off 57 yards, returned by Shaun Wilson for no gain (tackle by L.J. Fort)",0.000,0.540
2,12:09,1,10,TAM 24,9,7,Jacquizz Rodgers up the middle for -1 yards (tackle by Jonathan Bostic and Mike Hilton),0.540,-0.140
2,11:31,2,11,TAM 23,9,7,"Ryan Fitzpatrick pass complete short middle to Chris Godwin for 12 yards (tackle by Artie Burns). Chris Godwin fumbles (forced by Artie Burns), recovered by Mike Hilton at TB-35 and returned for 2 yards (tackle by Chris Godwin)",-0.140,-3.380
2,11:20,1,10,TAM 33,9,7,James Conner right tackle for 6 yards (tackle by Brent Grimes and Kwon Alexander),3.380,3.650
2,10:40,2,4,TAM 27,15,7,"Ben Roethlisberger pass complete short right to Antonio Brown for 27 yards, touchdown",3.650,7.000
2,10:33,,,TAM 15,16,7,Chris Boswell kicks extra point good,0.000,0.000
2,10:33,,,PIT 35,16,7,"Chris Boswell kicks off 57 yards, returned by Shaun Wilson for no gain (tackle by Nat Berhe). Penalty on Nat Berhe: Face Mask (15 Yards), 15 yards",0.000,0.940
2,10:27,1,10,TAM 30,16,7,"Ryan Fitzpatrick pass complete short middle to Mike Evans for 27 yards (tackle by Sean Davis). Penalty on Sean Davis: Unnecessary Roughness, 15 yards",0.940,3.710
2,9:58,1,10,PIT 28,16,7,"Peyton Barber left end for no gain. Penalty on Ryan Jensen: Offensive Holding, 10 yards (no play)",3.710,3.050
2,9:38,1,20,PIT 38,16,7,Ryan Fitzpatrick pass incomplete deep right intended for O.J. Howard,3.050,1.820
2,9:34,2,20,PIT 38,16,7,Ryan Fitzpatrick pass complete short left to Adam Humphries for 6 yards (tackle by Sean Davis),1.820,1.950
2,9:01,3,14,PIT 32,16,7,Ryan Fitzpatrick pass complete short middle to Chris Godwin for 20 yards (tackle by Coty Sensabaugh and Sean Davis),1.950,4.780
2,8:17,1,10,PIT 12,16,7,Ryan Fitzpatrick pass incomplete short middle intended for Peyton Barber,4.780,4.100
2,8:11,2,10,PIT 12,16,7,Ryan Fitzpatrick pass short right (defended by Jonathan Bostic) intended for DeSean Jackson is intercepted by Mike Hilton at PIT-6 and returned for no gain,4.100,0.380
2,8:04,1,10,PIT 6,16,7,James Conner up the middle for 2 yards (tackle by Justin Evans and Jerel Worthy),-0.380,-0.630
2,7:25,2,8,PIT 8,16,7,"Ben Roethlisberger pass incomplete deep right intended for JuJu Smith-Schuster (defended by Brent Grimes). Penalty on Jason Pierre-Paul: Roughing the Passer, 15 yards (no play)",-0.630,0.480
2,7:18,1,10,PIT 23,16,7,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 4 yards (tackle by M.J. Stewart),0.480,0.470
2,6:44,2,6,PIT 27,16,7,Ben Roethlisberger pass incomplete short left intended for James Conner,0.470,-0.230
2,6:41,3,6,PIT 27,16,7,Ben Roethlisberger pass complete short right to Antonio Brown for no gain (tackle by Carlton Davis),-0.230,-1.570
2,6:09,4,6,PIT 27,16,7,"Jordan Berry punts 43 yards, fair catch by Adam Humphries at TB-30. Penalty on Freddie Martino: Defensive Offside (Declined)",-1.570,-0.940
2,6:03,1,10,TAM 30,16,7,"Ryan Fitzpatrick pass incomplete deep right intended for Adam Humphries (defended by Mike Hilton). Penalty on Stephon Tuitt: Roughing the Passer, 15 yards (no play)",0.940,1.930
2,5:58,1,10,TAM 45,16,7,Ryan Fitzpatrick pass deep left intended for Mike Evans is intercepted by Terrell Edmunds at PIT-30 and returned for 35 yards,1.930,-3.250
2,5:45,1,10,TAM 35,16,7,Ben Roethlisberger sacked by Gerald McCoy and Vinny Curry for -10 yards,3.250,1.350
2,5:04,2,20,TAM 45,16,7,Stevan Ridley right end for 9 yards (tackle by Justin Evans),1.350,1.880
2,4:24,3,11,TAM 36,16,7,Ben Roethlisberger sacked by Jason Pierre-Paul for -6 yards,1.880,0.460
2,3:48,4,17,TAM 42,16,7,Jordan Berry punts 40 yards downed by Darrius Heyward-Bey,0.460,0.380
2,3:37,1,10,TAM 2,16,7,Jacquizz Rodgers up the middle for no gain (tackle by Tyson Alualu),-0.380,-0.780
2,2:58,2,10,TAM 2,22,7,"Ryan Fitzpatrick pass short left intended for Jacquizz Rodgers is intercepted by Bud Dupree at TB-10 and returned for 10 yards, touchdown",-0.780,-7.000
2,2:50,,,PIT 35,23,7,"Chris Boswell kicks off 55 yards, returned by Shaun Wilson for no gain (tackle by Tyler Matakevich)",0.000,0.410
2,2:45,1,10,TAM 22,23,7,"Ryan Fitzpatrick pass complete short left to Mike Evans for 7 yards (tackle by Artie Burns). Penalty on Sean Davis: Roughing the Passer, 15 yards",0.410,1.860
2,2:21,1,10,TAM 44,23,7,Ryan Fitzpatrick pass complete deep left to Mike Evans for 51 yards (tackle by Artie Burns),1.860,6.060
2,2:00,1,5,PIT 5,23,7,Peyton Barber up the middle for 2 yards (tackle by Stephon Tuitt and T.J. Watt),6.060,5.530
2,1:28,2,3,PIT 3,23,7,Ryan Fitzpatrick pass incomplete short right intended for Chris Godwin,5.530,4.720
2,1:23,3,3,PIT 3,23,7,Ryan Fitzpatrick pass incomplete short middle intended for Chris Godwin (defended by Joe Haden),4.720,3.040
2,1:17,4,3,PIT 3,23,10,Chandler Catanzaro 21 yard field goal good,3.040,3.000
2,1:15,,,TAM 35,23,10,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
2,1:15,1,10,PIT 25,23,10,Ben Roethlisberger pass complete short middle to Antonio Brown for 6 yards (tackle by M.J. Stewart and Kwon Alexander),0.610,0.870
2,0:50,2,4,PIT 31,23,10,Ben Roethlisberger pass complete short middle to James Conner for 18 yards (tackle by M.J. Stewart),0.870,2.190
2,0:43,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:43,1,10,PIT 49,23,10,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Brent Grimes),2.190,2.860
2,0:40,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:40,2,1,TAM 42,23,10,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 12 yards (tackle by M.J. Stewart),2.860,3.580
2,0:34,1,10,TAM 30,23,10,Ben Roethlisberger pass complete short middle to James Washington for 13 yards (tackle by Justin Evans),3.580,4.440
2,0:28,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:28,1,10,TAM 17,23,10,Ben Roethlisberger pass complete short left to James Conner for 3 yards (tackle by Lavonte David),4.440,4.320
2,0:24,2,7,TAM 14,23,10,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 12 yards (tackle by M.J. Stewart),4.320,6.740
2,0:17,1,2,TAM 2,23,10,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by M.J. Stewart),6.740,5.720
2,0:14,2,2,TAM 2,23,10,"Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Carlton Davis). Penalty on Carlton Davis: Defensive Pass Interference, 1 yard (no play)",5.720,6.970
2,0:10,1,1,TAM 1,29,10,"Ben Roethlisberger pass complete short left to Ryan Switzer for 1 yard, touchdown",6.970,7.000
2,0:06,,,TAM 15,30,10,Chris Boswell kicks extra point good,0.000,0.000
2,0:06,,,PIT 35,30,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,0:06,1,10,TAM 25,30,10,Ryan Fitzpatrick kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PIT,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,30,10,"Chris Boswell kicks off 56 yards, returned by Shaun Wilson for no gain (tackle by Matthew Thomas)",0.000,0.610
3,14:55,1,10,TAM 25,30,10,Peyton Barber left guard for 3 yards (tackle by Vince Williams),0.610,0.470
3,14:25,2,7,TAM 28,30,10,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 8 yards (tackle by Coty Sensabaugh),0.470,1.330
3,13:50,1,10,TAM 36,30,10,Ryan Fitzpatrick pass complete short left to Mike Evans for 14 yards (tackle by Coty Sensabaugh),1.330,2.260
3,13:19,1,10,TAM 50,30,10,"Penalty on Ryan Jensen: False Start, 5 yards (no play)",2.260,1.930
3,13:02,1,15,TAM 45,30,10,"Penalty on Demar Dotson: False Start, 5 yards (no play)",1.930,1.600
3,12:44,1,20,TAM 40,30,10,Ryan Fitzpatrick up the middle for 4 yards (tackle by Vince Williams),1.600,0.900
3,12:09,2,16,TAM 44,30,10,Ryan Fitzpatrick pass complete deep middle to Chris Godwin for 19 yards (tackle by Mike Hilton),0.900,3.120
3,11:58,1,10,PIT 37,30,10,Peyton Barber left end for -2 yards (tackle by Cameron Heyward and Bud Dupree),3.120,2.300
3,11:21,2,12,PIT 39,30,10,Ryan Fitzpatrick sacked by Jonathan Bostic for -6 yards,2.300,0.830
3,10:42,3,18,PIT 45,30,10,Ryan Fitzpatrick pass complete short left to Chris Godwin for 19 yards (tackle by Terrell Edmunds),0.830,3.840
3,10:27,1,10,PIT 26,30,10,Peyton Barber up the middle for 4 yards (tackle by Mike Hilton),3.840,3.840
3,9:50,2,6,PIT 22,30,10,Ryan Fitzpatrick pass complete short left to Adam Humphries for 16 yards (tackle by Mike Hilton),3.840,5.830
3,9:10,1,6,PIT 6,30,10,"Peyton Barber up the middle for no gain (tackle by Vince Williams). Penalty on Chris Godwin: Illegal Shift, 5 yards (no play)",5.830,4.770
3,8:41,1,11,PIT 11,30,10,Ryan Fitzpatrick sacked by Bud Dupree for -4 yards,4.770,3.460
3,7:58,2,15,PIT 15,30,10,Ryan Fitzpatrick pass complete short left to Shaun Wilson for 5 yards (tackle by Vince Williams),3.460,3.130
3,7:16,3,10,PIT 10,30,10,Ryan Fitzpatrick pass incomplete short right intended for Chris Godwin (defended by Sean Davis),3.130,2.760
3,7:10,4,10,PIT 10,30,13,Chandler Catanzaro 28 yard field goal good,2.760,3.000
3,7:07,,,TAM 35,30,13,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
3,7:07,1,10,PIT 25,30,13,James Conner left end for 7 yards (tackle by Jordan Whitehead),0.610,1.010
3,6:44,2,3,PIT 32,30,13,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by M.J. Stewart),1.010,1.330
3,6:04,1,10,PIT 36,30,13,James Conner up the middle for -3 yards (tackle by Jason Pierre-Paul),1.330,0.390
3,5:27,2,13,PIT 33,30,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 15 yards (tackle by Carlton Davis),0.390,2.130
3,4:48,1,10,PIT 48,30,13,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 6 yards (tackle by Lavonte David),2.130,2.390
3,4:06,2,4,TAM 46,30,13,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,2.390,1.680
3,3:59,3,4,TAM 46,30,13,Ben Roethlisberger pass complete short middle to James Washington for 12 yards (tackle by Carlton Davis),1.680,3.310
3,3:22,1,10,TAM 34,30,13,James Conner up the middle for no gain (tackle by Kwon Alexander),3.310,2.770
3,2:39,2,10,TAM 34,30,13,Ben Roethlisberger pass complete short left to Jesse James for 7 yards (tackle by Jordan Whitehead),2.770,3.010
3,1:54,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,1:54,3,3,TAM 27,30,13,"Ben Roethlisberger sacked by Jason Pierre-Paul for -2 yards. Ben Roethlisberger fumbles (forced by Jason Pierre-Paul), recovered by B.J. Finney at TB-29 (tackle by Jordan Whitehead)",3.010,1.540
3,1:11,4,5,TAM 29,30,13,Chris Boswell 47 yard field goal no good,1.540,-1.400
3,1:06,1,10,TAM 37,30,13,Ryan Fitzpatrick pass incomplete short middle intended for Peyton Barber,1.400,0.860
3,1:03,2,10,TAM 37,30,13,Ryan Fitzpatrick pass complete deep middle to DeSean Jackson for 17 yards (tackle by Joe Haden),0.860,2.520
3,0:32,1,10,PIT 46,30,13,"Ryan Fitzpatrick pass incomplete deep right intended for DeSean Jackson. Penalty on Peyton Barber: Chop Block, 15 yards (no play)",2.520,1.530
3,0:26,1,25,TAM 39,30,13,Ryan Fitzpatrick pass complete short left to Shaun Wilson for 4 yards (tackle by Stephon Tuitt),1.530,0.490
Quarter,Time,Down,ToGo,Location,PIT,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,21,TAM 43,30,13,Ryan Fitzpatrick pass complete short right to Adam Humphries for 8 yards (tackle by Mike Hilton),0.490,0.890
4,14:28,3,13,PIT 49,30,13,Ryan Fitzpatrick pass complete short middle to Jacquizz Rodgers for 7 yards (tackle by Sean Davis),0.890,0.460
4,13:49,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,13:49,4,6,PIT 42,30,13,Ryan Fitzpatrick pass complete short left to Cameron Brate for 9 yards (tackle by Nat Berhe),0.460,3.380
4,13:21,1,10,PIT 33,30,13,"Penalty on PIT: Defensive Too Many Men on Field, 5 yards (no play)",3.380,4.110
4,13:02,1,5,PIT 28,30,13,Ryan Fitzpatrick pass complete short left to O.J. Howard for 11 yards (tackle by T.J. Watt). Penalty on T.J. Watt: Defensive Holding (Declined),4.110,4.440
4,12:34,1,10,PIT 17,30,13,Ryan Fitzpatrick pass incomplete deep left intended for Mike Evans,4.440,3.850
4,12:30,2,10,PIT 17,30,13,Ryan Fitzpatrick pass complete short middle to Jacquizz Rodgers for 11 yards (tackle by Jonathan Bostic),3.850,5.830
4,11:52,1,6,PIT 6,30,13,Ryan Fitzpatrick right end for 2 yards (tackle by Vince Williams),5.830,5.340
4,11:16,2,4,PIT 4,30,13,Ryan Fitzpatrick pass incomplete short left intended for Adam Humphries,5.340,4.490
4,11:12,3,4,PIT 4,30,19,"Ryan Fitzpatrick pass complete short left to Chris Godwin for 4 yards, touchdown",4.490,7.000
4,11:06,,,PIT 15,30,20,Chandler Catanzaro kicks extra point good,0.000,0.000
4,11:06,,,TAM 35,30,20,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
4,11:06,1,10,PIT 25,30,20,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 2 yards (tackle by Kwon Alexander),0.610,0.330
4,10:28,2,8,PIT 27,30,20,Ben Roethlisberger pass complete short left to Vance McDonald for 11 yards (tackle by M.J. Stewart),0.330,1.470
4,9:45,1,10,PIT 38,30,20,James Conner left guard for -1 yards (tackle by Lavonte David),1.470,0.790
4,9:08,2,11,PIT 37,30,20,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown,0.790,0.100
4,9:04,3,11,PIT 37,30,20,Ben Roethlisberger pass incomplete deep right,0.100,-0.910
4,8:57,4,11,PIT 37,30,20,"Jordan Berry punts 46 yards, returned by DeSean Jackson for no gain. Penalty on Isaiah Johnson: Offensive Holding, 9 yards",-0.910,0.380
4,8:40,1,10,TAM 8,30,20,Ryan Fitzpatrick pass complete short right to O.J. Howard for 2 yards (tackle by Joe Haden and Tyson Alualu),-0.380,-0.630
4,8:07,2,8,TAM 10,30,20,Ryan Fitzpatrick pass complete deep middle to O.J. Howard for 21 yards (tackle by Sean Davis),-0.630,1.000
4,7:38,1,10,TAM 31,30,20,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 12 yards (tackle by Artie Burns),1.000,1.800
4,7:08,1,10,TAM 43,30,20,Ryan Fitzpatrick pass incomplete short right intended for Chris Godwin,1.800,1.250
4,7:03,2,10,TAM 43,30,20,Ryan Fitzpatrick right tackle for 17 yards (tackle by Vince Williams),1.250,2.920
4,6:32,1,10,PIT 40,30,20,Ryan Fitzpatrick pass incomplete deep middle intended for Mike Evans,2.920,2.370
4,6:26,2,10,PIT 40,30,20,Ryan Fitzpatrick pass complete short middle to O.J. Howard for 16 yards (tackle by Joe Haden),2.370,3.970
4,5:53,1,10,PIT 24,30,20,Ryan Fitzpatrick pass incomplete short left intended for DeSean Jackson (defended by Artie Burns),3.970,3.430
4,5:49,2,10,PIT 24,30,26,"Ryan Fitzpatrick pass complete deep left to Mike Evans for 24 yards, touchdown, touchdown",3.430,7.000
4,5:43,,,PIT 15,30,27,"Chandler Catanzaro kicks extra point good. Penalty on Cameron Heyward: Unnecessary Roughness, 15 yards",0.000,0.000
4,5:43,,,TAM 50,30,27,"Chandler Catanzaro kicks off 50 yards, touchback.",0.000,0.610
4,5:43,1,10,PIT 25,30,27,James Conner right tackle for 27 yards (tackle by Jordan Whitehead),0.610,2.390
4,4:58,1,10,TAM 48,30,27,James Conner up the middle for 9 yards (tackle by Brent Grimes),2.390,3.060
4,4:19,2,1,TAM 39,30,27,Ben Roethlisberger up the middle for 2 yards (tackle by Jason Pierre-Paul),3.060,3.120
4,3:35,1,10,TAM 37,30,27,James Conner left end for -4 yards (tackle by Lavonte David),3.120,2.030
4,3:29,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,3:29,2,14,TAM 41,30,27,Ben Roethlisberger pass complete short left to Ryan Switzer for 5 yards (tackle by Lavonte David),2.030,2.010
4,3:26,3,9,TAM 36,30,27,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,2.010,0.880
4,3:21,4,9,TAM 36,30,27,"Jordan Berry punts 35 yards downed by Cameron Sutton. Penalty on Darrius Heyward-Bey: Illegal Shift, 5 yards. Penalty on Darrius Heyward-Bey: Unsportsmanlike Conduct, 15 yards (no play)",0.880,-0.460
4,3:10,4,29,PIT 44,30,27,"Jordan Berry punts 56 yards, touchback.",-0.460,-0.280
4,3:02,1,10,TAM 20,30,27,Ryan Fitzpatrick pass incomplete deep right intended for Mike Evans (defended by Joe Haden),0.280,-0.270
4,2:56,2,10,TAM 20,30,27,Ryan Fitzpatrick pass incomplete short middle intended for Adam Humphries,-0.270,-0.960
4,2:53,3,10,TAM 20,30,27,Ryan Fitzpatrick pass incomplete short right intended for Cameron Brate,-0.960,-2.030
4,2:49,4,10,TAM 20,30,27,"Bryan Anger punts 64 yards, returned by Ryan Switzer for 16 yards (tackle by Chris Godwin)",-2.030,-1.070
4,2:36,1,10,PIT 32,30,27,James Conner up the middle for no gain (tackle by Adarius Taylor and Vinny Curry),1.070,0.530
4,2:31,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,2:31,2,10,PIT 32,30,27,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 18 yards (tackle by Brent Grimes),0.530,2.260
4,2:17,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,2:17,1,10,PIT 50,30,27,James Conner left guard for 17 yards (tackle by Brent Grimes and Justin Evans),2.260,3.380
4,2:00,1,10,TAM 33,30,27,Ben Roethlisberger kneels for -1 yards,3.380,2.700
4,1:19,2,11,TAM 34,30,27,Ben Roethlisberger kneels for -1 yards,2.700,1.880
4,0:39,3,12,TAM 35,30,27,Ben Roethlisberger kneels for -1 yards,1.880,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
