Quarter,Time,Tm,Detail,PIT,TAM
1.0,7:21,Buccaneers,Cameron Brate 4 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),0,7
,5:48,Steelers,Vance McDonald 75 yard pass from Ben Roethlisberger (Chris Boswell kick failed),6,7
2.0,12:14,Steelers,Chris Boswell 38 yard field goal,9,7
,10:33,Steelers,Antonio Brown 27 yard pass from Ben Roethlisberger (Chris Boswell kick),16,7
,2:50,Steelers,Bud Dupree 10 yard interception return (Chris Boswell kick),23,7
,1:15,Buccaneers,Chandler Catanzaro 21 yard field goal,23,10
,0:06,Steelers,Ryan Switzer 1 yard pass from Ben Roethlisberger (Chris Boswell kick),30,10
3.0,7:07,Buccaneers,Chandler Catanzaro 28 yard field goal,30,13
4.0,11:06,Buccaneers,Chris Godwin 4 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),30,20
,5:43,Buccaneers,Mike Evans 24 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),30,27
