Quarter,Time,Tm,Detail,IND,ARI
1.0,10:02,Cardinals,Larry Fitzgerald 4 yard pass from Carson Palmer (Jay Feely kick),0,7
,1:15,Colts,Adam Vinatieri 27 yard field goal,3,7
2.0,13:29,Cardinals,Larry Fitzgerald 26 yard pass from Carson Palmer (Jay Feely kick),3,14
,8:15,Cardinals,Jay Feely 48 yard field goal,3,17
,7:58,Cardinals,Karlos Dansby 22 yard interception return (Jay Feely kick),3,24
,0:00,Cardinals,Jay Feely 50 yard field goal,3,27
3.0,5:57,Cardinals,Rashard Mendenhall 5 yard rush (Jay Feely kick),3,34
4.0,10:26,Colts,Coby Fleener 17 yard pass from Andrew Luck (Darrius Heyward-Bey pass from Andrew Luck),11,34
,7:20,Cardinals,Jay Feely 21 yard field goal,11,37
,2:17,Cardinals,Jay Feely 25 yard field goal,11,40
