Unnamed: 0,TEN,CLE
First Downs,21,13
Rush-Yds-TDs,30-166-0,30-116-1
Cmp-Att-Yd-TD-INT,21-37-257-2-0,8-15-172-2-0
Sacked-Yards,7-38,2-14
Net Pass Yards,219,158
Total Yards,385,274
Fumbles-Lost,4-3,2-0
Turnovers,3,0
Penalties-Yards,9-85,4-40
Third Down Conv.,7-16,4-11
Fourth Down Conv.,2-2,0-1
Time of Possession,35:11,24:49
