Unnamed: 0,DEN,OAK
First Downs,24,15
Rush-Yds-TDs,34-141-3,30-150-0
Cmp-Att-Yd-TD-INT,16-25-300-2-0,17-26-180-2-0
Sacked-Yards,0-0,3-23
Net Pass Yards,300,157
Total Yards,441,307
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,3-15,10-96
Third Down Conv.,5-10,2-12
Fourth Down Conv.,0-0,3-4
Time of Possession,29:50,30:10
