Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
2,11:51,2,8,PHI 10,0,0,Donovan McNabb up the middle for 7 yards (tackle by Haloti Ngata),-0.630,-0.370
2,11:07,3,1,PHI 17,0,0,Donovan McNabb pass incomplete deep right intended for DeSean Jackson is intercepted by Fabian Washington at BAL-45 and returned for 12 yards (tackle by Dan Klecko),-0.370,-2.720
2,10:56,1,10,PHI 43,0,0,Ray Rice right end for -5 yards (tackle by Mike Patterson),2.720,1.500
2,10:19,2,15,PHI 48,0,0,Joe Flacco sacked by Victor Abiamiri for -9 yards,1.500,-0.360
2,9:39,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,-0.360
2,9:39,3,24,BAL 43,0,0,Joe Flacco sacked by Trent Cole for -13 yards,-0.360,-1.370
2,9:24,4,37,BAL 30,0,0,Sam Koch punts 26 yards,-1.370,-1.860
2,9:16,1,10,PHI 44,0,0,Donovan McNabb pass incomplete deep left intended for Greg Lewis,1.860,1.320
2,9:10,2,10,PHI 44,0,0,Brian Westbrook left tackle for -4 yards (tackle by Trevor Pryce),1.320,0.100
2,8:29,3,14,PHI 40,0,0,Donovan McNabb pass incomplete short left intended for Kevin Curtis,0.100,-0.720
2,8:25,4,14,PHI 40,0,0,"Saverio Rocca punts 46 yards, returned by Yamon Figurs for 3 yards (tackle by Sean Considine)",-0.720,0.060
2,8:13,1,10,BAL 17,0,0,Le'Ron McClain up the middle for 4 yards (tackle by Mike Patterson and Trent Cole),-0.060,0.080
2,7:40,2,6,BAL 21,0,0,Le'Ron McClain right tackle for 7 yards (tackle by Juqua Parker),0.080,0.810
2,6:58,1,10,BAL 28,0,0,Joe Flacco right end for 5 yards (tackle by Juqua Parker),0.810,0.940
2,6:27,2,5,BAL 33,0,0,Le'Ron McClain left guard for 2 yards (tackle by Mike Patterson and Brian Dawkins),0.940,0.500
2,5:44,3,3,BAL 35,0,0,Joe Flacco pass incomplete short middle intended for Yamon Figurs (defended by Stewart Bradley),0.500,-1.040
2,5:39,4,3,BAL 35,0,0,"Sam Koch punts 50 yards, returned by DeSean Jackson for 12 yards (tackle by Yamon Figurs). Penalty on Greg Lewis: Illegal Block Above the Waist, 10 yards",-1.040,0.380
2,5:27,1,10,PHI 10,0,0,Brian Westbrook up the middle for 2 yards (tackle by Jim Leonhard),-0.380,-0.630
2,4:50,2,8,PHI 12,0,0,Donovan McNabb pass incomplete deep right intended for Reggie Brown,-0.630,-1.190
2,4:45,3,8,PHI 12,0,0,Donovan McNabb pass incomplete short left intended for Jason Avant (defended by Ed Reed),-1.190,-2.490
2,4:40,4,8,PHI 12,0,0,"Saverio Rocca punts 44 yards, returned by Yamon Figurs for 18 yards. Penalty on Jon Dorenbos: Tripping, 10 yards",-2.490,-3.710
2,4:30,1,10,PHI 28,0,0,Willis McGahee right guard for -2 yards (tackle by Darren Howard),3.710,2.900
2,3:54,2,12,PHI 30,0,0,Willis McGahee left tackle for 4 yards (tackle by Chris Gocong),2.900,2.740
2,3:12,3,8,PHI 26,0,0,Joe Flacco pass incomplete deep right intended for Mark Clayton,2.740,1.740
2,3:05,4,8,PHI 26,0,3,Matt Stover 44 yard field goal good,1.740,3.000
2,3:00,,,BAL 30,0,3,"Steven Hauschka kicks off 64 yards, returned by Quintin Demps for 29 yards (tackle by Brendon Ayanbadejo)",0.000,1.270
2,2:53,1,10,PHI 35,0,3,"Donovan McNabb pass incomplete short left intended for DeSean Jackson is intercepted by Ed Reed at PHI-49 and returned for 43 yards. Penalty on Ed Reed: Illegal Forward Pass (Offsetting), Penalty on Jon Runyan: Unnecessary Roughness (Offsetting)",1.270,-5.830
2,2:38,1,6,PHI 6,0,3,Willis McGahee left guard for 3 yards (tackle by Brodrick Bunkley),5.830,5.530
2,2:00,2,3,PHI 3,0,3,Willis McGahee left tackle for 2 yards (tackle by Akeem Jordan),5.530,5.170
2,1:55,,,,0,3,Timeout #1 by Philadelphia Eagles,0.000,5.170
2,1:55,3,1,PHI 1,0,9,"Joe Flacco pass complete short right to Daniel Wilcox for 1 yard, touchdown",5.170,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,1:55,,,PHI 2,0,9,"Matt Stover kicks extra point good. Penalty on Justin Bannan: False Start, 5 yards (no play)",0.000,0.000
2,1:55,,,PHI 2,0,10,Matt Stover kicks extra point good,0.000,0.000
2,1:49,,,BAL 30,6,10,"Steven Hauschka kicks off 70 yards, returned by Quintin Demps for 100 yards, touchdown",0.000,7.000
2,1:49,,,BAL 2,7,10,David Akers kicks extra point good,0.000,0.000
2,1:37,,,PHI 30,7,10,"David Akers kicks off 67 yards, returned by Yamon Figurs for 21 yards (tackle by Torrance Daniels)",0.000,0.540
2,1:32,1,10,BAL 24,7,10,Ray Rice right guard for 1 yard (tackle by Darren Howard),0.540,0.130
2,1:18,,,,7,10,Timeout #2 by Philadelphia Eagles,0.000,0.130
2,1:18,2,9,BAL 25,7,10,Joe Flacco pass complete short right to Todd Heap for 19 yards (tackle by Sheldon Brown),0.130,1.860
2,1:09,1,10,BAL 44,7,10,Joe Flacco pass incomplete short right intended for Mark Clayton,1.860,1.320
2,1:05,2,10,BAL 44,7,10,Joe Flacco pass complete short right to Ray Rice for 22 yards (tackle by Brian Dawkins),1.320,3.310
2,0:55,1,10,PHI 34,7,10,Joe Flacco pass incomplete short middle intended for Ray Rice,3.310,2.770
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,0:53,2,10,PHI 34,7,10,Joe Flacco pass incomplete short right intended for Mark Clayton,2.770,2.080
2,0:47,3,10,PHI 34,7,10,Ray Rice up the middle for -1 yards (tackle by Darren Howard),2.080,0.970
2,0:22,,,,7,10,Timeout #3 by Philadelphia Eagles,0.000,0.970
2,0:22,4,11,PHI 35,7,10,Steven Hauschka 53 yard field goal no good,0.970,-1.800
2,0:17,1,10,PHI 43,7,10,Donovan McNabb pass incomplete deep middle intended for Jason Avant,1.800,1.250
2,0:12,2,10,PHI 43,7,10,"Donovan McNabb pass incomplete short right intended for Kevin Curtis. Penalty on Frank Walker: Defensive Holding, 5 yards (no play)",1.250,2.130
2,0:07,1,10,PHI 48,7,10,Donovan McNabb pass complete short left to Kevin Curtis for 8 yards,2.130,2.660
2,0:04,,,,7,10,Timeout #2 by Baltimore Ravens,0.000,2.660
2,0:04,2,2,BAL 44,7,10,Donovan McNabb pass incomplete deep right intended for Hank Baskett (defended by Ed Reed),2.660,1.950
Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,7,10,"Steven Hauschka kicks off 66 yards, returned by Quintin Demps for 19 yards (tackle by Daren Stone)",0.000,0.480
3,14:56,1,10,PHI 23,7,10,Brian Westbrook up the middle for 2 yards (tackle by Justin Bannan),0.480,0.200
3,14:17,2,8,PHI 25,7,10,Kevin Kolb pass complete short middle to Brent Celek for 7 yards (tackle by Jim Leonhard),0.200,0.430
3,13:40,3,1,PHI 32,7,10,DeSean Jackson left end for 12 yards (tackle by Ed Reed),0.430,1.860
3,13:14,1,10,PHI 44,7,10,Kevin Kolb pass incomplete short right intended for Hank Baskett (defended by Fabian Washington),1.860,1.320
3,13:08,2,10,PHI 44,7,10,Brian Westbrook right end for 6 yards (tackle by Bart Scott),1.320,1.420
3,12:15,3,4,,7,10,Kevin Kolb pass incomplete short left intended for Kevin Curtis (defended by Samari Rolle),1.420,-0.060
3,12:10,4,4,,7,10,"Saverio Rocca punts 40 yards, fair catch by Yamon Figurs",-0.060,0.380
3,12:02,1,10,BAL 10,7,10,Le'Ron McClain left guard for no gain (tackle by Chris Gocong and Juqua Parker),-0.380,-0.780
3,11:31,2,10,BAL 10,7,10,Le'Ron McClain up the middle for 5 yards (tackle by Quintin Mikell),-0.780,-0.840
3,10:49,3,5,BAL 15,7,10,Joe Flacco pass complete short right to Derrick Mason for 9 yards (tackle by Joselio Hanson),-0.840,0.540
3,10:32,1,10,BAL 24,7,10,Joe Flacco pass incomplete deep left intended for Derrick Mason,0.540,0.000
3,10:26,2,10,BAL 24,7,10,Joe Flacco pass complete short left to Derrick Mason for 22 yards (tackle by Akeem Jordan),0.000,1.990
3,9:51,1,10,BAL 46,7,10,Le'Ron McClain left guard for -1 yards (tackle by Juqua Parker),1.990,1.320
3,9:51,2,11,BAL 45,7,10,"Penalty on Lorenzo Neal: False Start, 5 yards (no play)",1.320,0.640
3,8:43,2,16,BAL 40,7,10,Joe Flacco pass complete short right to Lorenzo Neal for -2 yards (tackle by Akeem Jordan),0.640,-0.300
3,8:01,3,18,BAL 38,7,10,Joe Flacco pass incomplete short right intended for Ray Rice,-0.300,-0.850
3,7:55,4,18,BAL 38,7,10,"Sam Koch punts 49 yards, returned by DeSean Jackson for 7 yards (tackle by Daniel Wilcox)",-0.850,-0.280
3,7:45,1,10,PHI 20,7,10,"Kevin Kolb pass incomplete short right intended for Brian Westbrook. Penalty on Jon Runyan: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,7:40,1,20,PHI 10,7,10,Kevin Kolb pass incomplete deep middle intended for Hank Baskett,-0.760,-1.510
3,7:34,2,20,PHI 10,7,10,Brian Westbrook right end for -2 yards (tackle by Antwan Barnes),-1.510,-2.820
3,6:48,3,22,PHI 8,7,10,"Penalty on Max Jean-Gilles: False Start, 4 yards (no play)",-2.820,-3.290
3,6:29,3,26,PHI 4,7,10,Kevin Kolb right end for 8 yards (tackle by Bart Scott),-3.290,-2.490
3,6:05,4,18,PHI 12,7,12,"Saverio Rocca punts, blocked by Jameel McClain, safety",-2.490,-2.000
3,6:01,,,PHI 20,7,12,"Saverio Rocca kicks off 52 yards, returned by Jim Leonhard for 18 yards (tackle by Chris Gocong)",0.000,1.990
3,5:55,1,10,BAL 46,7,12,Ray Rice left tackle for -3 yards (tackle by Trevor Laws). Penalty on Mark Clayton: Illegal Motion (Declined),1.990,1.050
3,5:30,2,13,BAL 43,7,12,Joe Flacco pass complete short left to Ray Rice for 12 yards (tackle by Akeem Jordan),1.050,1.950
3,5:04,3,1,PHI 45,7,12,Joe Flacco up the middle for 1 yard (tackle by Trent Cole),1.950,2.650
3,4:47,1,10,PHI 44,7,12,Ray Rice left end for 3 yards (tackle by Trent Cole and Victor Abiamiri),2.650,2.520
3,4:08,2,7,PHI 41,7,12,"Joe Flacco sacked by Quintin Mikell for -8 yards. Joe Flacco fumbles (forced by Quintin Mikell), recovered by Willie Anderson at BAL-36",2.520,-1.220
3,3:15,3,30,BAL 36,7,12,Ray Rice up the middle for 3 yards (tackle by Victor Abiamiri),-1.220,-0.780
3,2:37,4,27,BAL 39,7,12,"Sam Koch punts 49 yards, returned by DeSean Jackson for 3 yards (tackle by Jameel McClain)",-0.780,0.220
3,2:28,1,10,PHI 15,7,12,Kevin Kolb pass incomplete short left intended for Kevin Curtis,-0.220,-0.710
3,2:24,2,10,PHI 15,7,12,Kevin Kolb pass incomplete deep left intended for Kevin Curtis is intercepted by Samari Rolle at BAL-49,-0.710,-2.190
3,2:17,1,10,BAL 49,7,12,Le'Ron McClain right tackle for 2 yards (tackle by Brodrick Bunkley),2.190,1.920
3,1:39,2,8,PHI 49,7,12,Joe Flacco pass complete short left to Mark Clayton for 23 yards (tackle by Quintin Mikell),1.920,3.840
3,0:55,1,10,PHI 26,7,12,Le'Ron McClain left end for 1 yard (tackle by Trent Cole),3.840,3.430
3,0:14,2,9,PHI 25,7,12,Le'Ron McClain left tackle for 1 yard (tackle by Brodrick Bunkley and Stewart Bradley),3.430,2.870
Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,PHI 24,7,12,Joe Flacco pass incomplete short left intended for Mark Clayton (defended by Sheldon Brown),2.870,1.870
4,14:57,4,8,PHI 24,7,15,Matt Stover 42 yard field goal good,1.870,3.000
4,14:52,,,BAL 30,7,15,"Steven Hauschka kicks off 48 yards, returned by Dan Klecko for 12 yards (tackle by Brendon Ayanbadejo)",0.000,1.200
4,14:44,1,10,PHI 34,7,15,Brian Westbrook right guard for 1 yard (tackle by Haloti Ngata),1.200,0.790
4,14:09,2,9,PHI 35,7,15,Kevin Kolb pass complete short middle to Brian Westbrook for -5 yards (tackle by Haloti Ngata),0.790,-0.560
4,13:26,3,14,PHI 30,7,15,Kevin Kolb pass incomplete short right intended for DeSean Jackson,-0.560,-1.370
4,13:18,4,14,PHI 30,7,15,"Saverio Rocca punts 56 yards, returned by Yamon Figurs for 11 yards (tackle by Jason Avant). Penalty on PHI: Unsportsmanlike Conduct, 15 yards",-1.370,-1.600
4,13:06,1,10,BAL 40,7,15,Ray Rice left end for no gain (tackle by Sheldon Brown),1.600,1.050
4,12:24,2,10,BAL 40,7,15,Joe Flacco pass complete short right to Todd Heap for 7 yards (tackle by Lito Sheppard),1.050,1.290
4,11:39,3,3,BAL 47,7,21,"Joe Flacco pass complete short right to Mark Clayton for 53 yards, touchdown",1.290,7.000
4,11:39,,,PHI 2,7,22,Matt Stover kicks extra point good,0.000,0.000
4,11:30,,,BAL 30,7,22,"Steven Hauschka kicks off 69 yards, returned by Quintin Demps for 29 yards (tackle by Antwan Barnes)",0.000,0.940
4,11:22,1,10,PHI 30,7,22,Kevin Kolb pass complete short left to DeSean Jackson for 15 yards (tackle by Jim Leonhard),0.940,1.930
4,10:58,1,10,PHI 45,7,22,Kevin Kolb pass complete short left to DeSean Jackson for 7 yards (tackle by Ray Lewis). Penalty on Marques Douglas: Defensive Offside (Declined),1.930,2.330
4,10:39,2,3,BAL 48,7,22,Kevin Kolb pass complete short left to DeSean Jackson for 11 yards (tackle by Samari Rolle),2.330,3.120
4,10:11,1,10,BAL 37,7,22,Brian Westbrook up the middle for 12 yards (tackle by Terrell Suggs and Jim Leonhard),3.120,3.910
4,9:39,1,10,BAL 25,7,22,Kevin Kolb pass complete short left to DeSean Jackson for 11 yards (tackle by Antwan Barnes),3.910,4.650
4,9:12,1,10,BAL 14,7,22,Kevin Kolb pass complete short right to Brent Celek for 9 yards (tackle by Jarret Johnson). Penalty on BAL: Defensive 12 On-field (Declined),4.650,5.670
4,8:55,2,1,BAL 5,7,22,Brian Westbrook up the middle for 4 yards (tackle by Jim Leonhard),5.670,6.970
4,8:20,1,1,BAL 1,7,22,Kevin Kolb up the middle for no gain (tackle by Terrell Suggs),6.970,5.910
4,7:44,2,1,BAL 1,7,28,"Kevin Kolb pass incomplete short middle intended for Reggie Brown is intercepted by Ed Reed at BAL--7 and returned for 107 yards, touchdown",5.910,-7.000
4,,,,PHI 2,7,29,Matt Stover kicks extra point good,0.000,0.000
4,7:24,,,BAL 30,7,29,"Steven Hauschka kicks off 55 yards, returned by Jason Avant for 13 yards (tackle by Daniel Wilcox)",0.000,0.810
4,7:24,1,10,PHI 28,7,29,Brian Westbrook left end for 4 yards (tackle by Jarret Johnson and Justin Bannan),0.810,0.800
4,6:58,2,6,PHI 32,7,29,Kevin Kolb pass incomplete deep right intended for Jason Avant,0.800,0.100
4,6:45,3,6,PHI 32,7,29,Kevin Kolb right end for 4 yards (tackle by Terrell Suggs),0.100,-0.980
4,6:19,4,2,PHI 36,7,29,Kevin Kolb pass incomplete short right intended for Hank Baskett,-0.980,-3.180
4,6:11,1,10,PHI 36,7,29,Le'Ron McClain up the middle for 6 yards (tackle by Quintin Mikell and Sheldon Brown),3.180,3.450
4,5:29,2,4,PHI 30,7,29,Le'Ron McClain right guard for 1 yard (tackle by Quintin Mikell and Sheldon Brown),3.450,2.870
4,4:46,3,3,PHI 29,7,29,Le'Ron McClain up the middle for 28 yards (tackle by Sheldon Brown),2.870,6.970
4,3:56,,,,7,29,Timeout #1 by Baltimore Ravens,0.000,6.970
4,3:56,1,1,PHI 1,7,29,Lorenzo Neal left guard for no gain (tackle by Trent Cole and Akeem Jordan),6.970,5.910
4,3:15,2,1,PHI 1,7,35,"Le'Ron McClain left tackle for 1 yard, touchdown",5.910,7.000
4,3:15,,,PHI 2,7,36,Matt Stover kicks extra point good,0.000,0.000
4,3:10,,,BAL 30,7,36,"Steven Hauschka kicks off 42 yards, returned by Victor Abiamiri for 3 yards (tackle by Brendon Ayanbadejo)",0.000,1.000
4,3:10,1,10,PHI 31,7,36,Kevin Kolb pass incomplete short middle intended for Brian Westbrook (defended by Bart Scott),1.000,0.460
4,3:02,2,10,PHI 31,7,36,Kevin Kolb pass incomplete short middle intended for Brent Celek,0.460,-0.230
4,2:57,3,10,PHI 31,7,36,Kevin Kolb pass complete short left to Brent Celek for 10 yards (tackle by Haruki Nakamura),-0.230,1.660
4,2:44,,,,7,36,Timeout #1 by Philadelphia Eagles,0.000,1.660
4,2:44,1,10,PHI 41,7,36,"Kevin Kolb pass incomplete short right intended for Brent Celek (defended by Haruki Nakamura). Penalty on Jamaal Jackson: Offensive Holding, 10 yards (no play)",1.660,1.000
4,2:38,1,20,PHI 31,7,36,Kevin Kolb pass complete short right to Brian Westbrook for no gain,1.000,-0.230
4,2:11,2,20,PHI 31,7,36,Kevin Kolb pass complete short left to Jason Avant for 8 yards (tackle by Corey Ivy),-0.230,0.170
4,2:07,3,12,PHI 39,7,36,Kevin Kolb pass incomplete deep right intended for DeSean Jackson. Penalty on Tra Thomas: Offensive Holding (Declined),0.170,-0.780
4,1:57,4,12,PHI 39,7,36,Kevin Kolb pass incomplete short right intended for DeSean Jackson,-0.780,-2.980
4,1:53,1,10,PHI 39,7,36,Joe Flacco kneels for -1 yards,2.980,2.300
4,1:09,2,11,PHI 40,7,36,Joe Flacco kneels for -1 yards,2.300,1.490
4,0:35,3,12,PHI 41,7,36,Joe Flacco kneels for -1 yards,1.490,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
