Unnamed: 0,PHI,BAL
First Downs,13,14
Rush-Yds-TDs,21-86-0,40-110-1
Cmp-Att-Yd-TD-INT,18-41-132-0-4,12-26-183-2-0
Sacked-Yards,2-12,3-45
Net Pass Yards,120,138
Total Yards,206,248
Fumbles-Lost,1-1,1-0
Turnovers,5,0
Penalties-Yards,7-64,5-30
Third Down Conv.,3-13,5-17
Fourth Down Conv.,0-2,0-0
Time of Possession,26:39,33:21
