Unnamed: 0,BAL,DEN
First Downs,21,30
Rush-Yds-TDs,39-155-1,41-125-0
Cmp-Att-Yd-TD-INT,18-34-331-3-0,28-43-290-3-2
Sacked-Yards,1-7,3-17
Net Pass Yards,324,273
Total Yards,479,398
Fumbles-Lost,1-1,2-1
Turnovers,1,3
Penalties-Yards,8-56,10-87
Third Down Conv.,7-17,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,36:36,40:06
