Quarter,Time,Tm,Detail,MIN,ARI
1.0,9:47,Vikings,Visanthe Shiancoe 3 yard pass from Brett Favre (Ryan Longwell kick),7,0
,4:49,Cardinals,Anquan Boldin 2 yard pass from Kurt Warner (Neil Rackers kick),7,7
2.0,7:42,Cardinals,Anquan Boldin 39 yard pass from Kurt Warner (Neil Rackers kick),7,14
,1:55,Vikings,Ryan Longwell 25 yard field goal,10,14
,1:14,Cardinals,Larry Fitzgerald 34 yard pass from Kurt Warner (Neil Rackers kick),10,21
3.0,7:45,Cardinals,Neil Rackers 31 yard field goal,10,24
,3:19,Cardinals,Neil Rackers 30 yard field goal,10,27
4.0,4:18,Cardinals,Neil Rackers 29 yard field goal,10,30
,1:20,Vikings,Percy Harvin 31 yard pass from Brett Favre (Ryan Longwell kick),17,30
