Unnamed: 0,MIN,ARI
First Downs,22,20
Rush-Yds-TDs,20-62-0,25-113-0
Cmp-Att-Yd-TD-INT,30-45-275-2-2,22-32-285-3-0
Sacked-Yards,3-22,0-0
Net Pass Yards,253,285
Total Yards,315,398
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,6-50,6-50
Third Down Conv.,5-15,4-10
Fourth Down Conv.,1-1,0-0
Time of Possession,31:17,28:43
