Quarter,Time,Tm,Detail,PIT,CAR
1.0,5:48,Steelers,Najee Harris 7 yard rush (Chris Boswell kick),7,0
2.0,14:12,Panthers,D.J. Moore 5 yard pass from Sam Darnold (Eddy Pineiro kick),7,7
,8:20,Steelers,Jaylen Warren 2 yard rush (Chris Boswell kick),14,7
3.0,3:17,Steelers,Mitchell Trubisky 1 yard rush (Chris Boswell kick),21,7
4.0,11:52,Panthers,Eddy Pineiro 29 yard field goal,21,10
,6:15,Panthers,Eddy Pineiro 32 yard field goal,21,13
,1:04,Steelers,Chris Boswell 50 yard field goal,24,13
,0:19,Panthers,Eddy Pineiro 52 yard field goal,24,16
