Quarter,Time,Down,ToGo,Location,PIT,CAR,Detail,EPB,EPA
1,5:48,,,PIT 35,7,0,"Chris Boswell kicks off 63 yards, returned by Raheem Blackshear for 23 yards (tackle by James Pierre and Tre Norwood). Penalty on Sean Chandler: Defensive Holding, 10 yards (accepted)",0.000,-0.220
1,5:42,1,10,CAR 15,7,0,Sam Darnold pass complete short left to Terrace Marshall for 13 yards (tackle by Levi Wallace),-0.220,0.810
1,5:09,1,10,CAR 28,7,0,D'Onta Foreman left guard for -1 yards (tackle by Larry Ogunjobi),0.810,0.130
1,4:25,2,11,CAR 27,7,0,D'Onta Foreman right tackle for no gain (tackle by Devin Bush),0.130,-0.560
1,3:43,3,11,CAR 27,7,0,Sam Darnold pass complete short left to D.J. Moore for 14 yards (tackle by Cameron Sutton),-0.560,1.660
1,3:02,1,10,CAR 41,7,0,Sam Darnold pass complete short middle to D.J. Moore for 15 yards (tackle by Robert Spillane),1.660,2.650
1,2:24,1,10,PIT 44,7,0,D'Onta Foreman left guard for 2 yards (tackle by Devin Bush),2.650,2.380
1,1:36,2,8,PIT 42,7,0,"Sam Darnold pass complete short right to Ian Thomas for 5 yards (tackle by Robert Spillane). Penalty on Bradley Bozeman: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.380,1.710
1,1:16,2,13,PIT 47,7,0,Sam Darnold pass incomplete short right,1.710,1.030
1,1:10,3,13,PIT 47,7,0,Sam Darnold pass complete deep left to Terrace Marshall for 40 yards (tackle by James Pierre),1.030,5.600
1,0:23,1,7,PIT 7,7,0,D'Onta Foreman right end for -1 yards (tackle by Isaiahh Loudermilk),5.600,4.570
Quarter,Time,Down,ToGo,Location,PIT,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,PIT 8,7,0,Chuba Hubbard up the middle for 3 yards (tackle by Terrell Edmunds),4.570,4.260
2,14:19,3,5,PIT 5,7,6,"Sam Darnold pass complete short right to D.J. Moore for 5 yards, touchdown",4.260,7.000
2,14:12,,,PIT 15,7,7,Eddy Pineiro kicks extra point good,0.000,0.000
2,14:12,,,CAR 35,7,7,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
2,14:12,1,10,PIT 25,7,7,Mitchell Trubisky pass complete short right to Zach Gentry for 4 yards (tackle by Frankie Luvu),0.610,0.600
2,13:31,2,6,PIT 29,7,7,Najee Harris right tackle for 5 yards (tackle by Matthew Ioannidis and Keith Taylor),0.600,0.560
2,12:48,3,1,PIT 34,7,7,Mitchell Trubisky up the middle for 4 yards (tackle by Matthew Ioannidis),0.560,1.470
2,12:10,1,10,PIT 38,7,7,Najee Harris left tackle for 7 yards (tackle by Jeremy Chinn and Shaq Thompson),1.470,1.870
2,11:28,2,3,PIT 45,7,7,Jaylen Warren right tackle for -1 yards (tackle by Matthew Ioannidis),1.870,1.020
2,10:50,3,4,PIT 44,7,7,"Penalty on Kevin Dotson: False Start, 5 yards (accepted) (no play)",1.020,0.370
2,10:27,3,9,PIT 39,7,7,"Penalty on Matthew Ioannidis: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.370,1.020
2,10:12,3,4,PIT 44,7,7,Mitchell Trubisky pass complete deep left to George Pickens for 38 yards,1.020,4.370
2,9:43,1,10,CAR 18,7,7,Jaylen Warren up the middle for 9 yards (tackle by Jeremy Chinn),4.370,5.420
2,9:21,2,1,CAR 9,7,7,Jaylen Warren up the middle for 2 yards (tackle by Brian Burns and Frankie Luvu),5.420,5.600
2,8:59,1,7,CAR 7,7,7,Jaylen Warren left tackle for 5 yards (tackle by Xavier Woods),5.600,5.720
2,8:24,,,,,,Timeout #1 by Carolina Panthers,,
2,8:24,2,2,CAR 2,13,7,"Jaylen Warren for 2 yards, touchdown",5.720,7.000
2,8:20,,,CAR 15,14,7,Chris Boswell kicks extra point good,0.000,0.000
2,8:20,,,PIT 35,14,7,"Penalty on Derrick Brown: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.000,-2.260
2,8:20,1,10,PIT 50,14,7,"Chris Boswell kicks off 50 yards, touchback.",2.260,0.610
2,8:20,1,10,CAR 25,14,7,Sam Darnold scrambles up the middle for 3 yards (tackle by Robert Spillane),0.610,0.470
2,7:40,2,7,CAR 28,14,7,D'Onta Foreman up the middle for 4 yards (tackle by Devin Bush and Larry Ogunjobi),0.470,0.300
2,6:58,3,3,CAR 32,14,7,"Penalty on D.J. Moore: False Start, 5 yards (accepted) (no play)",0.300,-0.360
2,6:36,3,8,CAR 27,14,7,Sam Darnold pass incomplete deep left intended for Laviska Shenault,-0.360,-1.570
2,6:31,4,8,CAR 27,14,7,Johnny Hekker punts 43 yards downed by Chandler Wooten,-1.570,-0.940
2,6:20,1,10,PIT 30,14,7,Najee Harris right tackle for 1 yard (tackle by Xavier Woods and Henry Anderson),0.940,0.530
2,5:37,2,9,PIT 31,14,7,Mitchell Trubisky pass complete short left to Diontae Johnson for 4 yards (tackle by Shaq Thompson),0.530,0.370
2,4:55,3,5,PIT 35,14,7,Mitchell Trubisky pass incomplete short left intended for George Pickens,0.370,-1.040
2,4:50,4,5,PIT 35,14,7,"Pressley Harvin punts 38 yards, fair catch by Shi Smith at CAR-27",-1.040,-0.740
2,4:42,1,10,CAR 27,14,7,Sam Darnold pass incomplete short right intended for D.J. Moore,0.740,0.200
2,4:35,2,10,CAR 27,14,7,Sam Darnold pass incomplete short left,0.200,-0.490
2,4:33,3,10,CAR 27,14,7,Sam Darnold sacked by T.J. Watt for -9 yards,-0.490,-2.240
2,3:44,4,19,CAR 18,14,7,"Johnny Hekker punts 49 yards, fair catch by Steven Sims at PIT-33",-2.240,-1.140
2,3:36,1,10,PIT 33,14,7,Najee Harris for 1 yard (tackle by Yetur Gross-Matos and Shaq Thompson),1.140,0.730
2,2:56,2,9,PIT 34,14,7,Mitchell Trubisky pass complete short right to George Pickens for 15 yards (tackle by Keith Taylor),0.730,2.190
2,2:15,1,10,PIT 49,14,7,Steven Sims left guard for -3 yards (tackle by Brian Burns),2.190,1.240
2,2:00,2,13,PIT 46,14,7,Mitchell Trubisky pass complete short left to Steven Sims for 10 yards (tackle by Frankie Luvu and Keith Taylor),1.240,1.880
2,1:39,3,3,CAR 44,14,7,Mitchell Trubisky pass incomplete short right intended for Steven Sims (defended by Matthew Ioannidis),1.880,0.330
2,1:34,4,3,CAR 44,14,7,Pressley Harvin punts 44 yards,0.330,-0.280
2,1:27,1,10,CAR 20,14,7,Chuba Hubbard right guard for 2 yards (tackle by Alex Highsmith and Larry Ogunjobi),0.280,0.000
2,1:22,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:22,2,8,CAR 22,14,7,Sam Darnold pass complete short middle to Chuba Hubbard for 6 yards (tackle by Robert Spillane),0.000,0.100
2,0:57,3,2,CAR 28,14,7,Sam Darnold pass incomplete short left intended for Shi Smith (defended by Minkah Fitzpatrick),0.100,-1.500
2,0:53,4,2,CAR 28,14,7,Johnny Hekker punts 63 yards downed by Sam Franklin,-1.500,0.380
2,0:42,1,10,PIT 9,14,7,Jaylen Warren right end for 8 yards (tackle by Jaycee Horn),-0.380,-0.020
Quarter,Time,Down,ToGo,Location,PIT,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,14,7,"Eddy Pineiro kicks off 64 yards, returned by Steven Sims for 17 yards (tackle by Sean Chandler). Penalty on Benny Snell: Defensive Holding, 10 yards (declined) . Penalty on Miles Killebrew: Illegal Blindside Block, 9 yards (accepted)",0.000,-0.380
3,14:48,1,10,PIT 9,14,7,Mitchell Trubisky pass complete short right to Diontae Johnson for 7 yards (tackle by Keith Taylor),-0.380,-0.160
3,14:12,2,3,PIT 16,14,7,Najee Harris left guard for 1 yard (tackle by Jaycee Horn),-0.160,-0.480
3,13:34,3,2,PIT 17,14,7,Najee Harris up the middle for 2 yards (tackle by Matthew Ioannidis),-0.480,0.150
3,12:49,1,10,PIT 19,14,7,Najee Harris right tackle for no gain (tackle by Matthew Ioannidis and Yetur Gross-Matos),0.150,-0.390
3,12:08,2,10,PIT 19,14,7,Mitchell Trubisky pass incomplete short middle,-0.390,-1.070
3,12:03,3,10,PIT 19,14,7,Mitchell Trubisky pass complete short left to Diontae Johnson for 12 yards (tackle by Jeremy Chinn),-1.070,1.000
3,11:31,1,10,PIT 31,14,7,Jaylen Warren right end for no gain (tackle by Jeremy Chinn),1.000,0.460
3,10:50,2,10,PIT 31,14,7,Najee Harris left guard for 9 yards (tackle by Jeremy Chinn and Frankie Luvu),0.460,0.960
3,10:27,3,1,PIT 40,14,7,Steven Sims right end for 22 yards (tackle by Xavier Woods),0.960,3.050
3,9:45,1,10,CAR 38,14,7,Najee Harris left tackle for 1 yard (tackle by Marquan McCall),3.050,2.640
3,9:03,2,9,CAR 37,14,7,"Mitchell Trubisky pass complete deep left to Diontae Johnson for 18 yards (tackle by Jeremy Chinn). Penalty on Jeremy Chinn: Illegal Contact, 5 yards (declined)",2.640,4.310
3,8:34,1,10,CAR 19,14,7,Najee Harris up the middle for 2 yards (tackle by Yetur Gross-Matos and Jeremy Chinn),4.310,4.030
3,7:55,2,8,CAR 17,14,7,Diontae Johnson right end for 2 yards (tackle by Brian Burns),4.030,3.580
3,7:13,3,6,CAR 15,14,7,Mitchell Trubisky pass complete short left to Diontae Johnson for 8 yards (tackle by Xavier Woods),3.580,5.600
3,6:58,1,7,CAR 7,14,7,"Penalty on Diontae Johnson: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",5.600,4.110
3,6:38,1,10,CAR 22,14,7,Mitchell Trubisky pass complete short left to Miles Boykin for no gain (tackle by Shaq Thompson),4.110,3.560
3,5:57,2,10,CAR 22,14,7,Mitchell Trubisky pass complete short right to Diontae Johnson for 9 yards (tackle by Jeremy Chinn),3.560,4.390
3,5:21,3,1,CAR 13,14,7,Derek Watt up the middle for 2 yards (tackle by Derrick Brown),4.390,4.840
3,4:41,1,10,CAR 11,14,7,Najee Harris up the middle for 9 yards (tackle by Jeremy Chinn),4.840,5.850
3,4:17,2,1,CAR 2,14,7,Najee Harris up the middle for 1 yard (tackle by Cory Littleton and Yetur Gross-Matos),5.850,6.970
3,3:53,1,1,CAR 1,14,7,Mitchell Trubisky up the middle for no gain (tackle by Derrick Brown and Cory Littleton),6.970,5.910
3,3:20,2,1,CAR 1,20,7,"Mitchell Trubisky up the middle for 1 yard, touchdown",5.910,7.000
3,3:17,,,CAR 15,21,7,Chris Boswell kicks extra point good,0.000,0.000
3,3:17,,,PIT 35,21,7,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
3,3:17,1,10,CAR 25,21,7,Sam Darnold pass complete short right to Terrace Marshall for -2 yards (tackle by Robert Spillane),0.610,-0.210
3,2:37,2,12,CAR 23,21,7,Sam Darnold pass complete short right to Chuba Hubbard for 45 yards (tackle by Damontae Kazee and Cameron Sutton),-0.210,3.450
3,1:52,1,10,PIT 32,21,7,D'Onta Foreman left tackle for 1 yard (tackle by Tyson Alualu and Arthur Maulet),3.450,3.040
3,1:08,2,9,PIT 31,21,7,Sam Darnold sacked by Alex Highsmith for -8 yards,3.040,1.290
3,0:23,3,17,PIT 39,21,7,Sam Darnold sacked by Cameron Heyward for -10 yards,1.290,0.000
Quarter,Time,Down,ToGo,Location,PIT,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,27,PIT 49,21,7,"Penalty on Marcus Allen: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.000,3.310
4,15:00,1,10,PIT 34,21,7,D'Onta Foreman up the middle for 5 yards (tackle by Robert Spillane and Devin Bush),3.310,3.450
4,14:20,2,5,PIT 29,21,7,Sam Darnold pass complete short left to Tommy Tremble for 17 yards (tackle by Robert Spillane),3.450,4.780
4,13:37,1,10,PIT 12,21,7,Chuba Hubbard left tackle for 2 yards (tackle by Terrell Edmunds),4.780,4.450
4,13:01,2,8,PIT 10,21,7,Sam Darnold pass incomplete short right,4.450,3.480
4,12:51,3,8,PIT 10,21,7,Sam Darnold up the middle for -1 yards (tackle by Cameron Heyward and Minkah Fitzpatrick),3.480,2.700
4,11:57,4,9,PIT 11,21,10,Eddy Pineiro 29 yard field goal good,2.700,3.000
4,11:52,,,CAR 35,21,10,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
4,11:52,1,10,PIT 25,21,10,Mitchell Trubisky pass incomplete short right intended for George Pickens,0.610,0.060
4,11:46,2,10,PIT 25,21,10,Najee Harris right end for 4 yards (tackle by Jeremy Chinn),0.060,-0.100
4,11:06,3,6,PIT 29,21,10,Mitchell Trubisky sacked by Frankie Luvu for -10 yards,-0.100,-2.140
4,10:32,4,16,PIT 19,21,10,Pressley Harvin punts 54 yards out of bounds,-2.140,-0.740
4,10:21,1,10,CAR 27,21,10,"Sam Darnold sacked by Terrell Edmunds for no gain. Sam Darnold fumbles (forced by Terrell Edmunds), recovered by Taylor Moton at CAR-19 (tackle by Terrell Edmunds). Penalty on T.J. Watt: Defensive Offside, 5 yards (accepted) (no play)",0.740,1.470
4,9:59,1,5,CAR 32,21,10,Sam Darnold pass incomplete short left intended for Shi Smith (defended by Cameron Sutton),1.470,0.870
4,9:54,2,5,CAR 32,21,10,Sam Darnold pass complete short right to D.J. Moore for 13 yards (tackle by Levi Wallace),0.870,1.860
4,9:32,1,10,CAR 44,21,10,Sam Darnold pass complete deep left to Shi Smith for 24 yards (tackle by Arthur Maulet and Minkah Fitzpatrick),1.860,3.510
4,8:30,1,10,PIT 31,21,10,"Sam Darnold pass incomplete deep left intended for Terrace Marshall. Penalty on Cameron Sutton: Defensive Pass Interference, 27 yards (accepted) (no play)",3.510,6.280
4,8:30,1,4,PIT 4,21,10,D'Onta Foreman right tackle for 2 yards (tackle by Larry Ogunjobi),6.280,5.720
4,7:52,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,7:52,2,2,PIT 2,21,10,"D'Onta Foreman up the middle for -2 yards. D'Onta Foreman fumbles (forced by Alex Highsmith), recovered by Stephen Sullivan at PIT-4",5.720,4.490
4,7:04,3,4,PIT 4,21,10,Sam Darnold sacked by and Cameron Heyward for -10 yards and T.J. Watt for -10 yards,4.490,2.510
4,6:19,4,14,PIT 14,21,13,Eddy Pineiro 32 yard field goal good,2.510,3.000
4,6:15,,,CAR 35,21,13,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
4,6:15,1,10,PIT 25,21,13,Najee Harris right guard for 1 yard (tackle by Frankie Luvu and Derrick Brown),0.610,0.200
4,5:33,2,9,PIT 26,21,13,Mitchell Trubisky pass incomplete short left intended for George Pickens (defended by Jeremy Chinn),0.200,-0.490
4,5:29,3,9,PIT 26,21,13,"Penalty on George Pickens: False Start, 5 yards (accepted) (no play)",-0.490,-1.150
4,5:29,3,14,PIT 21,21,13,Mitchell Trubisky pass complete short right to Diontae Johnson for 19 yards (tackle by Keith Taylor),-1.150,1.600
4,4:41,1,10,PIT 40,21,13,Najee Harris up the middle for 6 yards (tackle by Bravvion Roy and Shaq Thompson),1.600,1.860
4,3:59,2,4,PIT 46,21,13,Najee Harris right guard for -2 yards (tackle by Shaq Thompson and Xavier Woods),1.860,0.890
4,3:14,3,6,PIT 44,21,13,Mitchell Trubisky pass complete short left to Diontae Johnson for 9 yards (tackle by Keith Taylor),0.890,2.460
4,3:07,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,3:07,1,10,CAR 47,21,13,Jaylen Warren for 4 yards (tackle by Frankie Luvu),2.460,2.450
4,3:01,,,,,,Timeout #1 by Carolina Panthers,,
4,3:01,2,6,CAR 43,21,13,Jaylen Warren right guard for 5 yards (tackle by Shaq Thompson),2.450,2.410
4,2:55,,,,,,Timeout #2 by Carolina Panthers,,
4,2:55,3,1,CAR 38,21,13,Mitchell Trubisky up the middle for 1 yard (tackle by Matthew Ioannidis and Shaq Thompson),2.410,3.120
4,2:10,1,10,CAR 37,21,13,Jaylen Warren left tackle for 1 yard (tackle by Cory Littleton),3.120,2.710
4,2:00,2,9,CAR 36,21,13,Najee Harris right tackle for 3 yards (tackle by Shaq Thompson),2.710,2.410
4,1:55,,,,,,Timeout #3 by Carolina Panthers,,
4,1:55,3,6,CAR 33,21,13,Najee Harris up the middle for 1 yard (tackle by Cory Littleton and Yetur Gross-Matos),2.410,1.260
4,1:09,4,5,CAR 32,24,13,Chris Boswell 50 yard field goal good,1.260,3.000
4,1:04,,,PIT 35,24,13,"Chris Boswell kicks off 65 yards, returned by Raheem Blackshear for 37 yards (tackle by Arthur Maulet and Connor Heyward)",0.000,1.400
4,0:54,1,10,CAR 37,24,13,Sam Darnold pass incomplete short left intended for Tommy Tremble,1.400,0.860
4,0:50,2,10,CAR 37,24,13,Sam Darnold pass complete short left to Tommy Tremble for 3 yards (tackle by Terrell Edmunds),0.860,0.560
4,0:44,3,7,CAR 40,24,13,Sam Darnold pass complete deep middle to D.J. Moore for 26 yards (tackle by Robert Spillane),0.560,3.310
4,0:24,1,10,PIT 34,24,13,Sam Darnold spiked the ball,3.310,2.770
4,0:23,2,10,PIT 34,24,16,Eddy Pineiro 52 yard field goal good,2.770,3.000
4,0:19,,,CAR 35,24,16,"Johnny Hekker kicks onside 8 yards, returned by George Pickens for no gain",0.000,2.720
4,0:18,1,10,CAR 43,24,16,Mitchell Trubisky kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
