Unnamed: 0,PIT,CAR
First Downs,22,12
Rush-Yds-TDs,45-156-3,16-21-0
Cmp-Att-Yd-TD-INT,17-22-179-0-0,14-23-225-1-0
Sacked-Yards,1-10,4-37
Net Pass Yards,169,188
Total Yards,325,209
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,7-81,5-40
Third Down Conv.,12-16,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,36:11,23:49
