0,1
Game Info,Game Info
Won Toss,Steelers (deferred)
Roof,outdoors
Surface,grass
Duration,2:52
Attendance,73548
Weather,"47 degrees, relative humidity 37%, wind 7 mph"
Vegas Line,Carolina Panthers -2.5
Over/Under,37.5 (over)
