Unnamed: 0,TAM,NOR
First Downs,24,23
Rush-Yds-TDs,34-176-1,23-124-1
Cmp-Att-Yd-TD-INT,21-31-271-0-2,32-37-258-1-0
Sacked-Yards,3-8,1-9
Net Pass Yards,263,249
Total Yards,439,373
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,7-42,2-14
Third Down Conv.,7-12,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,36:15,30:39
