Quarter,Time,Tm,Detail,MIN,OAK
1.0,10:59,Vikings,Rhett Ellison 11 yard pass from Teddy Bridgewater (Blair Walsh kick),7,0
,1:32,Vikings,Blair Walsh 20 yard field goal,10,0
2.0,10:33,Vikings,Blair Walsh 38 yard field goal,13,0
,5:54,Raiders,Clive Walford 10 yard pass from Derek Carr (Sebastian Janikowski kick),13,7
,1:52,Raiders,Andre Holmes 34 yard pass from Derek Carr (Sebastian Janikowski kick),13,14
,1:39,Vikings,Cordarrelle Patterson 93 yard kickoff return (Blair Walsh kick),20,14
4.0,3:50,Vikings,Blair Walsh 34 yard field goal,23,14
,1:50,Vikings,Adrian Peterson 80 yard rush (Blair Walsh kick),30,14
