Unnamed: 0,MIN,OAK
First Downs,21,20
Rush-Yds-TDs,33-263-1,19-84-0
Cmp-Att-Yd-TD-INT,14-22-140-1-0,29-43-302-2-2
Sacked-Yards,4-18,2-15
Net Pass Yards,122,287
Total Yards,385,371
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,3-15,8-82
Third Down Conv.,4-11,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:01,26:59
