Unnamed: 0,TAM,GNB
First Downs,22,18
Rush-Yds-TDs,27-99-0,17-60-0
Cmp-Att-Yd-TD-INT,22-28-381-4-0,29-39-284-2-0
Sacked-Yards,5-28,2-23
Net Pass Yards,353,261
Total Yards,452,321
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,4-52,4-31
Third Down Conv.,7-11,6-12
Fourth Down Conv.,1-1,0-2
Time of Possession,29:07,30:53
