Unnamed: 0,DET,CHI
First Downs,25,19
Rush-Yds-TDs,31-95-2,35-258-2
Cmp-Att-Yd-TD-INT,19-26-236-1-0,12-20-167-2-1
Sacked-Yards,2-8,3-17
Net Pass Yards,228,150
Total Yards,323,408
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,2-15,9-86
Third Down Conv.,5-11,6-11
Fourth Down Conv.,1-1,0-1
Time of Possession,30:48,29:12
