Quarter,Time,Tm,Detail,DET,CHI
1.0,10:39,Bears,Cairo Santos 33 yard field goal,0,3
,3:21,Lions,Michael Badgley 25 yard field goal,3,3
2.0,7:18,Lions,Brock Wright 2 yard pass from Jared Goff (Michael Badgley kick),10,3
,0:12,Bears,Justin Fields 1 yard rush (Cairo Santos kick),10,10
3.0,7:36,Bears,Cole Kmet 6 yard pass from Justin Fields (Cairo Santos kick),10,17
,2:43,Bears,Cole Kmet 50 yard pass from Justin Fields (Cairo Santos kick),10,24
4.0,11:37,Lions,D'Andre Swift 9 yard rush (Michael Badgley kick),17,24
,10:29,Lions,Jeff Okudah 20 yard interception return (Michael Badgley kick),24,24
,9:11,Bears,Justin Fields 67 yard rush (Cairo Santos kick failed),24,30
,2:21,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),31,30
