Quarter,Time,Tm,Detail,TAM,NOR
1.0,7:27,Buccaneers,Tom Brady 2 yard rush (Ryan Succop kick),7,0
2.0,11:39,Saints,Alvin Kamara 12 yard pass from Drew Brees (Wil Lutz kick),7,7
,10:09,Saints,Alvin Kamara 6 yard rush (Wil Lutz kick),7,14
,0:44,Saints,Wil Lutz 29 yard field goal,7,17
3.0,13:13,Saints,Jackrabbit Jenkins 36 yard interception return (Wil Lutz kick),7,24
,12:20,Buccaneers,O.J. Howard 9 yard pass from Tom Brady (Ryan Succop kick),14,24
,2:22,Buccaneers,Ryan Succop 38 yard field goal,17,24
4.0,11:38,Saints,Emmanuel Sanders 5 yard pass from Drew Brees (Wil Lutz kick),17,31
,8:01,Saints,Wil Lutz 21 yard field goal,17,34
,2:41,Buccaneers,Mike Evans 2 yard pass from Tom Brady (pass failed),23,34
