Unnamed: 0,SDG,IND
First Downs,22,30
Rush-Yds-TDs,29-93-1,25-104-0
Cmp-Att-Yd-TD-INT,21-31-290-3-1,27-44-383-2-1
Sacked-Yards,1-9,4-23
Net Pass Yards,281,360
Total Yards,374,464
Fumbles-Lost,1-0,3-0
Turnovers,1,1
Penalties-Yards,7-63,10-70
Third Down Conv.,8-14,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,31:13,31:34
