Quarter,Time,Down,ToGo,Location,SDG,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Martin Gramatica kicks off 66 yards, returned by Tim Dwight for 21 yards (tackle by Robert Mathis)",0.000,-0.610
1,14:55,1,10,SDG 25,0,0,Drew Brees pass incomplete intended for Kassim Osgood,0.610,0.060
1,14:55,2,10,SDG 25,0,0,"Penalty on Raheem Brock: Neutral Zone Infraction, 5 yards (no play)",0.060,0.740
1,14:51,2,5,SDG 30,0,0,"Drew Brees pass complete to Antonio Gates for 2 yards (tackle by David Thornton). Penalty on Dwight Freeney: Defensive Offside, 5 yards (no play)",0.740,1.270
1,14:34,1,10,SDG 35,0,0,Drew Brees pass complete to LaDainian Tomlinson for -2 yards (tackle by David Thornton),1.270,0.450
1,13:52,2,12,SDG 33,0,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Raheem Brock and David Thornton),0.450,0.040
1,13:11,3,10,SDG 35,0,0,Drew Brees pass complete to LaDainian Tomlinson for 7 yards (tackle by Cato June),0.040,-0.590
1,12:30,4,3,SDG 42,0,0,"Mike Scifres punts 50 yards, fair catch by Troy Walters",-0.590,0.380
1,12:23,1,10,IND 8,0,0,Edgerrin James up the middle for 2 yards (tackle by Randall Godfrey),-0.380,-0.630
1,11:52,2,8,IND 10,0,0,Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Randall Godfrey),-0.630,-0.720
1,11:11,3,4,IND 14,0,0,Peyton Manning pass complete to Brandon Stokley for 10 yards (tackle by Jamar Fletcher),-0.720,0.540
1,10:33,1,10,IND 24,0,0,Peyton Manning pass incomplete intended for Marvin Harrison,0.540,0.000
1,10:27,2,10,IND 24,0,0,Edgerrin James right end for 6 yards (tackle by Ben Leber),0.000,0.100
1,10:04,3,4,IND 30,0,0,"Edgerrin James up the middle for 4 yards (tackle by Steve Foley). Penalty on SDG: Defensive 12 On-field, 5 yards (no play)",0.100,1.270
1,9:47,1,10,IND 35,0,0,Peyton Manning pass complete to Marvin Harrison for 15 yards (tackle by Quentin Jammer),1.270,2.260
1,9:26,1,10,IND 50,0,0,"Edgerrin James left end for 7 yards (tackle by Drayton Florence). Penalty on Terrence Kiel: Unnecessary Roughness, 15 yards",2.260,3.710
1,9:05,1,10,SDG 28,0,0,Peyton Manning pass complete to Marvin Harrison for 15 yards (tackle by Quentin Jammer),3.710,4.710
1,8:24,1,10,SDG 13,0,0,Peyton Manning pass complete to Edgerrin James for 7 yards (tackle by Randall Godfrey),4.710,5.340
1,7:52,2,3,SDG 6,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,5.340,4.560
1,7:48,3,3,SDG 6,0,0,Peyton Manning pass incomplete intended for Reggie Wayne is intercepted by Donnie Edwards at SDG-4 and returned for 2 yards,4.560,0.380
1,7:40,1,10,SDG 8,0,0,LaDainian Tomlinson up the middle for 4 yards (tackle by Cato June),-0.380,-0.490
1,7:08,2,6,SDG 12,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Cato June),-0.490,-0.600
1,7:08,3,3,SDG 15,0,0,"Penalty on Montae Reagor: Defensive Offside, 5 yards (no play)",-0.600,0.280
1,6:13,1,10,SDG 20,0,0,Drew Brees pass complete to Eric Parker for 6 yards (tackle by Nick Harper),0.280,0.540
1,5:41,2,4,SDG 26,0,0,LaDainian Tomlinson up the middle for no gain (tackle by Dwight Freeney and David Thornton),0.540,-0.160
1,4:59,3,4,SDG 26,6,0,"Drew Brees pass complete to LaDainian Tomlinson for 74 yards, touchdown",-0.160,7.000
1,,,,IND 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 60 yards, returned by Dominic Rhodes for 16 yards (tackle by Stephen Cooper)",0.000,0.670
1,4:43,1,10,IND 26,7,0,Edgerrin James right end for 11 yards (tackle by Randall Godfrey),0.670,1.400
1,4:01,1,10,IND 37,7,0,Edgerrin James left tackle for -2 yards (tackle by Igor Olshansky),1.400,0.590
