Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
1,8:45,2,11,JAX 21,0,0,Jeff Garcia pass complete short right to B.J. Askew for 3 yards (tackle by Daryl Smith),3.560,3.220
1,8:03,3,8,JAX 18,0,0,Jeff Garcia sacked by Rob Meier for -8 yards,3.220,1.740
1,7:32,4,16,JAX 26,0,3,Matt Bryant 44 yard field goal good,1.740,3.000
1,,,,TAM 30,0,3,"Matt Bryant kicks off 49 yards, returned by George Wrighster for 29 yards (tackle by Ryan Nece)",0.000,2.260
1,7:18,1,10,,0,3,Fred Taylor up the middle for 3 yards (tackle by Barrett Ruud),2.260,2.120
1,6:44,2,7,TAM 47,0,3,Fred Taylor up the middle for 4 yards (tackle by Jermaine Phillips and Kevin Carter),2.120,1.950
1,6:01,3,3,TAM 43,0,3,Maurice Jones-Drew right tackle for 2 yards (tackle by Kevin Carter),1.950,0.530
1,5:16,4,1,TAM 41,0,3,LaBrandon Toefield right tackle for 4 yards (tackle by Tanard Jackson),0.530,3.120
1,4:42,1,10,TAM 37,0,3,Fred Taylor right tackle for 3 yards (tackle by Jovan Haye and Derrick Brooks),3.120,2.980
1,4:07,2,7,TAM 34,0,3,Fred Taylor left guard for 12 yards (tackle by Tanard Jackson),2.980,4.110
1,3:28,1,10,TAM 22,0,3,Fred Taylor left guard for 4 yards (tackle by Cato June and Chris Hovan),4.110,4.130
1,2:50,,,,0,3,Timeout #1 by Jacksonville Jaguars,0.000,4.130
1,2:50,2,6,TAM 18,0,3,LaBrandon Toefield right guard for 2 yards (tackle by Barrett Ruud),4.130,3.740
1,2:13,3,4,TAM 16,0,3,Quinn Gray pass complete short middle to Maurice Jones-Drew for 15 yards (tackle by Tanard Jackson),3.740,6.970
1,1:36,1,1,TAM 1,6,3,"LaBrandon Toefield right tackle for 1 yard, touchdown",6.970,7.000
1,,,,TAM 2,7,3,John Carney kicks extra point good,0.000,0.000
1,,,,JAX 30,7,3,"John Carney kicks off 66 yards, returned by Torrie Cox for 14 yards (tackle by Kenneth Pettway). Penalty on Kalvin Pearson: Offensive Holding, 9 yards",0.000,-0.380
1,1:23,1,10,TAM 9,7,3,Earnest Graham right end for 2 yards (tackle by Rashean Mathis),-0.380,-0.630
1,0:45,2,8,TAM 11,7,3,Jeff Garcia for 5 yards,-0.630,-0.600
1,0:06,3,3,TAM 16,7,3,Jeff Garcia pass complete short right to Joey Galloway for 9 yards (tackle by Reggie Nelson),-0.600,0.610
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 25,7,3,"Jeff Garcia pass incomplete short left intended for B.J. Askew. Penalty on Jeff Garcia: Intentional Grounding, 10 yards",0.610,-1.430
2,14:53,2,20,TAM 15,7,3,Earnest Graham up the middle for 2 yards (tackle by Mike Peterson and Terry Cousin),-1.430,-1.930
2,14:20,3,18,TAM 17,7,3,Jeff Garcia pass complete short right to Maurice Stovall for 11 yards (tackle by Rashean Mathis),-1.930,-1.500
2,13:43,4,7,TAM 28,7,3,"Josh Bidwell punts 53 yards, returned by Dennis Northcutt for 12 yards (tackle by Torrie Cox)",-1.500,-1.000
2,13:24,1,10,JAX 31,7,3,Fred Taylor up the middle for 4 yards (tackle by Chris Hovan and Jovan Haye),1.000,1.000
2,12:49,2,6,JAX 35,7,3,Fred Taylor up the middle for -2 yards (tackle by Barrett Ruud),1.000,0.040
2,12:06,3,8,JAX 33,7,3,Quinn Gray pass incomplete short right intended for Maurice Jones-Drew,0.040,-1.180
2,12:00,4,8,JAX 33,7,3,"Adam Podlesh punts 39 yards, returned by Ike Hilliard for no gain",-1.180,-0.810
2,11:50,1,10,TAM 28,7,3,"Jeff Garcia pass complete short middle to Earnest Graham for 12 yards (tackle by Mike Peterson). Penalty on Davin Joseph: Illegal Use of Hands, 10 yards (no play)",0.810,-0.040
2,11:27,1,20,TAM 18,7,3,Jeff Garcia pass complete short right to Ike Hilliard for 4 yards (tackle by Daryl Smith),-0.040,-0.550
2,10:42,2,16,TAM 22,7,3,Jeff Garcia pass complete short left to Ike Hilliard for 12 yards (tackle by Aaron Glenn),-0.550,0.370
2,10:00,3,4,TAM 34,7,3,Jeff Garcia pass incomplete deep left intended for Michael Bennett,0.370,-1.110
2,9:50,4,4,TAM 34,7,3,"Josh Bidwell punts 35 yards, returned by Dennis Northcutt for 12 yards (tackle by Adam Hayward)",-1.110,-1.800
2,9:36,1,10,JAX 43,7,3,Quinn Gray pass complete deep middle to Greg Estandia for 30 yards (tackle by Cato June),1.800,3.780
2,8:58,1,10,TAM 27,7,3,Fred Taylor up the middle for 4 yards (tackle by Jovan Haye),3.780,3.770
2,8:22,2,6,TAM 23,7,3,Fred Taylor up the middle for no gain (tackle by Jermaine Phillips),3.770,3.070
2,7:38,3,6,TAM 23,7,3,Quinn Gray pass incomplete short left intended for Maurice Jones-Drew (defended by Tanard Jackson),3.070,1.950
2,7:30,4,6,TAM 23,10,3,John Carney 41 yard field goal good,1.950,3.000
2,,,,JAX 30,10,3,"John Carney kicks off 61 yards, returned by Chad Lucas for 17 yards (tackle by Brian Iwuh)",0.000,0.670
2,7:18,1,10,TAM 26,16,3,"Jeff Garcia pass incomplete short left intended for Joey Galloway is intercepted by Aaron Glenn at TAM-28 and returned for 28 yards, touchdown",0.670,-7.000
2,,,,TAM 2,17,3,John Carney kicks extra point good,0.000,0.000
2,,,,JAX 30,17,3,"John Carney kicks off 69 yards, returned by Chad Lucas for 18 yards (tackle by Reggie Nelson)",0.000,0.150
2,7:00,1,10,TAM 19,17,3,Earnest Graham left end for 5 yards (tackle by Mike Peterson),0.150,0.340
2,6:27,2,5,TAM 24,17,3,Jeff Garcia pass complete deep middle to Joey Galloway for 18 yards (tackle by Reggie Nelson),0.340,1.730
2,5:58,1,10,TAM 42,17,9,"Jeff Garcia pass complete deep middle to Joey Galloway for 58 yards, touchdown",1.730,7.000
2,,,,JAX 2,17,10,Matt Bryant kicks extra point good,0.000,0.000
2,,,,TAM 30,17,10,"Matt Bryant kicks off 60 yards, returned by Scott Starks for 11 yards (tackle by Byron Storer)",0.000,0.340
2,5:38,1,10,JAX 21,17,10,LaBrandon Toefield right guard for 3 yards (tackle by Chris Hovan),0.340,0.210
2,4:59,2,7,JAX 24,17,10,LaBrandon Toefield up the middle for 2 yards (tackle by Derrick Brooks),0.210,-0.230
2,4:18,3,5,JAX 26,17,10,Quinn Gray pass incomplete short left intended for Dennis Northcutt (defended by Ronde Barber),-0.230,-1.630
2,4:13,4,5,JAX 26,17,10,"Adam Podlesh punts 41 yards, returned by Phillip Buchanon for 24 yards (tackle by Scott Starks)",-1.630,-2.720
2,3:57,1,10,JAX 43,17,10,Jeff Garcia sacked by Rob Meier and Marcus Stroud for -10 yards,2.720,0.830
2,3:20,2,20,TAM 47,17,10,Jeff Garcia pass complete short middle to Maurice Stovall for 4 yards (tackle by Terry Cousin),0.830,0.700
2,2:44,3,16,JAX 49,17,10,Jeff Garcia pass incomplete deep right intended for Joey Galloway (defended by Rashean Mathis),0.700,0.000
2,2:37,4,16,JAX 49,17,10,"Josh Bidwell punts 40 yards, fair catch by Dennis Northcutt",0.000,0.380
2,2:28,1,10,JAX 9,17,10,Fred Taylor up the middle for 2 yards (tackle by Barrett Ruud and Cato June),-0.380,-0.630
2,2:22,,,,17,10,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.630
2,2:22,2,8,JAX 11,17,10,Fred Taylor left guard for 1 yard (tackle by Greg Spires),-0.630,-1.070
2,2:18,,,,17,10,Timeout #2 by Tampa Bay Buccaneers,0.000,-1.070
2,2:18,3,7,JAX 12,17,10,Quinn Gray pass incomplete deep left intended for Matt Jones,-1.070,-2.490
2,2:11,4,7,JAX 12,17,10,"Adam Podlesh punts 54 yards, returned by Phillip Buchanon for 5 yards (tackle by Chad Nkang)",-2.490,-1.530
2,2:01,1,10,TAM 39,17,10,Earnest Graham up the middle for 5 yards (tackle by Daryl Smith),1.530,1.660
2,1:57,2,5,TAM 44,17,10,Jeff Garcia pass complete short left to Ike Hilliard for 7 yards (tackle by Aaron Glenn),1.660,2.320
2,1:50,1,10,JAX 49,17,10,Jeff Garcia pass complete short right to Maurice Stovall for 10 yards,2.320,2.980
2,1:42,1,10,JAX 39,17,10,Jeff Garcia pass complete short middle to Maurice Stovall for 13 yards (tackle by Mike Peterson),2.980,3.840
2,1:13,1,10,JAX 26,17,10,"Jeff Garcia pass complete short left to Maurice Stovall for 9 yards (tackle by Aaron Glenn). Penalty on Maurice Stovall: Offensive Pass Interference, 10 yards (no play)",3.840,3.180
2,1:07,1,20,JAX 36,17,10,Jeff Garcia pass incomplete deep left intended for Joey Galloway,3.180,1.950
2,1:00,2,20,JAX 36,17,10,Jeff Garcia pass complete deep middle to Jerramy Stevens for 23 yards (tackle by Sammy Knight),1.950,4.710
2,0:51,,,,17,10,Timeout #3 by Tampa Bay Buccaneers,0.000,4.710
2,0:51,1,10,JAX 13,17,10,Jeff Garcia pass incomplete short middle intended for Ike Hilliard (defended by Scott Starks),4.710,4.050
2,0:47,2,10,JAX 13,17,10,Jeff Garcia pass incomplete short right intended for Earnest Graham,4.050,3.120
2,0:37,3,10,JAX 13,17,10,Jeff Garcia left end for 9 yards (tackle by Reggie Nelson),3.120,3.040
2,0:19,,,,17,10,Timeout #2 by Jacksonville Jaguars,0.000,3.040
2,0:19,4,1,JAX 4,17,13,Matt Bryant 22 yard field goal good,3.040,3.000
2,,,,TAM 30,17,13,"Matt Bryant kicks off 67 yards, returned by LaBrandon Toefield for 26 yards (tackle by Sammy Davis)",0.000,0.870
2,0:06,1,10,JAX 29,17,13,Quinn Gray kneels for -1 yards,0.870,0.190
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,17,13,"John Carney kicks off 63 yards, returned by Phillip Buchanon for 16 yards (tackle by Reggie Nelson)",0.000,0.480
3,14:53,1,10,TAM 23,17,13,Earnest Graham right tackle for 14 yards (tackle by Rashean Mathis),0.480,1.400
3,14:15,1,10,TAM 37,17,13,"Ike Hilliard left end for 6 yards (tackle by Reggie Nelson). Penalty on Maurice Stovall: Offensive Holding, 10 yards",1.400,1.140
3,13:45,1,14,TAM 33,17,13,Jeff Garcia pass incomplete deep right intended for Ike Hilliard,1.140,0.320
3,13:38,2,14,TAM 33,17,13,Earnest Graham left guard for 8 yards (tackle by Mike Peterson),0.320,0.700
3,13:02,3,6,TAM 41,17,13,Jeff Garcia pass complete deep right to Jerramy Stevens for 22 yards (tackle by Rashean Mathis),0.700,3.120
3,12:26,1,10,JAX 37,17,13,Jeff Garcia pass incomplete short right intended for Joey Galloway is intercepted by Sammy Knight at JAX-30 and returned for 10 yards (tackle by Jeremy Trueblood),3.120,-1.600
3,11:39,1,10,JAX 40,17,13,Fred Taylor up the middle for 5 yards (tackle by Derrick Brooks),1.600,1.730
3,11:34,2,5,JAX 45,17,13,Fred Taylor up the middle for 3 yards (tackle by Jovan Haye),1.730,1.420
3,10:57,3,2,JAX 48,17,13,Maurice Jones-Drew right end for 1 yard (tackle by Derrick Brooks),1.420,-0.130
3,10:19,4,1,JAX 49,17,13,Quinn Gray up the middle for 2 yards (tackle by Derrick Brooks),-0.130,2.320
3,9:41,1,10,TAM 49,17,13,Quinn Gray pass incomplete deep middle intended for Marcedes Lewis,2.320,1.780
3,9:34,2,10,TAM 49,17,13,Fred Taylor right guard for 7 yards (tackle by Ronde Barber),1.780,2.020
3,8:55,3,3,TAM 42,17,13,Maurice Jones-Drew right tackle for 2 yards (tackle by Chris Hovan and Derrick Brooks),2.020,0.590
3,8:08,4,1,TAM 40,17,13,LaBrandon Toefield up the middle for no gain (tackle by Ronde Barber),0.590,-1.600
3,7:59,1,10,TAM 40,17,13,Earnest Graham right guard for 10 yards (tackle by Marcus Stroud and Sammy Knight),1.600,2.260
3,7:30,1,10,,17,13,Earnest Graham left guard for 3 yards (tackle by Sammy Knight),2.260,2.120
3,6:49,2,7,JAX 47,17,13,Jeff Garcia pass incomplete deep right intended for Joey Galloway,2.120,1.420
3,6:41,3,7,JAX 47,17,13,Jeff Garcia pass incomplete short left intended for Joey Galloway,1.420,0.130
3,6:35,4,7,JAX 47,17,13,Josh Bidwell punts 43 yards,0.130,0.380
3,6:23,1,10,JAX 4,17,13,Fred Taylor for 1 yard (tackle by Derrick Brooks and Barrett Ruud),-0.380,-0.710
3,5:40,2,9,JAX 5,17,13,Quinn Gray pass incomplete deep right intended for Ernest Wilford,-0.710,-1.300
3,5:34,3,9,JAX 5,17,13,"Quinn Gray sacked for -5 yards. Quinn Gray fumbles, recovered by Quinn Gray at JAX-1",-1.300,-2.490
3,4:58,4,13,JAX 1,17,13,"Adam Podlesh punts 42 yards, returned by Joey Galloway for 10 yards (tackle by Jamaal Fudge)",-2.490,-3.380
3,4:43,1,10,JAX 33,17,13,Earnest Graham right guard for 2 yards (tackle by John Henderson),3.380,3.110
3,4:05,2,8,JAX 31,17,13,Jeff Garcia pass complete short right to Earnest Graham for 12 yards (tackle by Daryl Smith),3.110,4.310
3,3:29,1,10,JAX 19,17,19,"Michael Bennett left end for 19 yards, touchdown",4.310,7.000
3,,,,JAX 2,17,20,Matt Bryant kicks extra point good,0.000,0.000
3,,,,TAM 30,17,20,"Matt Bryant kicks off 70 yards, returned by LaBrandon Toefield for 11 yards (tackle by Tanard Jackson)",0.000,-0.370
3,3:11,1,10,JAX 11,17,20,Fred Taylor up the middle for no gain (tackle by Jermaine Phillips),-0.370,-0.780
3,2:30,2,10,JAX 11,17,20,Quinn Gray pass incomplete deep right intended for Ernest Wilford,-0.780,-1.420
3,2:24,3,10,JAX 11,17,20,Quinn Gray pass complete short left to Maurice Jones-Drew for -1 yards (tackle by Cato June),-1.420,-2.490
3,1:51,4,11,JAX 10,17,20,Adam Podlesh punts 20 yards,-2.490,-3.580
3,1:39,1,10,JAX 30,17,20,Earnest Graham left end for -2 yards (tackle by Marcus Stroud),3.580,2.760
3,0:59,2,12,JAX 32,17,20,Jeff Garcia pass incomplete short right intended for Joey Galloway (defended by Rashean Mathis),2.760,2.080
3,0:51,,,,17,20,Timeout #1 by Jacksonville Jaguars,0.000,2.080
3,0:51,3,12,JAX 32,17,20,Jeff Garcia pass complete short left to Joey Galloway for 8 yards (tackle by Aaron Glenn),2.080,1.940
3,0:11,4,4,JAX 24,17,23,Matt Bryant 42 yard field goal good,1.940,3.000
Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,,,,TAM 30,,,"Matt Bryant kicks off 58 yards, returned by LaBrandon Toefield for 20 yards. Penalty on Tanard Jackson: Unnecessary Roughness, 15 yards",,
4,15:00,1,10,JAX 47,17,23,Quinn Gray pass complete short right to Reggie Williams for 17 yards (tackle by Tanard Jackson),2.060,3.180
4,14:23,1,10,TAM 36,17,23,Dennis Northcutt right end for 5 yards (tackle by Derrick Brooks),3.180,3.310
4,13:55,2,5,TAM 31,17,23,Maurice Jones-Drew for 5 yards,3.310,3.840
4,13:24,1,10,TAM 26,17,23,Maurice Jones-Drew right guard for 4 yards (tackle by Cato June),3.840,3.840
4,12:39,2,6,TAM 22,17,23,Quinn Gray pass incomplete deep right intended for Dennis Northcutt,3.840,3.140
4,12:31,3,6,TAM 22,17,23,Quinn Gray pass complete short right to Ernest Wilford for 13 yards (tackle by Phillip Buchanon),3.140,5.140
,,,,,,,"TAM challenged the pass completion ruling, and the play was upheld.",,
4,12:24,1,9,TAM 9,17,23,Maurice Jones-Drew left guard for 1 yard (tackle by Barrett Ruud and Kevin Carter),5.140,4.570
4,11:45,2,8,TAM 8,23,23,"Quinn Gray pass complete short right to Matt Jones for 8 yards, touchdown",4.570,7.000
4,,,,TAM 2,24,23,John Carney kicks extra point good,0.000,0.000
4,,,,JAX 30,24,23,"John Carney kicks off 58 yards, returned by Maurice Stovall for 22 yards (tackle by Reggie Nelson)",0.000,1.200
4,11:28,1,10,TAM 34,24,23,Jeff Garcia pass incomplete deep left intended for Joey Galloway,1.200,0.660
4,11:21,2,10,TAM 34,24,23,Earnest Graham right end for 4 yards (tackle by Justin Durant),0.660,0.500
4,10:35,3,6,TAM 38,24,23,Jeff Garcia pass incomplete deep right intended for Joey Galloway,0.500,-0.850
4,10:28,4,6,TAM 38,24,23,"Josh Bidwell punts 58 yards, returned by Dennis Northcutt for 6 yards (tackle by Adam Hayward)",-0.850,0.380
4,10:13,1,10,JAX 10,24,23,"Quinn Gray pass complete short left to Ernest Wilford for 9 yards (tackle by Cato June). Penalty on Marcedes Lewis: Offensive Pass Interference, 5 yards (no play)",-0.380,-0.570
4,9:44,1,15,JAX 5,24,23,Fred Taylor left end for no gain (tackle by Derrick Brooks),-0.570,-1.150
4,8:57,2,15,JAX 5,24,23,Fred Taylor left end for 2 yards (tackle by Ronde Barber and Barrett Ruud),-1.150,-1.770
4,8:19,3,13,JAX 7,24,23,Quinn Gray pass incomplete short left intended for Matt Jones. Penalty on Matt Jones: Illegal Touch Pass (Declined),-1.770,-2.490
4,8:10,4,13,JAX 7,24,23,Adam Podlesh punts 76 yards,-2.490,0.060
4,7:58,1,10,TAM 17,24,23,Jeff Garcia pass complete short middle to Joey Galloway for 10 yards (tackle by Sammy Knight),-0.060,0.740
4,7:26,1,10,TAM 27,24,23,Earnest Graham right end for 4 yards (tackle by Rashean Mathis),0.740,0.740
4,6:38,2,6,TAM 31,24,23,Jeff Garcia pass complete short right to B.J. Askew for 22 yards (tackle by Aaron Glenn),0.740,2.460
4,5:55,1,10,JAX 47,24,23,Earnest Graham left tackle for 6 yards (tackle by Paul Spicer),2.460,2.720
4,5:11,2,4,JAX 41,24,23,Jeff Garcia pass incomplete short right intended for Ike Hilliard,2.720,2.010
4,5:06,3,4,JAX 41,24,23,Jeff Garcia pass incomplete short middle intended for Joey Galloway,2.010,0.530
4,5:00,4,4,JAX 41,24,23,Josh Bidwell punts 38 yards,0.530,0.380
4,4:47,1,10,JAX 3,24,23,Fred Taylor left guard for 3 yards (tackle by Kevin Carter and Barrett Ruud),-0.380,-0.560
4,4:03,2,7,JAX 6,24,23,Fred Taylor up the middle for 1 yard (tackle by Chris Hovan and Derrick Brooks),-0.560,-0.950
4,3:17,3,6,JAX 7,24,23,Quinn Gray pass complete short right to Greg Jones for 18 yards (tackle by Barrett Ruud),-0.950,0.610
4,2:30,1,10,JAX 25,24,23,Maurice Jones-Drew right tackle for 2 yards (tackle by Stylez G. White),0.610,0.330
4,2:24,,,,24,23,Timeout #2 by Tampa Bay Buccaneers,0.000,0.330
4,2:24,2,8,JAX 27,24,23,"Quinn Gray pass complete short right to George Wrighster for 9 yards (tackle by Tanard Jackson). Penalty on Tony Pashos: Ineligible Downfield Pass, 5 yards (no play)",0.330,-0.340
4,2:18,2,13,JAX 22,24,23,Quinn Gray sacked by Gaines Adams and Stylez G. White for -10 yards,-0.340,-2.940
4,2:12,,,,24,23,Timeout #3 by Tampa Bay Buccaneers,0.000,-2.940
4,2:12,3,23,JAX 12,24,23,Maurice Jones-Drew up the middle for 9 yards (tackle by Barrett Ruud and Jermaine Phillips),-2.940,-1.960
4,2:00,4,14,JAX 21,24,23,"Adam Podlesh punts 42 yards, returned by Phillip Buchanon for 7 yards (tackle by Brian Iwuh). Penalty on Ryan Nece: Offensive Holding, 10 yards",-1.960,-1.200
4,1:43,1,10,TAM 34,24,23,Jeff Garcia pass complete short right to Maurice Stovall for 9 yards (tackle by Sammy Knight),1.200,1.870
4,1:22,2,1,TAM 43,24,23,Jeff Garcia pass incomplete short right intended for Earnest Graham,1.870,1.160
4,1:16,3,1,TAM 43,24,23,Jeff Garcia pass complete short left to Joey Galloway for 12 yards (tackle by Brian Iwuh),1.160,2.590
4,0:47,1,10,JAX 45,24,23,Jeff Garcia pass incomplete short left intended for Joey Galloway,2.590,2.040
4,0:42,2,10,JAX 45,24,23,Jeff Garcia pass incomplete short right intended for Ike Hilliard,2.040,1.360
4,0:37,3,10,JAX 45,24,23,Jeff Garcia pass incomplete deep right intended for Ike Hilliard,1.360,0.270
4,0:30,4,10,JAX 45,24,23,Jeff Garcia pass incomplete deep middle intended for Ike Hilliard is intercepted by Reggie Nelson at JAX-29 and returned for 3 yards (tackle by Maurice Stovall),0.270,-1.070
4,0:19,1,10,JAX 32,24,23,Quinn Gray kneels for -1 yards,1.070,0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
