Unnamed: 0,JAX,TAM
First Downs,12,18
Rush-Yds-TDs,44-133-1,21-136-1
Cmp-Att-Yd-TD-INT,7-16-100-1-0,19-41-267-1-3
Sacked-Yards,2-14,2-18
Net Pass Yards,86,249
Total Yards,219,385
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,5-45,7-74
Third Down Conv.,4-16,4-14
Fourth Down Conv.,2-3,0-1
Time of Possession,32:05,27:55
