Quarter,Time,Tm,Detail,JAX,TAM
1.0,7:26,Buccaneers,Matt Bryant 44 yard field goal,0,3
,1:31,Jaguars,LaBrandon Toefield 1 yard rush (John Carney kick),7,3
2.0,7:25,Jaguars,John Carney 41 yard field goal,10,3
,7:09,Jaguars,Aaron Glenn 28 yard interception return (John Carney kick),17,3
,5:45,Buccaneers,Joey Galloway 58 yard pass from Jeff Garcia (Matt Bryant kick),17,10
,0:15,Buccaneers,Matt Bryant 22 yard field goal,17,13
3.0,3:19,Buccaneers,Michael Bennett 19 yard rush (Matt Bryant kick),17,20
,0:05,Buccaneers,Matt Bryant 42 yard field goal,17,23
4.0,11:37,Jaguars,Matt Jones 8 yard pass from Quinn Gray (John Carney kick),24,23
