Unnamed: 0,CLE,PIT
First Downs,19,20
Rush-Yds-TDs,30-98-0,28-147-0
Cmp-Att-Yd-TD-INT,19-36-222-0-2,16-23-280-2-1
Sacked-Yards,3-16,2-11
Net Pass Yards,206,269
Total Yards,304,416
Fumbles-Lost,2-0,2-2
Turnovers,2,3
Penalties-Yards,6-54,12-97
Third Down Conv.,7-16,2-8
Fourth Down Conv.,0-1,0-1
Time of Possession,32:18,27:42
