Unnamed: 0,DET,DAL
First Downs,11,26
Rush-Yds-TDs,19-57-1,42-149-2
Cmp-Att-Yd-TD-INT,17-25-169-0-0,12-23-110-0-0
Sacked-Yards,1-0,1-6
Net Pass Yards,169,104
Total Yards,226,253
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,17-129,5-40
Third Down Conv.,3-10,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,23:58,36:02
