Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 65 yards, returned by Tyson Thompson for 21 yards (tackle by Jon McGraw). Penalty on Brett Pierce: Offensive Holding, 10 yards",0.000,-0.140
1,14:54,1,10,DAL 16,0,0,Julius Jones right tackle for 18 yards (tackle by Jon McGraw),-0.140,1.200
1,14:29,1,10,DAL 34,0,0,Julius Jones right guard for 12 yards (tackle by Jon McGraw),1.200,1.990
1,13:33,1,10,DAL 46,0,0,Drew Bledsoe pass complete to Terry Glenn for 9 yards (tackle by Andre' Goodman),1.990,2.670
1,13:16,2,1,DET 45,0,0,Julius Jones left tackle for no gain (tackle by Dan Wilkinson),2.670,1.950
1,12:47,3,1,DET 45,0,0,Drew Bledsoe up the middle for 3 yards (tackle by Dan Wilkinson and Wali Rainer),1.950,2.790
1,12:11,1,10,DET 42,0,0,Julius Jones right end for -1 yards (tackle by Donte Curry),2.790,2.110
1,11:34,2,11,DET 43,0,0,Drew Bledsoe pass complete to Julius Jones for 13 yards (tackle by Keith Smith and Nate Wayne),2.110,3.580
1,10:47,1,10,DET 30,0,0,Julius Jones right tackle for 6 yards (tackle by James Davis),3.580,3.840
1,10:08,2,4,DET 24,0,0,Julius Jones left tackle for 3 yards (tackle by Donte Curry),3.840,3.530
1,9:30,3,1,DET 21,0,0,Marion Barber for 1 yard (tackle by Donte Curry),3.530,4.240
1,8:31,1,10,DET 20,0,0,Julius Jones up the middle for -1 yards (tackle by Nate Wayne),4.240,3.560
1,7:54,2,11,DET 21,0,0,Drew Bledsoe pass incomplete intended for Jason Witten,3.560,2.870
1,7:48,3,11,DET 21,0,0,"Drew Bledsoe pass incomplete intended for Jason Witten (defended by Kenoy Kennedy). Penalty on Jon McGraw: Illegal Contact, 5 yards (no play)",2.870,4.510
1,7:43,1,10,DET 16,0,0,Marion Barber left tackle for 10 yards (tackle by Kenoy Kennedy),4.510,5.830
1,7:03,1,6,DET 6,0,6,"Marion Barber left guard for 6 yards, touchdown",5.830,7.000
1,,,,DET 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Billy Cundiff kicks off 59 yards, returned by Eddie Drummond for 26 yards (tackle by Ryan Fowler)",0.000,1.400
1,6:52,1,10,DET 37,0,7,"Penalty on Damien Woody: False Start, 5 yards (no play)",1.400,1.070
1,6:52,1,15,DET 32,0,7,Kevin Jones left end for 5 yards (tackle by Keith Davis),1.070,0.860
1,6:14,2,10,DET 37,0,7,Joey Harrington pass complete to Roy Williams for 9 yards (tackle by Terence Newman),0.860,1.360
1,5:33,3,1,DET 46,0,7,Joey Harrington pass complete to Marcus Pollard for 2 yards (tackle by Roy Williams),1.360,2.130
1,4:53,1,10,DET 48,0,7,Kevin Jones up the middle for -2 yards (tackle by La'Roi Glover and Marcus Spears),2.130,1.310
1,4:17,2,12,DET 46,0,7,Shawn Bryson right end for 14 yards (tackle by Keith Davis and Roy Williams),1.310,2.920
1,3:36,1,10,DAL 40,0,7,"Joey Harrington pass incomplete intended for Roy Williams. Penalty on Roy Williams: Offensive Pass Interfere, 10 yards (no play)",2.920,2.260
1,3:28,1,20,DAL 50,0,7,Joey Harrington pass complete to Roy Williams for 15 yards (tackle by Terence Newman),2.260,3.050
1,2:53,2,5,DAL 35,0,7,Kevin Jones left tackle for 3 yards (tackle by Greg Ellis and Bradie James),3.050,2.740
1,2:06,3,2,DAL 32,0,7,"Joey Harrington pass incomplete intended for Scottie Vines. Penalty on Kelly Butler: Offensive Holding, 10 yards (no play)",2.740,1.420
1,2:02,3,12,DAL 42,0,7,Joey Harrington pass complete to Marcus Pollard for 3 yards (tackle by Aaron Glenn),1.420,0.660
1,1:20,4,9,DAL 39,0,7,"Nick Harris punts 39 yards, touchback",0.660,-0.280
1,1:13,1,10,DAL 20,0,7,Drew Bledsoe pass complete to Terry Glenn for 11 yards,0.280,1.000
1,0:42,1,10,DAL 31,0,7,"Julius Jones up the middle for 4 yards (tackle by Jon McGraw). Penalty on James Hall: Defensive Offside, 5 yards (no play)",1.000,1.730
1,0:23,1,5,DAL 36,0,7,"Penalty on Shaun Rogers: Neutral Zone Infraction, 5 yards (no play)",1.730,1.660
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 41,0,7,"Julius Jones left tackle for 6 yards (tackle by Nate Wayne). Julius Jones fumbles (forced by Nate Wayne), recovered by Jon McGraw at DAL-47 (tackle by Terry Glenn)",1.660,-2.460
2,14:55,1,10,DAL 47,0,7,Joey Harrington for 5 yards,2.460,2.590
2,14:20,2,5,DAL 42,0,7,Kevin Jones left tackle for -1 yards (tackle by DeMarcus Ware and Keith Davis),2.590,1.750
2,13:36,3,6,DAL 43,0,7,Joey Harrington pass incomplete intended for Roy Williams,1.750,0.400
2,13:29,4,6,DAL 43,0,7,"Nick Harris punts 33 yards, fair catch by Peerless Price",0.400,0.380
2,13:22,1,10,DAL 10,0,7,Julius Jones right tackle for 1 yard (tackle by Donte Curry),-0.380,-0.710
2,12:46,2,9,DAL 11,0,7,Drew Bledsoe pass complete to Terry Glenn for 15 yards (tackle by Jon McGraw),-0.710,0.670
2,12:04,1,10,DAL 26,0,7,"Drew Bledsoe pass incomplete intended for Keyshawn Johnson (defended by R.W. McQuarters). Penalty on James Davis: Roughing the Passer, 15 yards (no play)",0.670,1.660
2,11:58,1,10,DAL 41,0,7,Drew Bledsoe pass incomplete intended for Keyshawn Johnson,1.660,1.120
2,11:54,2,10,DAL 41,0,7,Drew Bledsoe pass incomplete intended for Marion Barber,1.120,0.430
2,11:50,,,,0,7,Timeout #1 by Dallas Cowboys,0.000,0.430
2,11:50,3,10,DAL 41,0,7,"Drew Bledsoe pass incomplete intended for Terry Glenn. Penalty on Andre' Goodman: Defensive Pass Interfere, 22 yards (no play)",0.430,3.120
2,11:45,1,10,DET 37,0,7,Marion Barber left tackle for 3 yards (tackle by James Hall),3.120,2.980
2,11:09,2,7,DET 34,0,7,Tyson Thompson right end for 3 yards (tackle by Shaun Rogers),2.980,2.680
2,10:26,3,4,DET 31,0,7,Drew Bledsoe pass complete to Keyshawn Johnson for 9 yards (tackle by Nate Wayne),2.680,4.110
2,9:44,1,10,DET 22,0,7,"Tyson Thompson left end for -1 yards (tackle by R.W. McQuarters). Penalty on R.W. McQuarters: Face Mask (15 Yards), 12 yards",4.110,4.840
2,9:09,1,10,DET 11,0,7,Drew Bledsoe pass complete to Lousaka Polite for 10 yards (tackle by Donte Curry),4.840,6.970
2,8:37,1,1,DET 1,0,7,Julius Jones left tackle for no gain (tackle by Wali Rainer),6.970,5.910
2,8:04,2,1,DET 1,0,7,Julius Jones right tackle for no gain (tackle by Donte Curry),5.910,5.170
