Quarter,Time,Down,ToGo,Location,KAN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",,
1,15:00,1,10,PHI 25,0,0,Miles Sanders left end for 1 yard (tackle by Michael Danna and Mike Hughes),,
1,14:23,2,9,PHI 26,0,0,Jalen Hurts pass complete short right to Zach Ertz for 13 yards (tackle by Anthony Hitchens),,
1,13:51,1,10,PHI 39,0,0,Jalen Hurts pass complete short right to DeVonta Smith for 22 yards (tackle by Tyrann Mathieu),,
1,13:24,1,10,KAN 39,0,0,Jalen Hurts pass complete short middle to Dallas Goedert for 21 yards (tackle by Daniel Sorensen),,
1,12:49,1,10,KAN 18,0,0,Miles Sanders up the middle for 2 yards (tackle by Anthony Hitchens),,
1,12:08,2,8,KAN 16,0,0,Jalen Hurts pass incomplete deep left intended for Zach Ertz,,
1,12:04,3,8,KAN 16,0,0,Jalen Hurts scrambles right end for 5 yards (tackle by Daniel Sorensen),,
1,11:41,,,,,,Timeout #1 by Philadelphia Eagles,,
1,11:41,4,3,KAN 11,0,3,Jake Elliott 29 yard field goal good,,
1,11:38,,,PHI 35,0,3,"Jake Elliott kicks off 70 yards, returned by Byron Pringle for 28 yards (tackle by Davion Taylor and T.J. Edwards)",,
1,11:30,1,10,KAN 23,0,3,Clyde Edwards-Helaire up the middle for 5 yards (tackle by Eric Wilson and Alex Singleton),,
1,10:58,2,5,KAN 28,0,3,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Javon Hargrave and Avonte Maddox),,
1,10:24,3,1,KAN 32,0,3,"Penalty on Josh Sweat: Encroachment, 6 yards (accepted) (no play)",,
1,10:12,1,10,KAN 38,0,3,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 11 yards (tackle by Steven Nelson and Eric Wilson),,
1,9:36,1,10,KAN 49,0,3,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire,,
1,9:27,2,10,KAN 49,0,3,Patrick Mahomes pass complete short middle to Tyreek Hill for 9 yards (tackle by Rodney McLeod),,
1,8:51,3,1,PHI 42,0,3,Michael Burton up the middle for 5 yards (tackle by T.J. Edwards),,
1,8:15,1,10,PHI 37,0,3,"Patrick Mahomes pass complete to Tyreek Hill for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Patrick Mahomes pass complete deep left to Tyreek Hill for 36 yards (tackle by Darius Slay)",,
1,8:06,1,1,PHI 1,6,3,"Patrick Mahomes pass complete short middle to Clyde Edwards-Helaire for 1 yard, touchdown",,
1,8:02,,,PHI 15,7,3,Harrison Butker kicks extra point good,,
1,8:02,,,KAN 35,7,3,"Harrison Butker kicks off 63 yards, returned by Quez Watkins for 14 yards (tackle by Marcus Kemp)",,
1,7:57,1,10,PHI 16,7,3,Kenneth Gainwell right end for 11 yards (tackle by Tyrann Mathieu),,
1,7:22,1,10,PHI 27,7,3,Jalen Reagor right end for 12 yards (tackle by Daniel Sorensen),,
1,6:54,1,10,PHI 39,7,3,Jalen Hurts pass complete short right to Quez Watkins for 12 yards (tackle by Mike Hughes),,
1,6:30,1,10,KAN 49,7,3,Jalen Hurts pass complete short middle to Miles Sanders for 10 yards (tackle by Mike Hughes),,
1,5:58,1,10,KAN 39,7,3,Miles Sanders up the middle for 5 yards (tackle by Nick Bolton),,
1,5:22,2,5,KAN 34,7,3,Jalen Hurts pass complete short middle to DeVonta Smith for 6 yards (tackle by Mike Hughes),,
1,5:02,1,10,KAN 28,7,3,Jalen Hurts pass complete short right to Quez Watkins for 3 yards (tackle by Daniel Sorensen),,
1,4:31,2,7,KAN 25,7,3,"Jalen Hurts pass incomplete short right. Penalty on Andre Dillard: Illegal Formation, 5 yards (declined)",,
1,4:25,3,7,KAN 25,7,3,Jalen Hurts pass complete short left to Zach Ertz for 5 yards (tackle by Tyrann Mathieu and L'Jarius Sneed),,
1,3:47,4,2,KAN 20,7,3,Jalen Hurts pass complete short right to Kenneth Gainwell for 12 yards (tackle by L'Jarius Sneed),,
1,3:04,1,8,KAN 8,7,3,"Jalen Hurts scrambles left end for no gain (tackle by Nick Bolton). Penalty on Andre Dillard: Offensive Holding, 10 yards (accepted) (no play)",,
1,2:32,1,18,KAN 18,7,3,Jalen Hurts pass complete short right to Kenneth Gainwell for 15 yards (tackle by Ben Niemann),,
1,2:02,2,3,KAN 3,7,9,"Jalen Hurts pass complete short right to Dallas Goedert for 3 yards, touchdown",,
1,1:57,,,KAN 15,7,10,Jake Elliott kicks extra point good,,
1,1:57,,,PHI 35,7,10,"Jake Elliott kicks off 69 yards, returned by Byron Pringle for 21 yards. Byron Pringle fumbles (forced by JJ Arcega-Whiteside), recovered by Jerick McKinnon at KC-18 and returned for -1 yards (tackle by JJ Arcega-Whiteside)",,
1,1:50,1,10,KAN 17,7,10,Clyde Edwards-Helaire left end for 4 yards (tackle by Anthony Harris),,
1,0:58,2,6,KAN 21,7,10,"Patrick Mahomes sacked by Josh Sweat for no gain. Penalty on Rodney McLeod: Illegal Contact, 5 yards (accepted) (no play)",,
1,0:46,1,10,KAN 26,7,10,Darrel Williams right end for 5 yards (tackle by Alex Singleton),,
1,0:17,2,5,KAN 31,7,10,Darrel Williams right tackle for 3 yards (tackle by Javon Hargrave),,
Quarter,Time,Down,ToGo,Location,KAN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,KAN 34,7,10,"Darrel Williams up the middle for no gain (tackle by Javon Hargrave). Penalty on Lucas Niang: Illegal Formation, 5 yards (accepted) (no play)",,
2,14:28,3,7,KAN 29,7,10,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",,
2,14:14,3,12,KAN 24,7,10,Patrick Mahomes scrambles left end for 12 yards (tackle by Javon Hargrave and Eric Wilson),,
2,13:44,1,10,KAN 36,7,10,Patrick Mahomes pass complete short right to Mecole Hardman for 9 yards (tackle by Rodney McLeod),,
2,13:06,2,1,KAN 45,7,10,Patrick Mahomes pass complete short right to Tyreek Hill for 2 yards (tackle by Avonte Maddox),,
2,12:27,1,10,KAN 47,7,10,Patrick Mahomes scrambles left end for 2 yards (tackle by Eric Wilson),,
2,11:51,2,8,KAN 49,7,10,Patrick Mahomes pass complete deep left to Byron Pringle for 19 yards (tackle by Rodney McLeod),,
2,11:13,1,10,PHI 32,7,10,"Patrick Mahomes pass complete to Mecole Hardman for no gain. Penalty on Lucas Niang: Offensive Holding, 10 yards (accepted) (no play)",,
2,10:46,1,20,PHI 42,7,10,Patrick Mahomes pass complete deep right to Tyreek Hill for 32 yards,,
2,10:12,1,10,PHI 10,7,10,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Anthony Harris and Davion Taylor),,
2,9:38,2,6,PHI 6,7,10,Patrick Mahomes pass incomplete short right intended for Noah Gray,,
2,9:29,3,6,PHI 6,13,10,"Patrick Mahomes pass complete to Tyreek Hill for 6 yards, touchdown",,
2,9:25,,,PHI 15,14,10,Harrison Butker kicks extra point good,,
2,9:25,,,KAN 35,14,10,"Harrison Butker kicks off 65 yards, touchback.",,
2,9:25,1,10,PHI 25,14,10,Jalen Hurts right end for 12 yards (tackle by Tyrann Mathieu),,
2,8:48,1,10,PHI 37,14,10,Jalen Hurts scrambles up the middle for 6 yards (tackle by Nick Bolton),,
2,8:09,2,4,PHI 43,14,10,Miles Sanders right end for 3 yards (tackle by Daniel Sorensen),,
2,7:26,3,1,PHI 46,14,10,Jalen Hurts up the middle for 3 yards (tackle by Anthony Hitchens),,
2,6:54,1,10,PHI 49,14,10,Jalen Hurts pass complete short right to DeVonta Smith for 7 yards (tackle by Anthony Hitchens),,
2,6:15,2,3,KAN 44,14,10,"Jalen Hurts pass intended for Quez Watkins is intercepted by Deandre Baker at KC-25 and returned for 10 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete deep left intended for Quez Watkins",,
2,6:11,3,3,KAN 44,14,10,Jalen Hurts pass complete short left to Kenneth Gainwell for 14 yards (tackle by Deandre Baker),,
2,5:50,,,,,,Timeout #1 by Kansas City Chiefs,,
2,5:50,1,10,KAN 30,14,10,Jalen Hurts pass complete short left to Quez Watkins for 18 yards (tackle by Juan Thornhill),,
2,5:06,1,10,KAN 12,14,10,Jalen Hurts pass complete short left to Miles Sanders for 6 yards (tackle by Daniel Sorensen),,
2,4:32,2,4,KAN 6,14,10,"Jalen Hurts pass complete to Dallas Goedert for no gain, touchdown. Penalty on Daniel Sorensen: Face Mask (15 Yards), 3 yards (accepted) . Penalty on Andre Dillard: Ineligible Downfield Pass, 5 yards (declined) (no play)",,
2,4:19,1,3,KAN 3,14,10,Jalen Hurts pass incomplete short right intended for Greg Ward,,
2,4:16,2,3,KAN 3,14,10,Miles Sanders right end for -4 yards (tackle by Tyrann Mathieu),,
2,3:44,3,7,KAN 7,14,10,Jalen Hurts pass incomplete intended for Quez Watkins,,
2,3:37,4,7,KAN 7,14,13,Jake Elliott 25 yard field goal good,,
2,3:35,,,PHI 35,14,13,"Jake Elliott kicks off 65 yards, touchback.",,
2,3:35,1,10,KAN 25,14,13,Clyde Edwards-Helaire right end for 15 yards (tackle by Marcus Epps),,
2,2:50,1,10,KAN 40,14,13,Mecole Hardman left end for 24 yards (tackle by Milton Williams),,
2,2:08,1,10,PHI 36,14,13,Patrick Mahomes pass complete short left to Byron Pringle for 4 yards (tackle by Darius Slay and Avonte Maddox),,
2,1:57,2,6,PHI 32,14,13,Clyde Edwards-Helaire right end for 17 yards (tackle by Alex Singleton),,
2,1:19,1,10,PHI 15,14,13,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,,
2,1:15,2,10,PHI 15,14,13,"Patrick Mahomes pass complete to Darrel Williams for 9 yards (tackle by Avonte Maddox). Penalty on Derek Barnett: Roughing the Passer, 3 yards (accepted)",,
2,1:07,1,3,PHI 3,14,13,Darrel Williams up the middle for 1 yard (tackle by Josh Sweat),,
2,0:59,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:59,2,2,PHI 2,20,13,"Patrick Mahomes pass complete short middle to Jody Fortson for 2 yards, touchdown",,
2,0:56,,,PHI 15,21,13,Harrison Butker kicks extra point good,,
2,0:56,,,KAN 35,21,13,"Harrison Butker kicks off 64 yards, returned by Quez Watkins for no gain, recovered by Quez Watkins at PHI-11 (tackle by Dicaprio Bootle)",,
2,0:52,1,10,PHI 11,21,13,Jalen Hurts pass complete deep right to DeVonta Smith for 37 yards (tackle by Mike Hughes),,
2,0:45,1,10,PHI 48,21,13,Jalen Hurts pass complete short right to DeVonta Smith for 12 yards,,
2,0:39,1,10,KAN 40,21,13,Jalen Hurts pass incomplete short right intended for DeVonta Smith,,
2,0:34,2,10,KAN 40,21,13,Jalen Hurts pass complete short left to Kenneth Gainwell for 1 yard (tackle by L'Jarius Sneed),,
2,0:15,3,9,KAN 39,21,13,"Jalen Hurts sacked by L'Jarius Sneed for -21 yards. Jalen Hurts fumbles (forced by L'Jarius Sneed), recovered by Nate Herbig at PHI-27 (tackle by L'Jarius Sneed)",,
Quarter,Time,Down,ToGo,Location,KAN,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,21,13,"Jake Elliott kicks off 67 yards, returned by Byron Pringle for 32 yards (tackle by Andre Chachere)",,
3,14:53,1,10,KAN 30,21,13,Patrick Mahomes sacked by Javon Hargrave for -7 yards,,
3,14:13,2,17,KAN 23,21,13,Patrick Mahomes pass complete short middle to Tyreek Hill for 15 yards (tackle by Darius Slay),,
3,13:33,3,2,KAN 38,21,13,Patrick Mahomes pass complete short right to Mecole Hardman for 7 yards (tackle by Eric Wilson),,
3,13:00,1,10,KAN 45,21,13,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,,
3,12:54,2,10,KAN 45,21,13,Patrick Mahomes scrambles left end for 1 yard (tackle by Avonte Maddox),,
3,12:18,3,9,KAN 46,21,13,"Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Eric Wilson at PHI-44 and returned for 7 yards (tackle by Creed Humphrey). Penalty on Creed Humphrey: Offensive Holding, 10 yards (declined)",,
3,12:09,1,10,PHI 49,21,13,"Penalty on Zach Ertz: False Start, 5 yards (accepted) (no play)",,
3,12:09,1,15,PHI 46,21,13,Jalen Hurts pass complete deep right to DeVonta Smith for 21 yards (tackle by Deandre Baker),,
3,11:29,1,10,KAN 33,21,13,Jalen Hurts pass complete short middle to Zach Ertz for 8 yards (tackle by Daniel Sorensen),,
3,10:53,2,2,KAN 25,21,13,Jalen Hurts right tackle for 7 yards (tackle by Derrick Nnadi),,
3,10:16,1,10,KAN 18,21,13,Miles Sanders right end for 2 yards (tackle by Deandre Baker),,
3,9:42,2,8,KAN 16,21,13,Jalen Hurts pass complete short right to Kenneth Gainwell for 7 yards (tackle by Ben Niemann),,
3,9:22,3,1,KAN 9,21,13,Jalen Hurts up the middle for 2 yards (tackle by Tershawn Wharton and Ben Niemann),,
3,8:37,1,7,KAN 7,21,13,"Penalty on PHI: Delay of Game, 5 yards (accepted) (no play)",,
3,8:10,1,12,KAN 12,21,13,Jalen Hurts pass incomplete short left intended for Zach Ertz,,
3,8:06,2,12,KAN 12,21,13,Jalen Hurts pass complete short right to Zach Ertz for 6 yards (tackle by Deandre Baker),,
3,7:29,3,6,KAN 6,21,13,Jalen Hurts pass incomplete short right,,
3,7:18,4,6,KAN 6,21,13,"Jake Elliott yard field goal good. Penalty on Chris Lammons: Defensive Offside, 3 yards (accepted) (no play)",,
3,7:16,4,3,KAN 3,21,13,"Jalen Hurts pass complete to Zach Ertz for no gain, touchdown. Penalty on JJ Arcega-Whiteside: Offensive Pass Interference, 10 yards (accepted) (no play)",,
3,7:11,4,13,KAN 13,21,16,Jake Elliott 31 yard field goal good,,
3,7:07,,,PHI 35,21,16,"Jake Elliott kicks off 65 yards, touchback.",,
3,7:07,1,10,KAN 25,21,16,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Alex Singleton),,
3,6:33,2,4,KAN 31,21,16,Clyde Edwards-Helaire right guard for 2 yards (tackle by Alex Singleton),,
3,5:55,3,2,KAN 33,21,16,Patrick Mahomes pass complete short middle to Travis Kelce for 3 yards (tackle by Eric Wilson),,
3,5:18,1,10,KAN 36,21,16,Patrick Mahomes pass complete short left to Tyreek Hill for 14 yards (tackle by Rodney McLeod),,
3,4:43,1,10,KAN 50,21,16,Darrel Williams left end for 9 yards (tackle by Genard Avery and Javon Hargrave),,
3,4:04,2,1,PHI 41,21,16,Darrel Williams up the middle for 3 yards (tackle by Tarron Jackson and Milton Williams),,
3,3:29,1,10,PHI 38,21,16,Patrick Mahomes pass complete short left to Darrel Williams for 7 yards (tackle by Alex Singleton),,
3,2:52,2,3,PHI 31,21,16,Darrel Williams right end for 10 yards (tackle by Eric Wilson),,
3,2:14,1,10,PHI 21,21,16,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Eric Wilson),,
3,1:33,1,10,PHI 11,21,16,Clyde Edwards-Helaire up the middle for 10 yards (tackle by Eric Wilson and Alex Singleton),,
3,0:58,1,1,PHI 1,27,16,"Darrel Williams up the middle for 1 yard, touchdown",,
3,0:51,,,PHI 15,28,16,Harrison Butker kicks extra point good,,
3,0:51,,,KAN 35,28,16,"Harrison Butker kicks off 65 yards, returned by Jalen Reagor for 44 yards (tackle by Armani Watts)",,
3,0:43,1,10,PHI 44,28,16,Jalen Hurts pass complete to Dallas Goedert for 4 yards. Dallas Goedert fumbles (forced by Mike Hughes),,
3,0:05,2,6,PHI 48,28,16,Jalen Hurts pass complete to Dallas Goedert for 14 yards (tackle by Mike Hughes),,
Quarter,Time,Down,ToGo,Location,KAN,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 38,28,16,"Jalen Hurts pass incomplete. Penalty on Alex Okafor: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Andre Dillard: Ineligible Downfield Pass, 5 yards (declined) (no play)",,
4,14:52,1,10,KAN 23,28,16,Jalen Hurts pass incomplete,,
4,14:49,2,10,KAN 23,28,16,Jalen Hurts pass complete short middle to Dallas Goedert for 14 yards (tackle by Daniel Sorensen),,
4,14:07,1,9,KAN 9,28,16,Jalen Hurts sacked by Michael Danna for -7 yards,,
4,13:27,2,16,KAN 16,28,16,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by Mike Hughes),,
4,12:50,3,7,KAN 7,28,22,"Kenneth Gainwell up the middle for 7 yards, touchdown",,
4,12:42,,,KAN 15,28,23,Jake Elliott kicks extra point good,,
4,12:42,,,PHI 35,28,23,"Jake Elliott kicks off 68 yards, returned by Byron Pringle for 28 yards (tackle by JJ Arcega-Whiteside)",,
4,12:37,1,10,KAN 25,28,23,Clyde Edwards-Helaire right tackle for 8 yards (tackle by Marcus Epps),,
4,12:01,2,2,KAN 33,28,23,Clyde Edwards-Helaire right end for 1 yard (tackle by Davion Taylor),,
4,11:18,3,1,KAN 34,28,23,Darrel Williams up the middle for 2 yards (tackle by Alex Singleton and Derek Barnett),,
4,10:43,1,10,KAN 36,28,23,Darrel Williams left end for 4 yards (tackle by Eric Wilson and Derek Barnett),,
4,10:01,2,6,KAN 40,28,23,Patrick Mahomes pass incomplete short left intended for Travis Kelce,,
4,9:57,3,6,KAN 40,28,23,"Penalty on Josh Sweat: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
4,9:57,3,1,KAN 45,28,23,Patrick Mahomes pass complete short right to Tyreek Hill for 5 yards (tackle by Avonte Maddox),,
4,9:23,1,10,KAN 50,28,23,Mecole Hardman left end for 1 yard (tackle by Darius Slay),,
4,8:41,2,9,PHI 49,28,23,Patrick Mahomes scrambles right end for 12 yards (tackle by Eric Wilson),,
4,8:09,1,10,PHI 37,28,23,Clyde Edwards-Helaire right end for 9 yards (tackle by Darius Slay),,
4,7:31,2,1,PHI 28,28,23,Clyde Edwards-Helaire left end for 16 yards (tackle by Alex Singleton),,
4,6:52,1,10,PHI 12,34,23,"Patrick Mahomes pass complete short left to Tyreek Hill for 12 yards, touchdown Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
4,6:44,,,PHI 15,35,23,Harrison Butker kicks extra point good,,
4,6:44,,,KAN 35,35,23,"Harrison Butker kicks off 65 yards, touchback.",,
4,6:44,1,10,PHI 25,35,23,Miles Sanders up the middle for 4 yards (tackle by Michael Danna),,
4,6:21,2,6,PHI 29,35,23,Jalen Hurts pass complete short left to Miles Sanders for 18 yards (tackle by Juan Thornhill),,
4,5:54,1,10,PHI 47,35,23,Jalen Hurts pass incomplete short right intended for Quez Watkins,,
4,5:46,2,10,PHI 47,35,23,Jalen Hurts pass complete deep left to Zach Ertz for 19 yards,,
4,5:23,1,10,KAN 34,35,23,Jalen Hurts pass incomplete deep left intended for DeVonta Smith. Penalty on DeVonta Smith: Illegal Touch Pass (accepted),,
4,5:16,2,10,KAN 34,35,23,Jalen Hurts sacked by Michael Danna for -1 yards,,
4,4:40,3,11,KAN 35,35,23,Jalen Hurts pass incomplete short left intended for Quez Watkins (defended by Mike Hughes),,
4,4:34,4,11,KAN 35,35,23,Jalen Hurts pass incomplete short right,,
4,4:26,1,10,KAN 35,35,23,Clyde Edwards-Helaire right guard for 3 yards (tackle by Derek Barnett),,
4,4:21,,,,,,Timeout #1 by Philadelphia Eagles,,
4,4:21,2,7,KAN 38,35,23,Clyde Edwards-Helaire right end for 3 yards (tackle by Javon Hargrave),,
4,4:15,,,,,,Timeout #2 by Philadelphia Eagles,,
4,4:15,3,4,KAN 41,35,23,Patrick Mahomes pass complete short left to Tyreek Hill for 11 yards (tackle by Avonte Maddox),,
4,4:10,,,,,,Timeout #3 by Philadelphia Eagles,,
