Quarter,Time,Tm,Detail,KAN,PHI
1.0,11:38,Eagles,Jake Elliott 29 yard field goal,0,3
,8:02,Chiefs,Clyde Edwards-Helaire 1 yard pass from Patrick Mahomes (Harrison Butker kick),7,3
,1:57,Eagles,Dallas Goedert 3 yard pass from Jalen Hurts (Jake Elliott kick),7,10
2.0,9:25,Chiefs,Tyreek Hill 6 yard pass from Patrick Mahomes (Harrison Butker kick),14,10
,3:35,Eagles,Jake Elliott 25 yard field goal,14,13
,0:50,Chiefs,Jody Fortson 2 yard pass from Patrick Mahomes (Harrison Butker kick),21,13
3.0,7:07,Eagles,Jake Elliott 31 yard field goal,21,16
,0:51,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),28,16
4.0,12:42,Eagles,Kenneth Gainwell 7 yard rush (Jake Elliott kick),28,23
,6:44,Chiefs,Tyreek Hill 12 yard pass from Patrick Mahomes (Harrison Butker kick),35,23
,2:30,Chiefs,Tyreek Hill 44 yard pass from Patrick Mahomes (Harrison Butker kick),42,23
,0:04,Eagles,Greg Ward 15 yard pass from Jalen Hurts (Jake Elliott kick),42,30
