Unnamed: 0,KAN,PHI
First Downs,31,30
Rush-Yds-TDs,32-200-1,19-103-1
Cmp-Att-Yd-TD-INT,24-30-278-5-1,32-48-387-2-0
Sacked-Yards,1-7,3-29
Net Pass Yards,271,358
Total Yards,471,461
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,7-46,9-49
Third Down Conv.,9-10,6-12
Fourth Down Conv.,0-0,1-2
Time of Possession,30:52,29:08
