Unnamed: 0,LVR,KAN
First Downs,19,21
Rush-Yds-TDs,12-44-0,30-132-3
Cmp-Att-Yd-TD-INT,33-45-263-1-1,20-24-258-2-0
Sacked-Yards,4-17,3-18
Net Pass Yards,246,240
Total Yards,290,372
Fumbles-Lost,4-4,1-0
Turnovers,5,0
Penalties-Yards,9-85,8-63
Third Down Conv.,4-11,9-13
Fourth Down Conv.,1-1,0-0
Time of Possession,26:25,33:35
