Quarter,Time,Tm,Detail,LVR,KAN
1.0,14:43,Chiefs,Mike Hughes 23 yard fumble return (Harrison Butker kick),0,7
,3:43,Chiefs,Darrel Williams 23 yard pass from Patrick Mahomes (Harrison Butker kick),0,14
2.0,12:13,Chiefs,Clyde Edwards-Helaire 5 yard rush (Harrison Butker kick),0,21
,6:17,Chiefs,Josh Gordon 1 yard pass from Patrick Mahomes (Harrison Butker kick),0,28
,1:40,Chiefs,Clyde Edwards-Helaire 6 yard rush (Harrison Butker kick),0,35
,0:00,Raiders,Daniel Carlson 26 yard field goal,3,35
3.0,8:25,Chiefs,Harrison Butker 54 yard field goal,3,38
,3:29,Raiders,Hunter Renfrow 4 yard pass from Derek Carr (Daniel Carlson kick failed),9,38
4.0,9:52,Chiefs,Harrison Butker 37 yard field goal,9,41
,7:19,Chiefs,Derrick Gore 51 yard rush (Harrison Butker kick),9,48
