Unnamed: 0,DAL,PHI
First Downs,12,31
Rush-Yds-TDs,10-85-0,38-239-2
Cmp-Att-Yd-TD-INT,18-35-203-1-1,21-28-279-2-0
Sacked-Yards,4-21,4-23
Net Pass Yards,182,256
Total Yards,267,495
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,3-20,6-33
Third Down Conv.,3-10,7-12
Fourth Down Conv.,1-2,1-1
Time of Possession,17:51,42:09
