Quarter,Time,Tm,Detail,ATL,TAM
1.0,9:36,Falcons,Jay Feely 26 yard field goal,3,0
,0:44,Falcons,Alge Crumpler 6 yard pass from Michael Vick (Jay Feely kick),10,0
2.0,6:35,Buccaneers,Rickey Dudley 3 yard pass from Brad Johnson (Martin Gramatica kick),10,7
,1:53,Falcons,Brian Finneran 13 yard pass from Michael Vick (Jay Feely kick),17,7
,1:01,Falcons,Juran Bolden 41 yard interception return (Jay Feely kick),24,7
,0:00,Falcons,Jay Feely 38 yard field goal,27,7
3.0,3:40,Falcons,Jay Feely 37 yard field goal,30,7
4.0,11:27,Buccaneers,Charles Lee 3 yard pass from Brad Johnson (Martin Gramatica kick),30,14
,2:20,Buccaneers,Keenan McCardell 76 yard pass from Brad Johnson (Karl Williams pass from Brad Johnson),30,22
,0:27,Buccaneers,Jameel Cook 11 yard pass from Brad Johnson (pass failed),30,28
