Unnamed: 0,ATL,TAM
First Downs,16,25
Rush-Yds-TDs,42-148-0,22-94-0
Cmp-Att-Yd-TD-INT,8-15-119-2-0,34-48-346-4-4
Sacked-Yards,0-0,0-0
Net Pass Yards,119,346
Total Yards,267,440
Fumbles-Lost,2-1,1-0
Turnovers,1,4
Penalties-Yards,4-30,7-46
Third Down Conv.,5-13,8-13
Fourth Down Conv.,1-1,1-2
Time of Possession,29:45,30:15
