Unnamed: 0,STL,HOU
First Downs,22,26
Rush-Yds-TDs,29-138-1,31-124-0
Cmp-Att-Yd-TD-INT,21-33-324-3-1,25-35-293-3-1
Sacked-Yards,7-33,3-5
Net Pass Yards,291,288
Total Yards,429,412
Fumbles-Lost,2-0,1-1
Turnovers,1,2
Penalties-Yards,9-65,4-54
Third Down Conv.,5-14,7-13
Fourth Down Conv.,3-4,0-0
Time of Possession,31:20,34:54
