Unnamed: 0,SFO,CLE
First Downs,15,28
Rush-Yds-TDs,17-71-0,41-230-2
Cmp-Att-Yd-TD-INT,18-28-194-1-0,21-31-270-1-1
Sacked-Yards,9-44,2-19
Net Pass Yards,150,251
Total Yards,221,481
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,5-40,8-71
Third Down Conv.,2-13,6-12
Fourth Down Conv.,1-3,0-0
Time of Possession,22:21,37:39
