Quarter,Time,Down,ToGo,Location,SFO,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CLE 20,0,0,Johnny Manziel pass complete short left to Travis Benjamin for 8 yards (tackle by Eric Reid),0.280,0.810
1,14:26,2,2,CLE 28,0,0,Duke Johnson right guard for 3 yards (tackle by Corey Lemonier),0.810,1.000
1,13:50,1,10,CLE 31,0,0,Johnny Manziel pass incomplete short right intended for Brian Hartline,1.000,0.460
1,13:44,2,10,CLE 31,0,0,Johnny Manziel pass complete short left to Isaiah Crowell for 9 yards (tackle by Eric Reid),0.460,0.960
1,13:00,3,1,CLE 40,0,0,Isaiah Crowell right guard for 1 yard (tackle by Mike Purcell and Corey Lemonier),0.960,1.660
1,12:26,1,10,CLE 41,0,0,Isaiah Crowell right guard for 4 yards (tackle by Ian Williams),1.660,1.660
1,11:54,2,6,CLE 45,0,0,Duke Johnson right tackle for 7 yards (tackle by Ahmad Brooks),1.660,2.390
1,11:23,1,10,SFO 48,0,0,Johnny Manziel pass complete deep left to Gary Barnidge for 23 yards (tackle by Jaquiski Tartt),2.390,3.910
1,10:47,1,10,SFO 25,0,0,Isaiah Crowell right tackle for 1 yard (tackle by Ahmad Brooks),3.910,3.500
1,10:03,2,9,SFO 24,0,0,Johnny Manziel pass incomplete short left intended for Travis Benjamin,3.500,2.810
1,10:00,3,9,SFO 24,0,0,Johnny Manziel pass incomplete short left,2.810,1.870
1,9:55,4,9,SFO 24,0,0,"Travis Coons 42 yard field goal no good, blocked by Quinton Dial, recovered by Armonty Bryant",1.870,-1.730
1,9:48,1,10,SFO 42,0,0,Blaine Gabbert pass incomplete short left intended for Quinton Patton,1.730,1.190
1,9:45,2,10,SFO 42,0,0,Blaine Gabbert sacked by Donte Whitner for -1 yards,1.190,0.370
1,9:18,3,11,SFO 41,0,0,Blaine Gabbert pass incomplete short left intended for Quinton Patton,0.370,-0.650
1,9:13,4,11,SFO 41,0,0,"Bradley Pinion punts 43 yards, fair catch by Travis Benjamin",-0.650,0.140
1,9:05,1,10,CLE 16,0,0,Isaiah Crowell right guard for 50 yards (tackle by Jaquiski Tartt),-0.140,3.310
1,8:21,1,10,SFO 34,0,0,Duke Johnson left guard for 19 yards (tackle by Kenneth Acker),3.310,4.580
1,7:52,1,10,SFO 15,0,0,Duke Johnson right guard for 4 yards (tackle by Ahmad Brooks),4.580,4.640
1,7:17,2,6,SFO 11,0,0,"Johnny Manziel pass complete short middle to Brian Hartline for 10 yards (tackle by Eric Reid). Brian Hartline fumbles (forced by Eric Reid), recovered by Brian Hartline at SFO-1",4.640,6.970
1,6:18,1,1,SFO 1,0,0,Isaiah Crowell left guard for no gain (tackle by Gerald Hodges and Tank Carradine),6.970,5.910
1,5:40,2,1,SFO 1,0,6,"Isaiah Crowell right guard for 1 yard, touchdown",5.910,7.000
1,5:40,,,SFO 1,0,7,Travis Coons kicks extra point good,0.000,0.000
1,5:40,,,CLE 35,0,7,"Travis Coons kicks off 65 yards, touchback",0.000,-0.280
1,5:38,1,10,SFO 20,0,7,Blaine Gabbert pass incomplete deep right intended for Torrey Smith (defended by Tramon Williams),0.280,-0.270
1,5:31,2,10,SFO 20,0,7,Blaine Gabbert pass complete deep left to Torrey Smith for 17 yards (tackle by Charles Gaines),-0.270,1.400
1,5:02,1,10,SFO 37,0,7,Shaun Draughn right guard for 1 yard (tackle by Armonty Bryant),1.400,0.990
1,4:28,2,9,SFO 38,0,7,Blaine Gabbert sacked by Armonty Bryant for -10 yards,0.990,-1.020
1,3:46,3,19,SFO 28,0,7,Blaine Gabbert pass complete short middle to Quinton Patton for 10 yards (tackle by K'Waun Williams),-1.020,-0.850
1,3:01,4,9,SFO 38,0,7,"Bradley Pinion punts 40 yards, returned by Travis Benjamin for 11 yards (tackle by Kyle Nelson)",-0.850,-1.140
1,2:50,1,10,CLE 33,0,7,Johnny Manziel pass complete deep right to Gary Barnidge for 30 yards (tackle by Jaquiski Tartt),1.140,3.120
1,2:26,1,10,SFO 37,0,7,Duke Johnson right tackle for 4 yards (tackle by Kenneth Acker),3.120,3.110
1,1:51,2,6,SFO 33,0,7,"Glenn Winston right tackle for -8 yards (tackle by Ian Williams). Glenn Winston fumbles (forced by Ian Williams), recovered by Ahmad Brooks at SFO-41 and returned for 8 yards (tackle by Gary Barnidge)",3.110,-2.190
