Quarter,Time,Tm,Detail,SFO,CLE
1.0,5:38,Browns,Isaiah Crowell 1 yard rush (Travis Coons kick),0,7
2.0,9:04,Browns,Travis Coons 26 yard field goal,0,10
,4:12,49ers,Phil Dawson 44 yard field goal,3,10
3.0,0:14,Browns,Gary Barnidge 2 yard pass from Johnny Manziel (Travis Coons kick),3,17
4.0,8:48,Browns,Isaiah Crowell 3 yard rush (Travis Coons kick),3,24
,1:42,49ers,Jerome Simpson 6 yard pass from Blaine Gabbert (Phil Dawson kick),10,24
